start,end,score,strand
2832,2859,55,+
3368,3405,75,+
4896,4925,52,-
6962,6986,59,+
8015,8045,49,+
9250,9294,49,-
12097,12129,62,+
14896,14927,50,+
15247,15275,54,+
16325,16343,50,-
16740,16769,61,+
20025,20042,50,+
21489,21509,49,+
24067,24116,48,+
30424,30457,47,+
30761,30785,69,+
32979,33002,60,+
33074,33104,55,+
37607,37632,57,+
38238,38266,68,+
38297,38316,51,+
38702,38721,65,+
40238,40256,49,+
40279,40315,58,+
40444,40486,49,+
41308,41328,47,+
42057,42086,62,+
44324,44344,64,+
44647,44677,52,-
45364,45380,52,+
46813,46852,59,+
47370,47405,55,-
47943,47978,55,+
48169,48199,59,-
51743,51763,47,+
52130,52156,56,-
53204,53234,57,+
53260,53280,47,-
57775,57803,81,+
59487,59529,52,+
60256,60293,59,+
63915,63934,49,+
64223,64249,56,+
64646,64664,50,+
65119,65137,50,+
77284,77317,52,+
77529,77558,61,+
81051,81090,55,+
81774,81804,51,+
85569,85599,62,+
87481,87500,47,+
88721,88757,55,-
90028,90057,65,-
90422,90446,59,+
91667,91691,48,-
92219,92246,64,+
92691,92726,78,-
92710,92734,59,+
92842,92885,48,-
93890,93922,49,+
94505,94526,63,-
94914,94940,55,-
95351,95384,52,-
96512,96549,62,-
98155,98179,48,-
98590,98617,55,-
98868,98900,49,-
100330,100355,67,-
103332,103351,47,+
104496,104533,62,+
109577,109597,47,+
110308,110338,51,+
110483,110519,57,+
110638,110656,49,+
113066,113093,55,+
113778,113801,60,-
115113,115145,51,+
117181,117210,52,-
117572,117614,49,+
120206,120245,50,-
120690,120708,50,-
120788,120835,47,+
121071,121109,58,+
124261,124294,65,+
124918,124936,50,-
125380,125406,56,+
126157,126181,69,-
129828,129847,49,+
130496,130533,58,-
130895,130911,52,-
131508,131539,63,+
131957,131977,48,-
132000,132024,48,+
132117,132159,48,-
132234,132271,53,-
132592,132635,52,+
132731,132767,56,+
133895,133934,57,-
134477,134506,68,+
134832,134874,54,+
135560,135582,62,+
135997,136022,67,-
136375,136406,82,+
136886,136923,59,+
137508,137547,53,-
138535,138579,49,-
139074,139110,59,+
139353,139386,74,+
139528,139564,59,-
139881,139898,69,-
140345,140375,60,+
141028,141059,51,-
141256,141303,47,+
142048,142069,49,+
143700,143722,61,+
144052,144084,63,+
144341,144373,62,+
145079,145108,52,+
146589,146604,53,+
147572,147591,49,+
151265,151307,57,-
151461,151505,91,+
151890,151927,91,+
154355,154376,48,+
157675,157708,47,-
158201,158223,51,+
161453,161477,59,+
162570,162600,57,+
163139,163167,52,+
163572,163598,56,-
176725,176759,57,-
176802,176818,70,+
179964,179994,51,+
181850,181884,78,-
183553,183571,49,+
184104,184122,49,+
185952,185988,59,+
186507,186542,59,+
187267,187301,51,+
187704,187739,75,+
188171,188191,64,+
188239,188269,83,+
190608,190624,70,+
191200,191222,48,+
195397,195424,64,-
196790,196830,50,+
197765,197795,57,+
197842,197885,49,+
197923,197947,59,+
198236,198276,71,+
198683,198707,60,-
198775,198792,50,+
199487,199515,54,+
200298,200332,51,+
200429,200456,55,+
200779,200801,61,+
201107,201139,60,+
201335,201367,48,+
201758,201790,58,+
203638,203670,63,-
204141,204161,49,-
204178,204197,49,+
204399,204419,64,-
205594,205615,49,-
205767,205799,65,+
205901,205941,53,-
210956,210976,49,+
212306,212331,86,+
213372,213391,49,+
215876,215917,54,-
220022,220066,48,+
220700,220729,60,+
220976,220995,47,+
221087,221106,49,+
221583,221617,58,+
221895,221933,73,+
222340,222373,58,-
223323,223352,54,-
223375,223410,59,+
223835,223860,57,-
224663,224696,48,+
225387,225424,54,-
225494,225531,53,-
225632,225664,62,+
227151,227186,55,+
227394,227422,54,+
227575,227610,73,+
227722,227753,67,+
227885,227923,58,-
228970,228995,72,+
229721,229738,52,-
231208,231231,60,-
231950,231982,63,-
234599,234624,66,-
237499,237535,48,-
241020,241050,52,-
243188,243215,55,+
246947,246979,59,+
247046,247062,53,+
247517,247557,53,+
248006,248026,48,-
248067,248101,54,-
248439,248466,66,+
250092,250136,54,+
250452,250469,50,+
252963,252996,62,-
253677,253696,49,+
253772,253806,56,-
254379,254407,57,-
254791,254820,66,+
257062,257094,49,-
257239,257265,56,-
258054,258074,64,+
258079,258098,47,-
258101,258137,56,+
258751,258779,54,+
258792,258811,66,+
258905,258940,65,-
259453,259469,52,+
259886,259926,59,+
260197,260219,61,+
261361,261379,67,+
262057,262099,57,+
262222,262252,51,+
262885,262921,58,+
263171,263191,64,-
264144,264175,67,+
265363,265399,58,+
273338,273358,64,-
284297,284328,54,+
291611,291656,90,-
298167,298197,68,+
300098,300126,60,-
301019,301061,50,-
301830,301850,49,-
301965,302005,55,-
302799,302833,62,+
303092,303113,52,+
303174,303201,55,-
304373,304402,65,+
305806,305840,61,+
305905,305939,50,+
307036,307059,60,+
307173,307209,58,+
307585,307622,59,+
309056,309074,49,+
310610,310639,62,+
312240,312257,69,+
312537,312583,47,-
313338,313364,56,+
313424,313452,57,+
314197,314234,58,-
314596,314612,52,-
315957,316005,47,+
317302,317332,51,+
317497,317527,51,+
318644,318689,49,+
319014,319038,58,+
319335,319358,60,-
319419,319437,52,+
319515,319533,67,+
320356,320383,63,+
320398,320422,48,-
321477,321520,55,-
322913,322933,51,-
326048,326090,54,+
327945,327961,70,+
329184,329217,60,+
329953,329973,47,-
330794,330815,51,+
331575,331615,55,-
331735,331768,61,+
334673,334707,58,+
334868,334889,63,-
335008,335049,58,-
335590,335611,90,+
335932,335955,87,+
336670,336705,72,-
336815,336841,68,+
337384,337417,48,-
338770,338804,61,+
340142,340175,59,+
340227,340256,52,+
340318,340337,66,-
340530,340555,47,-
341001,341025,48,-
341497,341514,50,+
341591,341613,51,-
342680,342705,69,+
343101,343127,56,-
343199,343226,55,-
343324,343354,55,+
345275,345297,64,+
345352,345389,58,+
345437,345475,51,-
345851,345868,50,+
346101,346135,65,+
346977,347021,53,-
348277,348301,59,-
350178,350201,60,+
353825,353861,58,+
358557,358577,47,-
359214,359247,60,+
360914,360947,65,-
362255,362284,58,-
362387,362424,56,+
364330,364366,55,-
366965,366995,51,+
368452,368485,62,+
368544,368564,51,+
370492,370519,53,+
371238,371276,58,-
372324,372343,66,+
383627,383661,55,+
383690,383718,67,+
383910,383949,55,-
387873,387902,52,+
388216,388234,49,+
390004,390028,59,+
394351,394386,58,-
395133,395152,49,+
397804,397837,62,+
399316,399345,52,+
399904,399925,63,+
400202,400244,50,+
400731,400759,54,+
401420,401438,50,+
401804,401842,55,+
402048,402074,56,+
402744,402775,50,+
404255,404300,47,+
404572,404602,51,+
404791,404826,91,+
405393,405431,50,-
405663,405696,91,+
405792,405840,48,-
408170,408197,55,+
409691,409737,47,+
409901,409935,64,+
410590,410617,57,-
413386,413415,51,-
414077,414116,59,+
414357,414390,51,+
414632,414655,60,-
414664,414693,63,+
415219,415252,64,-
415379,415415,58,-
416711,416745,48,+
417436,417459,49,+
419353,419392,55,+
419614,419647,70,-
419908,419931,69,+
419981,420011,65,+
420504,420553,74,+
424935,424955,47,-
424985,425014,52,-
425771,425804,47,-
426512,426531,51,+
427496,427529,48,+
428783,428805,61,+
429589,429613,48,+
433986,434007,63,+
434275,434314,51,-
434416,434458,54,-
435644,435671,55,+
435977,436014,59,+
437668,437696,63,-
437805,437831,56,+
438364,438392,54,-
438566,438599,64,+
439067,439094,72,+
439406,439443,75,-
439926,439959,59,+
440329,440365,62,+
440518,440539,63,+
441999,442022,49,-
442481,442504,71,+
442930,442955,57,+
445874,445895,48,+
447951,447993,55,+
448562,448596,65,+
448815,448857,50,+
448986,449005,47,+
449320,449345,57,+
452640,452674,60,-
453246,453281,50,+
456812,456852,48,-
457214,457231,52,-
457714,457756,57,+
460053,460074,63,+
460783,460814,50,-
461300,461337,61,+
463131,463179,48,+
466415,466444,58,+
466498,466531,59,+
466782,466813,49,-
470375,470415,57,+
471525,471564,50,+
472067,472086,66,-
472952,472981,79,-
474027,474072,49,-
474666,474693,69,+
476078,476106,69,-
476204,476230,56,-
476566,476599,51,+
476739,476784,49,+
476864,476890,56,-
476872,476905,60,+
476935,476956,63,-
477324,477354,49,+
478174,478193,66,-
478784,478812,81,+
478987,479003,52,+
484886,484918,59,-
485113,485155,55,+
488160,488193,59,-
489897,489926,69,+
489949,489969,49,+
490764,490791,60,+
492520,492552,79,+
495064,495087,49,+
496564,496605,51,-
497000,497028,54,+
498202,498236,60,+
499941,499973,66,+
501596,501620,48,+
503366,503385,47,+
508356,508385,68,+
508411,508440,52,+
509194,509214,64,-
511563,511589,56,-
511992,512024,49,-
512991,513026,50,+
513969,514008,54,-
514536,514556,64,+
516373,516391,51,-
517856,517892,59,+
518800,518835,54,+
519247,519280,47,+
519305,519342,55,+
522613,522633,48,+
524512,524542,62,-
525893,525929,47,+
526914,526944,54,+
528530,528557,64,+
528663,528689,56,+
529035,529064,52,+
529917,529948,54,+
533155,533181,58,+
535167,535197,66,-
535872,535892,47,+
538979,539007,71,-
540016,540048,65,+
540153,540183,65,+
540788,540817,55,+
541159,541183,48,+
544978,545007,64,+
547169,547199,51,-
549190,549221,63,+
550520,550540,54,-
551093,551123,49,-
552177,552196,52,+
552586,552608,48,+
552788,552829,48,-
553257,553297,49,+
553374,553411,53,+
553602,553645,53,+
555493,555516,60,+
558516,558553,59,+
561057,561087,52,+
561196,561224,52,-
561576,561602,68,+
561767,561788,48,+
561906,561938,80,+
567450,567494,50,+
568833,568855,51,+
571879,571899,64,+
572958,573000,52,+
575236,575282,49,+
576830,576866,58,+
577424,577447,60,+
577570,577614,50,+
577843,577876,63,+
578845,578891,47,+
579482,579507,58,+
582591,582612,48,+
585006,585038,50,+
586689,586728,73,+
587207,587255,47,+
587425,587469,50,+
589277,589315,53,+
592681,592712,50,+
592978,593010,93,-
599207,599226,49,+
601115,601142,55,+
601507,601538,50,-
601577,601613,61,+
603133,603165,48,+
603366,603401,57,+
604457,604489,48,+
605011,605039,65,-
605273,605300,55,+
606755,606788,48,+
607105,607126,49,+
608086,608119,56,+
608479,608520,72,+
608541,608561,64,+
609053,609073,47,+
609703,609741,53,-
613182,613209,55,+
613671,613707,61,+
613992,614025,47,+
614836,614856,47,-
614893,614930,58,+
615189,615213,67,+
615788,615833,48,+
617071,617105,51,+
617256,617276,47,-
617390,617431,57,+
618257,618275,67,+
618480,618524,54,-
618962,618995,47,+
619293,619326,48,-
620601,620628,71,+
620634,620665,54,+
621081,621104,49,+
621765,621785,48,-
621892,621925,59,+
622155,622172,69,+
622923,622965,68,+
623332,623369,58,+
623451,623470,65,+
623822,623842,64,+
624068,624091,48,+
625012,625028,52,-
625229,625248,47,+
626975,627002,57,-
627993,628014,64,+
629680,629709,51,+
630349,630371,48,+
633097,633116,47,+
639523,639566,50,-
640168,640200,82,+
640281,640307,55,-
641100,641134,48,-
642015,642042,57,+
642278,642308,63,-
642408,642438,80,+
643164,643193,68,+
643400,643426,56,+
643558,643586,99,+
645058,645092,67,+
645107,645145,51,-
645217,645240,60,+
645384,645410,56,+
646112,646137,57,+
646329,646359,54,+
648630,648675,52,-
649614,649638,59,-
651939,651958,47,-
652919,652951,65,-
653880,653924,67,+
655190,655227,50,+
655401,655435,58,+
656110,656138,54,+
656520,656549,51,-
657451,657477,71,+
657770,657791,52,+
658016,658039,48,+
658568,658585,52,+
659132,659149,69,+
661799,661835,58,+
663295,663319,67,+
663557,663578,48,-
665305,665341,59,+
665909,665957,84,-
666344,666382,51,+
666419,666438,47,+
669586,669611,69,+
670973,671005,57,+
671890,671909,47,+
672686,672726,54,+
672837,672859,63,+
673710,673726,52,-
674405,674447,52,-
675436,675455,47,+
675477,675494,50,+
675623,675671,47,+
676983,677016,56,-
677202,677235,64,+
677274,677318,48,+
677449,677481,62,+
678369,678399,64,+
682056,682075,49,+
682502,682534,60,+
685188,685228,57,+
686902,686949,50,-
688271,688310,61,+
688606,688642,74,+
688656,688678,61,+
688719,688746,55,+
690544,690574,51,+
692642,692679,64,+
692782,692820,56,-
692971,693013,49,-
693300,693322,64,-
693713,693750,47,+
693845,693869,59,+
696263,696284,49,-
697247,697270,60,-
697710,697754,49,-
701426,701443,52,-
702119,702152,60,+
702378,702401,49,-
703864,703900,52,+
706071,706103,62,+
707592,707630,62,+
713969,714005,48,-
717293,717327,58,+
717617,717658,53,+
717677,717698,48,+
718187,718231,49,+
722570,722610,53,+
722745,722765,47,-
722855,722884,64,+
722913,722937,48,+
724739,724778,61,+
725825,725856,52,+
727004,727034,62,-
727148,727174,58,-
727870,727905,50,+
729840,729871,60,+
730834,730868,89,+
731925,731961,58,-
734516,734534,51,-
740964,740991,55,+
741008,741051,98,+
741078,741101,60,-
742412,742444,49,+
742590,742612,48,+
742841,742879,74,+
746094,746140,49,+
747426,747450,48,+
747514,747535,62,+
748785,748812,55,+
750474,750496,51,+
758038,758080,54,-
758471,758502,112,+
759419,759448,70,+
760424,760465,55,+
762299,762340,101,+
764270,764295,47,+
764506,764531,57,-
765457,765473,70,+
765718,765759,53,-
766097,766129,54,+
766234,766260,56,+
766724,766758,48,-
766777,766805,53,-
767292,767316,48,-
769188,769233,49,+
769899,769928,51,+
772759,772778,49,-
773204,773231,55,-
774463,774497,76,-
775717,775761,49,+
776124,776151,55,+
777126,777160,50,+
777252,777283,67,+
778105,778137,57,+
790505,790529,61,+
790966,790986,54,+
792366,792401,60,-
793912,793943,50,+
794974,794997,60,+
796839,796876,58,+
799823,799859,59,+
800091,800125,91,+
803004,803032,54,+
803055,803076,63,+
803276,803306,62,+
804139,804181,53,+
804900,804930,49,+
807422,807462,55,-
807719,807759,55,-
808016,808056,55,-
808907,808947,55,-
810689,810729,55,-
812174,812214,55,-
812471,812511,55,-
812768,812808,55,-
813065,813105,55,-
813362,813402,55,-
818947,818982,88,+
819207,819243,73,-
819470,819496,56,+
819896,819911,53,+
820117,820140,49,-
820693,820716,50,+
821805,821842,57,-
822923,822957,64,-
823396,823444,62,+
824145,824188,68,-
826315,826335,49,-
830654,830677,48,-
830689,830716,72,+
833145,833186,50,-
833640,833679,54,+
837735,837765,79,+
839618,839648,49,-
839875,839896,63,+
840969,840999,52,-
841545,841561,52,+
841923,841960,58,+
842547,842576,68,+
843422,843440,67,+
845460,845477,52,+
845942,845963,81,+
848701,848722,63,+
848787,848808,49,+
849098,849124,56,+
849632,849674,50,+
850651,850680,65,+
851066,851098,49,-
851092,851120,63,+
851340,851372,52,+
851781,851812,95,+
852570,852609,58,+
853003,853044,57,+
853098,853124,56,+
853710,853738,52,+
854216,854250,56,-
855660,855682,49,+
856777,856795,67,+
857146,857171,56,+
857780,857812,82,+
859545,859564,47,+
860046,860077,83,+
860408,860447,53,+
860731,860762,59,+
861084,861105,48,-
861232,861268,89,+
862713,862731,49,+
863716,863740,67,+
864268,864301,92,-
864536,864565,60,+
865345,865373,63,+
865977,865998,48,+
866300,866323,60,+
871683,871711,99,+
872067,872089,51,+
873323,873366,48,+
