start,end,score,strand
9740,9778,95,-
10166,10186,64,-
12784,12813,52,+
15812,15844,57,-
16740,16758,49,+
18657,18687,51,+
19405,19425,64,-
19543,19563,64,+
21170,21202,62,-
21481,21520,49,-
21846,21876,51,+
25574,25594,47,-
26901,26936,73,+
29793,29813,64,-
29931,29951,64,+
30001,30030,80,-
30879,30917,49,-
31282,31330,49,-
32260,32287,55,-
34303,34339,105,+
35986,36032,50,+
36733,36756,48,+
37325,37353,63,-
38028,38073,47,+
38140,38178,55,+
39978,40020,52,-
41672,41692,48,+
41817,41847,85,-
41972,41988,70,+
42975,43016,53,+
48442,48469,53,+
48794,48829,105,+
49316,49352,53,+
52299,52319,64,-
52436,52456,64,+
52554,52581,57,-
52647,52685,50,-
53138,53171,59,-
53885,53927,55,-
55671,55698,63,-
56852,56879,71,-
58192,58217,47,+
60781,60814,103,+
61832,61852,47,+
61872,61894,51,+
64935,64968,60,+
65623,65644,48,+
69140,69160,64,-
69235,69264,51,-
69268,69288,64,+
73906,73926,64,-
74043,74063,64,+
80615,80653,58,+
80681,80701,64,-
80819,80839,64,+
80872,80902,124,-
84257,84286,68,-
85114,85140,60,+
86895,86916,49,-
87079,87120,51,-
88749,88773,59,+
88928,88967,73,-
89670,89719,129,+
92067,92085,67,-
92156,92179,60,-
93039,93056,69,-
95640,95671,50,-
100671,100690,66,-
102976,102999,49,+
106486,106506,64,-
106624,106644,64,+
107453,107494,53,+
108039,108080,58,+
108276,108303,69,+
108334,108364,55,+
108862,108892,49,-
111185,111213,54,-
111953,111973,49,-
113746,113786,96,-
114875,114910,67,+
115073,115097,59,+
117791,117818,83,-
119452,119467,72,+
120601,120634,62,-
123357,123377,47,-
124374,124399,57,+
125401,125431,60,-
126390,126416,73,+
127358,127381,48,+
128035,128072,53,-
128568,128588,64,-
128706,128726,64,+
128937,128958,48,+
128994,129012,67,+
133057,133086,52,+
136138,136182,53,-
136218,136258,48,-
136687,136720,48,-
137298,137333,56,-
