# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	1	1398	+					dnaA	66389869	FEI17_RS00005	1398		old_locus_tag=FEI17_00005
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	1	1398	+	WP_007369397.1	WP_007369397.1		chromosomal replication initiator protein DnaA	dnaA	66389869	FEI17_RS00005	1398	465	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	1403	2503	+					dnaN	66389870	FEI17_RS00010	1101		old_locus_tag=FEI17_00010
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	1403	2503	+	WP_007369398.1	WP_007369398.1		DNA polymerase III subunit beta	dnaN	66389870	FEI17_RS00010	1101	366	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	2644	3717	+					recF	66389871	FEI17_RS00015	1074		old_locus_tag=FEI17_00015
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	2644	3717	+	WP_007369399.1	WP_007369399.1		DNA replication/repair protein RecF	recF	66389871	FEI17_RS00015	1074	357	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	3746	6160	+					gyrB	66389872	FEI17_RS00020	2415		old_locus_tag=FEI17_00020
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	3746	6160	+	WP_007369400.1	WP_007369400.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	66389872	FEI17_RS00020	2415	804	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	6384	7196	+					yidA	66389873	FEI17_RS00025	813		old_locus_tag=FEI17_00025
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	6384	7196	+	WP_144134632.1	WP_144134632.1		sugar-phosphatase	yidA	66389873	FEI17_RS00025	813	270	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	7312	8538	+						66389874	FEI17_RS00030	1227		old_locus_tag=FEI17_00030
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	7312	8538	+	WP_149288139.1	WP_149288139.1		DUF3748 domain-containing protein		66389874	FEI17_RS00030	1227	408	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	8540	8869	-						66389875	FEI17_RS00035	330		old_locus_tag=FEI17_00035
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	8540	8869	-	WP_007369403.1	WP_007369403.1		YceK/YidQ family lipoprotein		66389875	FEI17_RS00035	330	109	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	9181	9594	+					ibpA	66389876	FEI17_RS00040	414		old_locus_tag=FEI17_00040
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	9181	9594	+	WP_007369404.1	WP_007369404.1		heat shock chaperone IbpA	ibpA	66389876	FEI17_RS00040	414	137	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	9706	10134	+					ibpB	66389877	FEI17_RS00045	429		old_locus_tag=FEI17_00045
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	9706	10134	+	WP_071921730.1	WP_071921730.1		heat shock chaperone IbpB	ibpB	66389877	FEI17_RS00045	429	142	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	10177	11439	-					oxlT	66389878	FEI17_RS00050	1263		old_locus_tag=FEI17_00050
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	10177	11439	-	WP_071921729.1	WP_071921729.1		oxalate/formate MFS antiporter	oxlT	66389878	FEI17_RS00050	1263	420	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	11716	13377	+						66389879	FEI17_RS00055	1662		old_locus_tag=FEI17_00055
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	11716	13377	+	WP_007369408.1	WP_007369408.1		putative transporter		66389879	FEI17_RS00055	1662	553	
gene	protein_coding	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	13324	14091	-						66389880	FEI17_RS00060	768		old_locus_tag=FEI17_00060
CDS	with_protein	GCF_008330085.1	Primary Assembly	chromosome		NZ_CP040392.1	13324	14091	-	WP_149288140.1	WP_149288140.1		GntR family transcriptional regulator		66389880	FEI17_RS00060	768	255	
