# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	115	1464	+					dnaA		HV561_RS00005	1350		old_locus_tag=HV561_00005
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	115	1464	+	WP_176808955.1	WP_176808955.1		chromosomal replication initiator protein DnaA	dnaA		HV561_RS00005	1350	449	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	1489	2592	+					dnaN		HV561_RS00010	1104		old_locus_tag=HV561_00010
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	1489	2592	+	WP_176807318.1	WP_176807318.1		DNA polymerase III subunit beta	dnaN		HV561_RS00010	1104	367	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	2873	3919	-							HV561_RS00015	1047		old_locus_tag=HV561_00015
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	2873	3919	-	WP_176807319.1	WP_176807319.1		hypothetical protein			HV561_RS00015	1047	348	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	4399	5019	-							HV561_RS00020	621		old_locus_tag=HV561_00020
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	4399	5019	-	WP_176807320.1	WP_176807320.1		tetratricopeptide repeat protein			HV561_RS00020	621	206	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	5028	6299	-					hisS		HV561_RS00025	1272		old_locus_tag=HV561_00025
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	5028	6299	-	WP_176807321.1	WP_176807321.1		histidine--tRNA ligase	hisS		HV561_RS00025	1272	423	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	6310	7419	-					ispG		HV561_RS00030	1110		old_locus_tag=HV561_00030
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	6310	7419	-	WP_176807322.1	WP_176807322.1		flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	ispG		HV561_RS00030	1110	369	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	7515	8420	-							HV561_RS00035	906		old_locus_tag=HV561_00035
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	7515	8420	-	WP_176807323.1	WP_176807323.1		DUF4115 domain-containing protein			HV561_RS00035	906	301	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	8604	9980	-					argH		HV561_RS00040	1377		old_locus_tag=HV561_00040
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	8604	9980	-	WP_176807324.1	WP_176807324.1		argininosuccinate lyase	argH		HV561_RS00040	1377	458	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	10088	11251	-					mnmA		HV561_RS00045	1164		old_locus_tag=HV561_00045
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	10088	11251	-	WP_176807325.1	WP_176807325.1		tRNA 2-thiouridine(34) synthase MnmA	mnmA		HV561_RS00045	1164	387	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	11385	11630	-					nqrM		HV561_RS00050	246		old_locus_tag=HV561_00050
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	11385	11630	-	WP_176807326.1	WP_176807326.1		(Na+)-NQR maturation NqrM	nqrM		HV561_RS00050	246	81	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	11643	12677	-							HV561_RS00055	1035		old_locus_tag=HV561_00055
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	11643	12677	-	WP_176807327.1	WP_176807327.1		FAD:protein FMN transferase			HV561_RS00055	1035	344	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	12961	14190	-					nqrF		HV561_RS00060	1230		old_locus_tag=HV561_00060
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	12961	14190	-	WP_176807328.1	WP_176807328.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit F	nqrF		HV561_RS00060	1230	409	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	14200	14796	-					nqrE		HV561_RS00065	597		old_locus_tag=HV561_00065
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	14200	14796	-	WP_176807329.1	WP_176807329.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit E	nqrE		HV561_RS00065	597	198	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	14798	15424	-							HV561_RS00070	627		old_locus_tag=HV561_00070
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	14798	15424	-	WP_159628471.1	WP_159628471.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit D			HV561_RS00070	627	208	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	15424	16200	-							HV561_RS00075	777		old_locus_tag=HV561_00075
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	15424	16200	-	WP_176807330.1	WP_176807330.1		Na(+)-translocating NADH-quinone reductase subunit C			HV561_RS00075	777	258	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	16193	17428	-							HV561_RS00080	1236		old_locus_tag=HV561_00080
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	16193	17428	-	WP_176807331.1	WP_176807331.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit B			HV561_RS00080	1236	411	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	17431	18789	-							HV561_RS00085	1359		old_locus_tag=HV561_00085
CDS	with_protein	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	17431	18789	-	WP_159628474.1	WP_159628474.1		Na(+)-translocating NADH-quinone reductase subunit A			HV561_RS00085	1359	452	
gene	protein_coding	GCF_013378015.1	Primary Assembly	chromosome		NZ_CP055302.1	19280	19876	+					nfuA		HV561_RS00090	597		old_locus_tag=HV561_00090
