# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	1	441	-					mioC		ETA_RS00975	441		old_locus_tag=ETA_00010
CDS	with_protein	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	1	441	-	WP_012439781.1	WP_012439781.1		FMN-binding protein MioC	mioC		ETA_RS00975	441	146	
gene	protein_coding	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	655	1116	-					asnC		ETA_RS00980	462		old_locus_tag=ETA_00020
CDS	with_protein	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	655	1116	-	WP_012439782.1	WP_012439782.1		transcriptional regulator AsnC	asnC		ETA_RS00980	462	153	
gene	protein_coding	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	1234	3393	-					ovoA		ETA_RS00985	2160		old_locus_tag=ETA_00030
CDS	with_protein	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	1234	3393	-	WP_012439783.1	WP_012439783.1		5-histidylcysteine sulfoxide synthase	ovoA		ETA_RS00985	2160	719	
gene	protein_coding	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	3457	4917	-					viaA		ETA_RS00990	1461		old_locus_tag=ETA_00040
CDS	with_protein	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	3457	4917	-	WP_012439784.1	WP_012439784.1		ATPase RavA stimulator ViaA	viaA		ETA_RS00990	1461	486	
gene	protein_coding	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	4914	6407	-					ravA		ETA_RS00995	1494		old_locus_tag=ETA_00050
CDS	with_protein	GCF_000026185.1	Primary Assembly	chromosome		NC_010694.1	4914	6407	-	WP_012439785.1	WP_012439785.1		ATPase RavA	ravA		ETA_RS00995	1494	497	
