# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	1	1335	+					dnaA		CNO08_RS00005	1335		old_locus_tag=CNO08_00005
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	1	1335	+	WP_036103300.1	WP_036103300.1		chromosomal replication initiator protein DnaA	dnaA		CNO08_RS00005	1335	444	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	2212	3312	+					dnaN		CNO08_RS00010	1101		old_locus_tag=CNO08_00010
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	2212	3312	+	WP_046658564.1	WP_046658564.1		DNA polymerase III subunit beta	dnaN		CNO08_RS00010	1101	366	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	3860	4945	+					recF		CNO08_RS00015	1086		old_locus_tag=CNO08_00015
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	3860	4945	+	WP_096411394.1	WP_096411394.1		DNA replication/repair protein RecF	recF		CNO08_RS00015	1086	361	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	5452	7935	+					gyrB		CNO08_RS00020	2484		old_locus_tag=CNO08_00020
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	5452	7935	+	WP_046658566.1	WP_046658566.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CNO08_RS00020	2484	827	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	8108	8779	+							CNO08_RS00025	672		old_locus_tag=CNO08_00025
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	8108	8779	+	WP_057920275.1	WP_057920275.1		CPBP family intramembrane metalloprotease			CNO08_RS00025	672	223	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	8892	9695	+							CNO08_RS00030	804		old_locus_tag=CNO08_00030
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	8892	9695	+	WP_036103311.1	WP_036103311.1		M48 family metallopeptidase			CNO08_RS00030	804	267	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	9833	11056	+							CNO08_RS00035	1224		old_locus_tag=CNO08_00035
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	9833	11056	+	WP_036103313.1	WP_036103313.1		tetratricopeptide repeat protein			CNO08_RS00035	1224	407	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	11203	11880	+							CNO08_RS00040	678		old_locus_tag=CNO08_00040
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	11203	11880	+	WP_046658570.1	WP_046658570.1		energy transducer TonB			CNO08_RS00040	678	225	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	11964	12713	+							CNO08_RS00045	750		old_locus_tag=CNO08_00045
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	11964	12713	+	WP_036103316.1	WP_036103316.1		MotA/TolQ/ExbB proton channel family protein			CNO08_RS00045	750	249	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	12755	13168	+							CNO08_RS00050	414		old_locus_tag=CNO08_00050
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	12755	13168	+	WP_046658571.1	WP_046658571.1		biopolymer transporter ExbD			CNO08_RS00050	414	137	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	13184	13597	+							CNO08_RS00055	414		old_locus_tag=CNO08_00055
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	13184	13597	+	WP_036103323.1	WP_036103323.1		biopolymer transporter ExbD			CNO08_RS00055	414	137	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	13776	14180	+							CNO08_RS00060	405		old_locus_tag=CNO08_00060
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	13776	14180	+	WP_157753701.1	WP_157753701.1		biopolymer transporter ExbD			CNO08_RS00060	405	134	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	14669	15424	-							CNO08_RS00065	756		old_locus_tag=CNO08_00065
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	14669	15424	-	WP_096411399.1	WP_096411399.1		pyridoxine 5'-phosphate synthase			CNO08_RS00065	756	251	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	15555	15818	-							CNO08_RS00070	264		old_locus_tag=CNO08_00070
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	15555	15818	-	WP_036103330.1	WP_036103330.1		hypothetical protein			CNO08_RS00070	264	87	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	16305	17741	-					cls		CNO08_RS00075	1437		old_locus_tag=CNO08_00075
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	16305	17741	-	WP_096411401.1	WP_096411401.1		cardiolipin synthase	cls		CNO08_RS00075	1437	478	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	18097	18852	+							CNO08_RS00080	756		old_locus_tag=CNO08_00080
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	18097	18852	+	WP_157753702.1	WP_157753702.1		SIMPL domain-containing protein			CNO08_RS00080	756	251	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	19493	20596	+							CNO08_RS00085	1104		old_locus_tag=CNO08_00085
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	19493	20596	+	WP_096411406.1	WP_096411406.1		PA0069 family radical SAM protein			CNO08_RS00085	1104	367	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	20672	22618	-							CNO08_RS00090	1947		old_locus_tag=CNO08_00090
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	20672	22618	-	WP_096411408.1	WP_096411408.1		hypothetical protein			CNO08_RS00090	1947	648	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	23042	24652	-							CNO08_RS00095	1611		old_locus_tag=CNO08_00095
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	23042	24652	-	WP_096411411.1	WP_096411411.1		MFS transporter			CNO08_RS00095	1611	536	
gene	protein_coding	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	24863	25765	+							CNO08_RS00100	903		old_locus_tag=CNO08_00100
CDS	with_protein	GCF_002355295.1	Primary Assembly	chromosome		NZ_CP023465.1	24863	25765	+	WP_036103344.1	WP_036103344.1		LysR family transcriptional regulator			CNO08_RS00100	903	300	
