# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	1	1371	+					dnaA	69623488	LEO81_RS00005	1371		old_locus_tag=LEO81_00005
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	1	1371	+	WP_005307141.1	WP_005307141.1		chromosomal replication initiator protein DnaA	dnaA	69623488	LEO81_RS00005	1371	456	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	1455	2558	+					dnaN	69623489	LEO81_RS00010	1104		old_locus_tag=LEO81_00010
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	1455	2558	+	WP_005307138.1	WP_005307138.1		DNA polymerase III subunit beta	dnaN	69623489	LEO81_RS00010	1104	367	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	2561	3664	+					recF	69623490	LEO81_RS00015	1104		old_locus_tag=LEO81_00015
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	2561	3664	+	WP_017787844.1	WP_017787844.1		DNA replication/repair protein RecF	recF	69623490	LEO81_RS00015	1104	367	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	3661	6072	+					gyrB	69623491	LEO81_RS00020	2412		old_locus_tag=LEO81_00020
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	3661	6072	+	WP_017766631.1	WP_017766631.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	69623491	LEO81_RS00020	2412	803	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	6173	6550	-						69623492	LEO81_RS00025	378		old_locus_tag=LEO81_00025
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	6173	6550	-	WP_201882039.1	WP_201882039.1		VOC family protein		69623492	LEO81_RS00025	378	125	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	6617	7321	-						69623493	LEO81_RS00030	705		old_locus_tag=LEO81_00030
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	6617	7321	-	WP_017785136.1	WP_017785136.1		YafY family transcriptional regulator		69623493	LEO81_RS00030	705	234	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	7558	7971	+						69623494	LEO81_RS00035	414		old_locus_tag=LEO81_00035
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	7558	7971	+	WP_010635612.1	WP_010635612.1		Hsp20 family protein		69623494	LEO81_RS00035	414	137	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	8065	8505	+						69623495	LEO81_RS00040	441		old_locus_tag=LEO81_00040
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	8065	8505	+	WP_017766633.1	WP_017766633.1		Hsp20 family protein		69623495	LEO81_RS00040	441	146	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	8582	9832	-						69623496	LEO81_RS00045	1251		old_locus_tag=LEO81_00045
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	8582	9832	-	WP_201882040.1	WP_201882040.1		valine--pyruvate transaminase		69623496	LEO81_RS00045	1251	416	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	10115	10348	+						69623497	LEO81_RS00050	234		old_locus_tag=LEO81_00050
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	10115	10348	+	WP_201882041.1	WP_201882041.1		hypothetical protein		69623497	LEO81_RS00050	234	77	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	10278	11102	-						69623498	LEO81_RS00055	825		old_locus_tag=LEO81_00055
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	10278	11102	-	WP_005307115.1	WP_005307115.1		helix-turn-helix transcriptional regulator		69623498	LEO81_RS00055	825	274	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	11195	12322	+						69623499	LEO81_RS00060	1128		old_locus_tag=LEO81_00060
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	11195	12322	+	WP_226014178.1	WP_226014178.1		multidrug effflux MFS transporter		69623499	LEO81_RS00060	1128	375	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	12327	13010	-						69623500	LEO81_RS00065	684		old_locus_tag=LEO81_00065
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	12327	13010	-	WP_017780324.1	WP_017780324.1		response regulator		69623500	LEO81_RS00065	684	227	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	13049	15637	-						69623501	LEO81_RS00070	2589		old_locus_tag=LEO81_00070
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	13049	15637	-	WP_017780325.1	WP_017780325.1		sensor histidine kinase KdpD		69623501	LEO81_RS00070	2589	862	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	15740	16267	-						69623502	LEO81_RS00075	528		old_locus_tag=LEO81_00075
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	15740	16267	-	WP_201882044.1	WP_201882044.1		potassium-transporting ATPase subunit C		69623502	LEO81_RS00075	528	175	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	16426	18483	-					kdpB	69623503	LEO81_RS00080	2058		old_locus_tag=LEO81_00080
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	16426	18483	-	WP_201882045.1	WP_201882045.1		potassium-transporting ATPase subunit KdpB	kdpB	69623503	LEO81_RS00080	2058	685	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	18539	20233	-					kdpA	69623504	LEO81_RS00085	1695		old_locus_tag=LEO81_00085
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	18539	20233	-	WP_226014179.1	WP_226014179.1		potassium-transporting ATPase subunit KdpA	kdpA	69623504	LEO81_RS00085	1695	564	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	21369	21911	+						69623505	LEO81_RS00090	543		old_locus_tag=LEO81_00090
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	21369	21911	+	WP_226014180.1	WP_226014180.1		type 1 fimbrial protein		69623505	LEO81_RS00090	543	180	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	21983	24469	+						69623506	LEO81_RS00095	2487		old_locus_tag=LEO81_00095
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	21983	24469	+	WP_226014181.1	WP_226014181.1		fimbria/pilus outer membrane usher protein		69623506	LEO81_RS00095	2487	828	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	24501	25241	+						69623507	LEO81_RS00100	741		old_locus_tag=LEO81_00100
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	24501	25241	+	WP_226014182.1	WP_226014182.1		fimbria/pilus periplasmic chaperone		69623507	LEO81_RS00100	741	246	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	25269	25796	+						69623508	LEO81_RS00105	528		old_locus_tag=LEO81_00105
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	25269	25796	+	WP_226014183.1	WP_226014183.1		type 1 fimbrial protein		69623508	LEO81_RS00105	528	175	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	25860	26792	+						69623509	LEO81_RS00110	933		old_locus_tag=LEO81_00110
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	25860	26792	+	WP_226014184.1	WP_226014184.1		hypothetical protein		69623509	LEO81_RS00110	933	310	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	27028	28410	+						69623510	LEO81_RS00115	1383		old_locus_tag=LEO81_00115
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	27028	28410	+	WP_226014185.1	WP_226014185.1		helix-turn-helix domain-containing protein		69623510	LEO81_RS00115	1383	460	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	28551	29900	-					gorA	69623511	LEO81_RS00120	1350		old_locus_tag=LEO81_00120
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	28551	29900	-	WP_226014186.1	WP_226014186.1		glutathione-disulfide reductase	gorA	69623511	LEO81_RS00120	1350	449	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	29977	31944	-						69623512	LEO81_RS00125	1968		old_locus_tag=LEO81_00125
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	29977	31944	-	WP_226014187.1	WP_226014187.1		ATP-binding protein		69623512	LEO81_RS00125	1968	655	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	32067	35147	-						69623513	LEO81_RS00130	3081		old_locus_tag=LEO81_00130
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	32067	35147	-	WP_226014188.1	WP_226014188.1		multidrug efflux RND transporter permease subunit		69623513	LEO81_RS00130	3081	1026	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	35163	36269	-						69623514	LEO81_RS00135	1107		old_locus_tag=LEO81_00135
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	35163	36269	-	WP_226014189.1	WP_226014189.1		efflux RND transporter periplasmic adaptor subunit		69623514	LEO81_RS00135	1107	368	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	36302	36865	-						69623515	LEO81_RS00140	564		old_locus_tag=LEO81_00140
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	36302	36865	-	WP_019839352.1	WP_019839352.1		TetR/AcrR family transcriptional regulator		69623515	LEO81_RS00140	564	187	
gene	tRNA	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37126	37202	+						69623516	LEO81_RS00145	77		old_locus_tag=LEO81_00145
tRNA		GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37126	37202	+				tRNA-Arg		69623516	LEO81_RS00145	77		anticodon=CCG
gene	tRNA	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37253	37328	+						69623517	LEO81_RS00150	76		old_locus_tag=LEO81_00150
tRNA		GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37253	37328	+				tRNA-His		69623517	LEO81_RS00150	76		anticodon=GTG
gene	tRNA	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37349	37434	+						69623518	LEO81_RS00155	86		old_locus_tag=LEO81_00155
tRNA		GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37349	37434	+				tRNA-Leu		69623518	LEO81_RS00155	86		anticodon=CAG
gene	tRNA	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37499	37575	+						69623519	LEO81_RS00160	77		old_locus_tag=LEO81_00160
tRNA		GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37499	37575	+				tRNA-Pro		69623519	LEO81_RS00160	77		anticodon=TGG
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37799	38233	+						69623520	LEO81_RS00165	435		old_locus_tag=LEO81_00165
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	37799	38233	+	WP_010635629.1	WP_010635629.1		ricin-type beta-trefoil lectin domain protein		69623520	LEO81_RS00165	435	144	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	38233	38772	+						69623521	LEO81_RS00170	540		old_locus_tag=LEO81_00170
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	38233	38772	+	WP_005307089.1	WP_005307089.1		lectin		69623521	LEO81_RS00170	540	179	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	38845	40182	-						69623522	LEO81_RS00175	1338		old_locus_tag=LEO81_00175
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	38845	40182	-	WP_005307086.1	WP_005307086.1		MFS transporter		69623522	LEO81_RS00175	1338	445	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	40530	41756	+						69623523	LEO81_RS00180	1227		old_locus_tag=LEO81_00180
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	40530	41756	+	WP_226014539.1	WP_226014539.1		ABC transporter substrate-binding protein		69623523	LEO81_RS00180	1227	408	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	41753	44188	+						69623524	LEO81_RS00185	2436		old_locus_tag=LEO81_00185
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	41753	44188	+	WP_201882051.1	WP_201882051.1		ATP-binding protein		69623524	LEO81_RS00185	2436	811	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	44172	45449	+						69623525	LEO81_RS00190	1278		old_locus_tag=LEO81_00190
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	44172	45449	+	WP_226014190.1	WP_226014190.1		sigma-54 dependent transcriptional regulator		69623525	LEO81_RS00190	1278	425	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	45531	46343	-						69623526	LEO81_RS00195	813		old_locus_tag=LEO81_00195
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	45531	46343	-	WP_017783517.1	WP_017783517.1		Cof-type HAD-IIB family hydrolase		69623526	LEO81_RS00195	813	270	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	46437	47477	-						69623527	LEO81_RS00200	1041		old_locus_tag=LEO81_00200
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	46437	47477	-	WP_201882054.1	WP_201882054.1		alpha/beta fold hydrolase		69623527	LEO81_RS00200	1041	346	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	47474	48136	-						69623528	LEO81_RS00205	663		old_locus_tag=LEO81_00205
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	47474	48136	-	WP_201882056.1	WP_201882056.1		CatB-related O-acetyltransferase		69623528	LEO81_RS00205	663	220	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	48139	48879	-					trmH	69623529	LEO81_RS00210	741		old_locus_tag=LEO81_00210
CDS	with_protein	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	48139	48879	-	WP_201882058.1	WP_201882058.1		tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	trmH	69623529	LEO81_RS00210	741	246	
gene	protein_coding	GCF_020405345.1	Primary Assembly	chromosome		NZ_CP084351.1	48998	51115	-					spoT	69623530	LEO81_RS00215	2118		old_locus_tag=LEO81_00215
