start,end,score,strand
7392,7421,51,+
11165,11190,88,+
17954,17990,54,+
18612,18652,50,+
19749,19792,48,+
20522,20554,76,+
25000,25026,56,+
27753,27799,50,-
28552,28575,89,+
28825,28865,58,+
30350,30383,75,-
30630,30666,75,+
32557,32582,47,+
33095,33140,50,+
33162,33186,48,+
38345,38384,54,+
41719,41749,54,+
42127,42146,49,+
51221,51240,66,-
58793,58838,47,-
63173,63210,58,-
69328,69350,48,+
72192,72231,55,+
72846,72881,62,+
78530,78553,60,+
78572,78600,63,+
78773,78809,61,+
79548,79573,57,+
83850,83881,70,+
84568,84594,64,+
84647,84685,59,+
84877,84919,53,+
89912,89955,53,+
90903,90945,54,+
91973,92014,53,+
92309,92349,48,+
92615,92641,69,+
92757,92797,69,+
93987,94017,65,+
94273,94309,76,+
94739,94779,51,+
99307,99355,48,+
100601,100631,51,+
106670,106699,52,+
110089,110122,48,+
112440,112461,62,-
114141,114172,50,+
117862,117900,61,+
130526,130559,59,+
137997,138017,48,+
139159,139189,65,-
141344,141375,50,+
142588,142616,54,-
142832,142865,48,-
147131,147158,55,-
149333,149358,57,+
150628,150649,48,+
155070,155105,55,+
160710,160738,54,-
161625,161654,51,+
163646,163665,52,+
165136,165154,67,+
166269,166301,59,+
167400,167436,48,-
168808,168844,64,+
170128,170156,52,+
171536,171567,65,+
173351,173379,54,+
177627,177663,57,+
183550,183572,61,+
194894,194927,62,-
195406,195440,60,+
199085,199119,68,+
201073,201094,48,+
201750,201782,59,-
201764,201802,54,+
207570,207612,51,-
208931,208976,48,+
211427,211448,63,+
213112,213133,52,+
216274,216305,62,+
216360,216396,55,+
219069,219099,60,+
219754,219784,52,+
227491,227523,49,+
229735,229766,62,+
229821,229857,55,+
229958,229986,65,+
235012,235042,51,-
237980,238015,50,+
238756,238779,60,-
244884,244918,51,+
249403,249444,54,+
250787,250817,63,+
250992,251021,66,+
251225,251261,53,+
251752,251781,60,+
254327,254356,69,+
257449,257483,60,+
257601,257623,61,+
265198,265219,62,+
265417,265452,60,+
265658,265693,74,+
266122,266157,55,+
266247,266265,49,+
294046,294077,50,+
294339,294370,61,+
302269,302302,48,+
302327,302376,47,+
304557,304577,48,+
307156,307190,62,+
308503,308533,52,-
310329,310362,50,+
313286,313322,47,+
316355,316398,52,+
318318,318346,54,+
321558,321589,55,+
321886,321924,51,-
324861,324906,49,+
326877,326899,61,+
327048,327077,68,+
340690,340711,48,+
341448,341480,49,+
343004,343033,52,+
348663,348683,64,-
350159,350197,56,+
364938,364963,66,+
366843,366865,61,-
367976,368018,54,-
373840,373866,58,+
374372,374399,71,+
374882,374910,66,+
375146,375166,47,+
375780,375801,48,+
376243,376280,54,-
400447,400484,55,+
402200,402230,66,+
402352,402376,48,+
403065,403096,48,+
405450,405474,59,+
408060,408097,51,-
415970,415996,56,+
419160,419184,48,+
419695,419713,51,-
422861,422900,71,+
426898,426924,55,+
427433,427467,51,+
429846,429877,57,-
434680,434711,51,+
435484,435504,64,+
435687,435710,49,+
436545,436578,58,-
436661,436693,49,-
437996,438019,59,+
438327,438347,47,+
438782,438814,63,-
438951,438974,60,+
439480,439514,61,+
440753,440791,55,+
442354,442384,80,+
447608,447647,61,+
448085,448125,50,+
450094,450128,60,+
450136,450159,61,+
452527,452547,47,+
464947,464979,49,+
464998,465018,48,+
466024,466055,59,+
469304,469323,49,+
476066,476089,63,+
479169,479190,48,-
479490,479525,47,+
482978,483008,51,+
487293,487311,52,+
493634,493665,48,+
494577,494625,47,+
494917,494953,59,-
498069,498101,49,+
499561,499599,58,+
503750,503794,54,-
503941,503969,67,-
504206,504231,47,-
505878,505916,53,+
508531,508558,64,+
