start,end,score,strand
2732,2759,55,+
8455,8481,61,-
12040,12062,48,+
14419,14442,48,+
15916,15956,57,+
16308,16340,54,-
19301,19321,48,+
28736,28756,49,+
30097,30115,50,-
31287,31323,62,+
36954,36986,106,+
39682,39725,55,-
39734,39782,47,+
40989,41010,49,-
46649,46683,51,-
46874,46911,55,-
47441,47462,63,+
50156,50183,53,-
52091,52116,57,+
53190,53213,60,+
53682,53708,56,-
55614,55649,48,-
57718,57740,49,+
58270,58306,59,+
58692,58710,49,+
58813,58849,48,-
59014,59044,52,-
59731,59747,52,+
60917,60941,48,-
61157,61189,49,+
61920,61954,50,+
62532,62560,60,-
66533,66571,54,+
67847,67892,49,+
70625,70658,64,+
72462,72494,52,+
72687,72719,54,+
72928,72949,63,+
73732,73750,50,+
74301,74325,59,+
76115,76151,59,+
76634,76667,48,-
77038,77057,49,-
88657,88701,53,-
91964,91992,54,+
92872,92912,52,+
99364,99384,47,-
100054,100072,49,+
100192,100229,58,+
103993,104026,50,+
107049,107083,76,+
111494,111515,52,-
112692,112710,67,+
113933,113957,59,+
114124,114152,54,+
117525,117545,51,+
117581,117618,62,-
118105,118142,51,+
119316,119342,56,+
120224,120251,83,+
120603,120627,48,+
120889,120913,48,+
121373,121396,72,+
122550,122574,48,+
135632,135652,48,+
135911,135929,52,+
136003,136022,49,-
136628,136648,47,+
137320,137343,60,+
137359,137389,51,+
139792,139829,55,+
139853,139872,47,+
140830,140853,60,-
141868,141890,48,+
144235,144264,52,-
144554,144582,54,+
148119,148157,86,+
151195,151224,66,+
151904,151922,50,-
152336,152361,57,+
153749,153769,51,+
154866,154898,59,-
155188,155223,61,+
158075,158094,49,+
158881,158919,53,+
159219,159243,48,+
159336,159364,67,-
159811,159855,65,+
159957,159999,54,+
161701,161736,67,+
163221,163246,67,-
163249,163289,57,+
163602,163634,67,+
165325,165352,64,+
167745,167785,57,-
168042,168072,64,+
171868,171900,54,-
173260,173287,55,+
174186,174206,52,+
175191,175235,81,+
176008,176046,55,+
176506,176549,52,-
177287,177315,54,-
179681,179705,48,+
179920,179947,53,+
181281,181306,57,-
193009,193052,52,+
207252,207283,52,+
210567,210603,53,+
211345,211387,52,-
211728,211757,52,+
213240,213255,53,+
213262,213280,49,-
214072,214095,60,+
214462,214481,47,-
217883,217923,54,+
