start,end,score,strand
78065,78083,50,-
216062,216107,47,-
218868,218906,50,-
250032,250072,50,-
253189,253229,50,-
256476,256508,62,-
297941,297962,63,-
301437,301474,58,-
313894,313936,53,-
333356,333393,51,-
376498,376523,47,-
455137,455169,47,+
549960,549984,71,-
885449,885469,47,+
888808,888827,47,-
953081,953100,49,+
966476,966499,48,+
975786,975813,53,+
1064988,1065008,47,+
1075647,1075676,51,+
1090199,1090222,60,+
1131504,1131534,59,+
1196411,1196427,52,+
1239518,1239541,50,-
1274380,1274414,55,-
1461902,1461935,76,-
1469834,1469867,48,-
1482512,1482532,51,+
1541094,1541142,47,+
1569796,1569815,66,-
1626373,1626393,48,-
1665324,1665356,49,-
1696351,1696371,64,+
1712390,1712414,59,-
1766841,1766881,50,-
1846168,1846199,51,+
1858546,1858571,57,+
1893903,1893938,47,-
1963072,1963101,52,-
1978373,1978404,50,-
2025467,2025507,50,-
