# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	4026881	1047	+					dnaA		CPI84_RS00005	1392		old_locus_tag=CPI84_00005
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	4026881	1047	+	WP_015899202.1	WP_015899202.1		chromosomal replication initiator protein DnaA	dnaA		CPI84_RS00005	1392	463	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	1050	2150	+					dnaN		CPI84_RS00010	1101		old_locus_tag=CPI84_00010
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	1050	2150	+	WP_014539962.1	WP_014539962.1		DNA polymerase III subunit beta	dnaN		CPI84_RS00010	1101	366	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	2338	3423	+					recF		CPI84_RS00015	1086		old_locus_tag=CPI84_00020
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	2338	3423	+	WP_104944969.1	WP_104944969.1		DNA replication/repair protein RecF	recF		CPI84_RS00015	1086	361	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	3441	5849	+					gyrB		CPI84_RS00020	2409		old_locus_tag=CPI84_00025
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	3441	5849	+	WP_104944970.1	WP_104944970.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CPI84_RS00020	2409	802	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	5952	6101	-							CPI84_RS19760	150		
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	5952	6101	-	WP_187298278.1	WP_187298278.1		hypothetical protein			CPI84_RS19760	150	49	
gene	pseudogene	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	6302	6743	-							CPI84_RS00025	442		pseudo;old_locus_tag=CPI84_00030
CDS	without_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	6302	6743	-				IS1-like element transposase			CPI84_RS00025	442		pseudo
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	6957	7766	+					yidA		CPI84_RS00030	810		old_locus_tag=CPI84_00035
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	6957	7766	+	WP_104944971.1	WP_104944971.1		sugar-phosphatase	yidA		CPI84_RS00030	810	269	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	7843	9111	+							CPI84_RS00035	1269		old_locus_tag=CPI84_00040
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	7843	9111	+	WP_104944972.1	WP_104944972.1		DUF3748 domain-containing protein			CPI84_RS00035	1269	422	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	9092	9454	-							CPI84_RS00040	363		old_locus_tag=CPI84_00045
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	9092	9454	-	WP_014539955.1	WP_014539955.1		YceK/YidQ family lipoprotein			CPI84_RS00040	363	120	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	9763	10182	+					ibpA		CPI84_RS00045	420		old_locus_tag=CPI84_00050
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	9763	10182	+	WP_015899198.1	WP_015899198.1		heat shock chaperone IbpA	ibpA		CPI84_RS00045	420	139	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	10234	10503	-							CPI84_RS00050	270		old_locus_tag=CPI84_00055
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	10234	10503	-	WP_244910218.1	WP_244910218.1		YjeO family protein			CPI84_RS00050	270	89	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	10537	11220	-							CPI84_RS00055	684		old_locus_tag=CPI84_00060
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	10537	11220	-	WP_015899197.1	WP_015899197.1		hypothetical protein			CPI84_RS00055	684	227	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	11477	12727	-							CPI84_RS00060	1251		old_locus_tag=CPI84_00065
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	11477	12727	-	WP_014539953.1	WP_014539953.1		valine--pyruvate transaminase			CPI84_RS00060	1251	416	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	13051	14259	+							CPI84_RS00065	1209		old_locus_tag=CPI84_00070
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	13051	14259	+	WP_014539950.1	WP_014539950.1		aldose 1-epimerase family protein			CPI84_RS00065	1209	402	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	14430	14855	+							CPI84_RS00070	426		old_locus_tag=CPI84_00075
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	14430	14855	+	WP_015899196.1	WP_015899196.1		hypothetical protein			CPI84_RS00070	426	141	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	15080	16045	-					ghrB		CPI84_RS00075	966		old_locus_tag=CPI84_00080
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	15080	16045	-	WP_014539949.1	WP_014539949.1		glyoxylate/hydroxypyruvate reductase GhrB	ghrB		CPI84_RS00075	966	321	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	16098	17384	-							CPI84_RS00080	1287		old_locus_tag=CPI84_00085
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	16098	17384	-	WP_014539948.1	WP_014539948.1		MFS transporter			CPI84_RS00080	1287	428	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	17461	18414	-							CPI84_RS00085	954		old_locus_tag=CPI84_00090
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	17461	18414	-	WP_104944974.1	WP_104944974.1		sugar kinase			CPI84_RS00085	954	317	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	18418	19167	-							CPI84_RS00090	750		old_locus_tag=CPI84_00095
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	18418	19167	-	WP_014539946.1	WP_014539946.1		hypothetical protein			CPI84_RS00090	750	249	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	19763	21457	+							CPI84_RS00095	1695		old_locus_tag=CPI84_00100
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	19763	21457	+	WP_014539945.1	WP_014539945.1		dual specificity protein phosphatase family protein			CPI84_RS00095	1695	564	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	21620	22654	-							CPI84_RS00100	1035		old_locus_tag=CPI84_00105
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	21620	22654	-	WP_014539944.1	WP_014539944.1		LacI family DNA-binding transcriptional regulator			CPI84_RS00100	1035	344	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	22937	23500	-					tag		CPI84_RS00105	564		old_locus_tag=CPI84_00110
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	22937	23500	-	WP_014539942.1	WP_014539942.1		DNA-3-methyladenine glycosylase I	tag		CPI84_RS00105	564	187	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	23520	24131	-							CPI84_RS00110	612		old_locus_tag=CPI84_00115
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	23520	24131	-	WP_014542807.1	WP_014542807.1		glutathione S-transferase			CPI84_RS00110	612	203	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	24052	25044	-					fdhE		CPI84_RS00115	993		old_locus_tag=CPI84_00120
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	24052	25044	-	WP_014539940.1	WP_014539940.1		formate dehydrogenase accessory protein FdhE	fdhE		CPI84_RS00115	993	330	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	25493	26284	+					fdhD		CPI84_RS00125	792		old_locus_tag=CPI84_00130
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	25493	26284	+	WP_015899192.1	WP_015899192.1		formate dehydrogenase accessory sulfurtransferase FdhD	fdhD		CPI84_RS00125	792	263	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	26236	27030	-							CPI84_RS00130	795		old_locus_tag=CPI84_00135
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	26236	27030	-	WP_014539937.1	WP_014539937.1		DeoR/GlpR family DNA-binding transcription regulator			CPI84_RS00130	795	264	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	27211	28551	+							CPI84_RS00135	1341		old_locus_tag=CPI84_00140
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	27211	28551	+	WP_015899191.1	WP_015899191.1		aspartate aminotransferase family protein			CPI84_RS00135	1341	446	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	28753	29370	+					sodA		CPI84_RS00140	618		old_locus_tag=CPI84_00145
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	28753	29370	+	WP_012443098.1	WP_012443098.1		superoxide dismutase [Mn]	sodA		CPI84_RS00140	618	205	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	29683	31188	+							CPI84_RS00145	1506		old_locus_tag=CPI84_00150
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	29683	31188	+	WP_015899190.1	WP_015899190.1		sugar ABC transporter ATP-binding protein			CPI84_RS00145	1506	501	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	31185	32192	+							CPI84_RS00150	1008		old_locus_tag=CPI84_00155
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	31185	32192	+	WP_014539932.1	WP_014539932.1		ABC transporter permease			CPI84_RS00150	1008	335	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	32214	33272	+							CPI84_RS00155	1059		old_locus_tag=CPI84_00160
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	32214	33272	+	WP_014539931.1	WP_014539931.1		sugar ABC transporter substrate-binding protein			CPI84_RS00155	1059	352	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	33815	34255	-							CPI84_RS00160	441		old_locus_tag=CPI84_00165
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	33815	34255	-	WP_014539929.1	WP_014539929.1		winged helix-turn-helix domain-containing protein			CPI84_RS00160	441	146	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	34588	34857	+							CPI84_RS00165	270		old_locus_tag=CPI84_00170
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	34588	34857	+	WP_014542797.1	WP_014542797.1		hypothetical protein			CPI84_RS00165	270	89	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	34953	35576	-							CPI84_RS00170	624		old_locus_tag=CPI84_00175
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	34953	35576	-	WP_014539927.1	WP_014539927.1		LuxR C-terminal-related transcriptional regulator			CPI84_RS00170	624	207	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	36136	36498	-							CPI84_RS00175	363		old_locus_tag=CPI84_00180
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	36136	36498	-	WP_014539926.1	WP_014539926.1		YibL family ribosome-associated protein			CPI84_RS00175	363	120	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	36572	37117	-							CPI84_RS00180	546		old_locus_tag=CPI84_00185
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	36572	37117	-	WP_014539924.1	WP_014539924.1		MltR family transcriptional regulator			CPI84_RS00180	546	181	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	37193	38341	-							CPI84_RS00185	1149		old_locus_tag=CPI84_00190
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	37193	38341	-	WP_014539923.1	WP_014539923.1		mannitol-1-phosphate 5-dehydrogenase			CPI84_RS00185	1149	382	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	38440	40371	-							CPI84_RS00190	1932		old_locus_tag=CPI84_00195
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	38440	40371	-	WP_014539922.1	WP_014539922.1		PTS mannitol transporter subunit IICBA			CPI84_RS00190	1932	643	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	41444	41701	+							CPI84_RS19560	258		
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	41444	41701	+	WP_015899189.1	WP_015899189.1		hypothetical protein			CPI84_RS19560	258	85	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	42272	42988	-							CPI84_RS00195	717		old_locus_tag=CPI84_00200
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	42272	42988	-	WP_014539918.1	WP_014539918.1		DUF3053 domain-containing protein			CPI84_RS00195	717	238	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	43321	43614	+							CPI84_RS00205	294		old_locus_tag=CPI84_00210
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	43321	43614	+	WP_015899188.1	WP_015899188.1		HTH-type transcriptional regulator			CPI84_RS00205	294	97	
gene	pseudogene	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	43657	44001	-							CPI84_RS00210	345		partial;pseudo;old_locus_tag=CPI84_00215
CDS	without_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	43657	44001	-				zinc-binding dehydrogenase			CPI84_RS00210	345		partial;pseudo
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	44141	46210	-					glyS		CPI84_RS00215	2070		old_locus_tag=CPI84_00220
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	44141	46210	-	WP_014539914.1	WP_014539914.1		glycine--tRNA ligase subunit beta	glyS		CPI84_RS00215	2070	689	
gene	protein_coding	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	46220	47131	-					glyQ		CPI84_RS00220	912		old_locus_tag=CPI84_00225
CDS	with_protein	GCF_002952315.1	Primary Assembly	chromosome		NZ_CP023567.1	46220	47131	-	WP_015899186.1	WP_015899186.1		glycine--tRNA ligase subunit alpha	glyQ		CPI84_RS00220	912	303	
