start,end,score,strand
1388,1406,49,-
3019,3046,55,+
3556,3581,57,+
5083,5112,52,-
6637,6678,55,+
14709,14732,48,+
16207,16247,57,+
16599,16631,54,-
17649,17681,59,+
20652,20676,48,+
20926,20946,49,+
22287,22305,50,-
23477,23513,62,+
32372,32397,47,+
33385,33405,49,+
34611,34638,53,-
36546,36571,57,+
37234,37264,59,+
38132,38169,54,-
40071,40107,48,-
42163,42185,49,+
42715,42751,59,+
43137,43155,49,+
43258,43294,48,-
43459,43489,52,-
44176,44192,52,+
45632,45664,49,+
46196,46230,56,-
46408,46439,52,+
49601,49627,61,-
51082,51120,54,+
52396,52441,49,+
56645,56674,70,-
58226,58250,48,+
63440,63482,47,+
66675,66708,64,+
68512,68544,52,+
69782,69800,50,+
70352,70376,59,+
72166,72202,59,+
85467,85490,60,-
89129,89162,47,+
94835,94862,81,+
95454,95485,67,-
95568,95605,55,-
96028,96060,51,-
96359,96390,52,+
98925,98960,61,-
109705,109724,49,+
110534,110559,86,+
110863,110894,63,+
110965,111001,76,+
113396,113432,54,-
116106,116148,54,-
116467,116495,55,+
117887,117924,58,+
121602,121636,65,+
122545,122571,101,+
122790,122835,52,+
123343,123362,66,+
124332,124364,63,-
126101,126124,60,-
126668,126706,55,-
127089,127122,60,+
127531,127571,50,+
127604,127629,57,+
127887,127911,48,-
128779,128818,53,+
129583,129616,62,+
130397,130415,50,+
130585,130624,55,+
131834,131877,49,+
133958,133978,48,+
136427,136449,61,-
136674,136704,62,+
140748,140773,67,+
145955,145977,48,+
149322,149354,49,+
153042,153075,59,+
154694,154719,69,+
165358,165377,47,+
167515,167553,56,+
172063,172093,62,+
173090,173114,69,+
175093,175124,50,+
178871,178895,48,-
179997,180027,63,+
181207,181242,50,-
181866,181898,62,+
182936,182978,52,+
183368,183385,69,+
184494,184521,65,+
185220,185267,47,+
186267,186299,76,+
187231,187264,65,+
188542,188573,50,-
192602,192636,57,-
193884,193924,83,-
193997,194022,57,+
194090,194115,58,+
194247,194268,49,-
195389,195411,48,+
195628,195659,84,+
195752,195779,55,+
195968,195998,62,+
196087,196119,71,+
196573,196600,55,-
197008,197025,50,-
200419,200450,60,+
200777,200813,55,+
201238,201274,59,+
201961,201996,55,+
214511,214556,49,-
222601,222641,51,+
222743,222778,50,+
225120,225151,65,+
225443,225473,62,+
225595,225635,86,+
225672,225696,48,+
226138,226165,58,+
228025,228067,70,+
229510,229556,50,+
229703,229722,66,-
233694,233722,54,+
236146,236166,47,-
242626,242671,52,+
243401,243434,48,+
244478,244500,61,+
244799,244819,47,+
245517,245543,55,-
246075,246113,54,+
246234,246252,67,+
247759,247792,67,+
248121,248154,47,+
249045,249081,54,+
251155,251201,47,-
252404,252429,61,-
253996,254023,53,+
259428,259462,51,+
260673,260702,70,+
262190,262213,48,-
262584,262602,67,+
262679,262719,55,+
264514,264552,56,+
264621,264649,54,-
264818,264843,57,-
265874,265904,62,+
266860,266890,51,+
270206,270223,50,-
272539,272575,54,+
276519,276560,53,-
296760,296790,52,+
297160,297176,52,+
298612,298646,54,+
301816,301839,96,+
