start,end,score,strand
1376,1404,53,-
3230,3276,48,-
3972,4002,59,+
4972,4999,55,-
7976,7998,48,-
8016,8040,59,-
8209,8230,51,-
8262,8281,47,-
8999,9039,49,+
9470,9497,55,-
9923,9944,63,+
11090,11113,49,+
11349,11376,53,-
11636,11657,63,-
11682,11702,48,-
12472,12497,60,+
12604,12634,95,-
12707,12735,54,+
13433,13458,57,-
14473,14496,49,+
16181,16202,72,-
16611,16633,61,+
16989,17009,49,+
17306,17326,51,-
17876,17913,62,-
18300,18331,63,-
18460,18494,60,-
18520,18553,47,-
21760,21795,56,-
21994,22028,65,+
23426,23466,71,+
24704,24731,57,-
25541,25557,52,-
28511,28531,64,-
28892,28924,62,+
29736,29769,48,+
29900,29933,62,-
30166,30199,58,+
30354,30381,65,+
30457,30505,89,-
30666,30692,56,-
30910,30939,60,-
31921,31944,49,+
33379,33399,64,-
34026,34064,69,-
35973,36001,63,-
38878,38914,61,+
40355,40378,48,-
41086,41117,51,-
42320,42352,62,-
43252,43285,60,-
43412,43451,58,-
43542,43575,59,-
44357,44386,52,+
47042,47073,50,-
48041,48076,50,-
48308,48336,54,+
50330,50353,49,+
51035,51071,58,-
51885,51926,53,-
52058,52092,62,-
52100,52119,66,-
52922,52957,60,+
57124,57163,70,-
58203,58221,49,-
58243,58275,54,-
66246,66275,52,-
66561,66589,86,-
67457,67482,71,-
67528,67564,61,+
70158,70199,48,-
77866,77900,50,-
77975,78003,54,+
78016,78043,55,+
78530,78564,56,+
79315,79347,54,-
82705,82733,54,+
83576,83600,61,-
84127,84154,55,+
85541,85576,58,+
86459,86496,57,+
87003,87049,52,-
87111,87144,55,-
87407,87423,53,+
89648,89692,53,-
91225,91243,49,+
92592,92623,67,+
94448,94467,47,-
94497,94522,57,+
94883,94909,56,-
95997,96024,68,-
96057,96088,68,-
96232,96262,63,-
96729,96754,64,-
97624,97646,61,+
98224,98249,61,+
99849,99872,50,-
100641,100664,49,+
100704,100728,59,+
103376,103413,47,+
104825,104853,86,+
106421,106455,60,-
106564,106596,65,-
107395,107443,47,+
107622,107652,59,-
109980,110005,47,-
110519,110556,57,-
110586,110623,58,-
111239,111276,57,-
111957,111985,63,-
112260,112280,73,-
112679,112698,49,-
113892,113910,49,-
115392,115415,49,+
115883,115920,58,-
116222,116254,52,-
116724,116767,52,+
116794,116822,63,-
117982,118007,56,-
118863,118902,57,+
119999,120028,98,-
123490,123511,48,-
126985,127014,52,+
127034,127066,76,-
127664,127682,50,-
127762,127781,47,-
127935,127957,51,+
129122,129152,66,-
129191,129218,66,-
130428,130447,49,-
130480,130501,81,-
130663,130699,61,+
131311,131337,64,-
131891,131922,66,-
132148,132170,70,-
132286,132311,47,-
132357,132391,50,-
133099,133119,54,-
134536,134567,65,-
140794,140823,63,-
141495,141514,47,-
141549,141581,80,-
141691,141722,49,+
141924,141956,50,-
145216,145248,56,-
145429,145462,56,-
145812,145832,49,-
146734,146772,55,-
147337,147363,66,+
147396,147438,52,+
149474,149493,51,+
149841,149883,64,+
153497,153514,52,-
153703,153726,60,-
154626,154663,55,-
154929,154946,50,-
155807,155843,62,-
156176,156217,55,-
156895,156919,59,+
157408,157439,62,-
158070,158085,53,-
159737,159779,57,+
160893,160920,55,-
161965,161994,60,-
162130,162148,49,-
165438,165455,69,-
165470,165495,71,+
165916,165963,63,-
166731,166762,51,-
167053,167074,49,-
174213,174233,51,-
174366,174403,61,-
175330,175362,48,-
176273,176312,53,-
176875,176919,48,+
181931,181973,51,-
189173,189207,51,-
189547,189572,69,-
196249,196271,61,+
198085,198110,57,-
201089,201117,54,-
201932,201948,52,+
205937,205976,59,-
206129,206156,55,+
206215,206230,53,+
206800,206818,49,+
206829,206868,70,+
206916,206953,55,+
206974,207010,64,-
207436,207472,58,-
208304,208344,53,-
208893,208931,58,+
210077,210115,51,-
