start,end,score,strand
3713,3741,60,+
4366,4387,49,+
4798,4830,67,-
5689,5708,47,-
9062,9080,52,-
10685,10711,86,-
14503,14527,48,-
17167,17191,48,-
21083,21118,62,+
22254,22288,79,-
28227,28247,49,+
30230,30250,64,-
30486,30512,85,-
30732,30757,47,+
31239,31257,50,-
32832,32851,49,+
35728,35761,60,+
36871,36901,62,+
40503,40526,60,+
40573,40597,71,+
43108,43149,48,-
43216,43232,52,-
44137,44174,55,+
44255,44286,57,+
45949,45975,68,+
46038,46059,63,-
47442,47472,63,+
49479,49502,60,-
49507,49530,60,-
49535,49555,64,-
51111,51130,47,+
52998,53029,50,+
57272,57298,68,+
57974,57997,50,+
61075,61113,61,+
61156,61198,53,+
66941,66968,81,+
67047,67066,49,+
67129,67171,54,-
70189,70220,63,-
70976,71005,51,+
71769,71799,66,+
72629,72648,47,+
74833,74859,56,+
74888,74906,50,-
76688,76728,53,+
76958,76977,51,+
83963,84006,53,+
85049,85070,48,-
85855,85873,49,+
88330,88365,61,+
89453,89493,57,-
89526,89558,71,-
95922,95951,58,-
96215,96245,70,-
101061,101081,51,-
107669,107710,53,-
110949,110971,61,+
112576,112612,47,+
112953,112989,61,-
113052,113084,60,-
114217,114253,59,+
117834,117877,49,-
120596,120630,62,-
126215,126239,48,+
129365,129389,69,+
129421,129450,65,+
138285,138313,54,-
139172,139210,54,-
139335,139370,50,-
145782,145821,55,+
147783,147806,60,-
150906,150926,48,+
154846,154877,107,-
155499,155533,64,-
159865,159885,48,+
160430,160450,48,+
165684,165713,57,+
168313,168341,57,+
175890,175912,51,-
181470,181501,98,+
181592,181638,52,+
183128,183158,62,-
183985,184004,47,-
186815,186845,51,-
190900,190928,63,+
195430,195456,68,-
198549,198578,52,+
217879,217922,50,-
217891,217916,47,+
218911,218930,49,-
221111,221140,51,+
222863,222902,54,+
224633,224658,68,+
226123,226141,50,+
227502,227532,68,+
229200,229220,64,+
233807,233835,63,+
235139,235176,58,+
236285,236318,48,+
239049,239070,90,+
239779,239804,47,+
242851,242874,60,-
242879,242902,60,-
242930,242971,53,+
243781,243807,56,+
246531,246570,70,+
246908,246933,57,-
254953,254967,73,+
255599,255620,62,+
261502,261521,49,-
262310,262334,59,-
264169,264200,50,+
267168,267187,49,+
278793,278823,51,+
279449,279468,49,+
285488,285507,51,+
285558,285605,48,-
286816,286847,50,-
291274,291313,49,+
292166,292194,65,+
294154,294176,51,-
295579,295598,49,+
299224,299249,69,-
303373,303403,67,+
304017,304045,54,+
307026,307047,48,-
307246,307288,57,-
308651,308678,55,+
315738,315765,65,+
319335,319364,79,-
