	# Species	Genes	Genuses	Genes_with_ZDNA	Max ZH-Score	Mean ZH-Score	Function
977	50	73	10	18	211093.9	35448.16305	Cysteine desulfurase
1391	48	69	10	18	23787.35	6762.253066666668	Sec-independent protein translocase subunit tata
208	42	67	10	17	29467.88	3264.72525882353	P-ii family nitrogen regulator
481	42	75	10	16	9852.15	2899.2377374999996	Hth-type transcriptional repressor purr
560	49	88	10	15	29467.88	11363.642759999999	Lipoprotein-releasing abc transporter permease subunit lole
125	44	61	10	14	28780.5	5917.269785714286	Pts phosphocarrier protein npr
951	44	69	9	14	13713.99	2439.573871428572	Molybdopterin-synthase adenylyltransferase moeb
266	50	73	10	13	7973.084	1474.325838461539	D-alanyl-d-alanine carboxypeptidase daca
1024	49	68	10	13	3104.952	1036.4525153846155	Bcr/cfla family multidrug efflux mfs transporter
599	36	54	9	13	2997.09	1725.2465	Formate dehydrogenase cytochrome b556 subunit
2443	32	48	7	13	38833.58	5574.321076923077	Multidrug transporter subunit mdtd
426	50	67	10	12	915.9191	905.0563249999999	Elongation factor g
554	50	71	10	12	2752.447	1033.1859833333333	Sufe family protein
1069	48	69	10	12	4545.701	1952.7467250000002	Aspartate aminotransferase family protein
1065	49	71	10	11	8485.756	2752.3263000000006	Alanine racemase
1935	40	63	9	11	13713.99	4667.275254545455	Plp-dependent aminotransferase family protein
1203	38	49	10	11	6970.795	1756.930036363636	Dna-binding protein hu-beta
519	49	75	10	10	38833.58	6057.81542	Serine endoprotease degp
761	49	89	10	10	7973.084	2162.6204000000002	Nlpc/p60 family protein
1032	49	76	10	10	13713.99	2186.6613100000004	Lpxl/lpxp family kdo(2)-lipid iv(a) lauroyl/palmitoleoyl acyltransferasee
1294	38	53	10	10	13713.99	3830.4492999999993	Tonb-dependent siderophore receptor
3028	38	51	8	10	6420.008	2036.27028	Glyoxylate/hydroxypyruvate reductase a
2415	37	51	9	10	48804.94	12940.213800000001	Siroheme synthase cysg
957	45	61	10	9	138924.1	22234.93035555556	Histidine phosphatase family protein
2858	37	54	9	9	138924.1	18466.677833333335	Alkene reductase
3144	36	53	8	9	37878.25	5858.401433333333	L,d-transpeptidase family protein
601	35	53	9	9	1551.702	1322.6283111111109	Formate dehydrogenase-n subunit alpha
5847	33	46	7	9	13713.99	3020.9078666666665	Dna-binding transcriptional regulator h-ns
2936	27	48	8	9	6750.528	3553.4239777777784	Formate dehydrogenase subunit alpha
1014	48	72	10	8	1737.612	1022.257925	Transketolase
485	47	78	10	8	12351.13	3430.7014249999993	Transaldolase
727	45	55	10	8	3428.529	1429.0531625	Phosphate abc transporter atp-binding protein pstb
1223	44	56	9	8	38833.58	7876.542075000001	Glutathione-regulated potassium-efflux system protein kefb
1191	42	59	9	8	2752.447	1586.043075	Hotdog fold thioesterase
588	39	49	9	8	3428.529	1599.56845	Class ii fructose-bisphosphate aldolase
1761	39	50	9	8	138924.1	38995.18245000001	Low molecular weight phosphotyrosine protein phosphatase
2955	35	63	8	8	4545.701	1979.3487249999998	Abc transporter substrate-binding protein
2923	34	46	8	8	16770.32	5097.137500000001	Cytochrome d ubiquinol oxidase subunit ii
1326	29	39	8	8	4545.701	2536.128275	Hlyd family secretion protein
27	27	37	9	8	8323.257	3982.06855	Tail protein x
435	48	60	10	7	1038.827	919.6458	Fluoride efflux transporter crcb
794	46	57	10	7	211093.9	56571.1882	Bifunctional nadp-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase ydfg
1266	45	67	10	7	29467.88	7191.124528571428	Arac family transcriptional regulator
827	44	62	9	7	1737.612	1264.2818571428575	Ubix family flavin prenyltransferase
1979	43	56	9	7	3858.662	2331.5807714285716	Two-component system response regulator baer
6739	42	65	9	7	13713.99	3262.0172285714284	Nucleoside hydrolase
2694	38	56	9	7	138924.1	22695.72428571428	Nitrite reductase large subunit nirb
157	37	47	9	7	883.5764	883.5764	Glutathione-regulated potassium-efflux system ancillary protein kefg
2665	35	42	8	7	8922.646	3931.1284714285716	Cob(i)yrinic acid a,c-diamide adenosyltransferase
1370	34	46	8	7	3993.322	2849.725857142857	Glycogen debranching protein glgx
1881	33	40	8	7	198956.2	29559.211428571438	Lysine decarboxylase ldcc
