start,end,score,strand
1348,1369,63,+
3236,3256,47,+
4495,4530,48,+
9017,9041,48,-
10751,10775,48,-
11508,11535,55,-
30438,30464,56,+
36822,36848,56,+
40333,40353,64,-
48992,49019,67,-
49124,49141,52,-
49866,49886,47,-
50078,50100,72,-
54194,54234,58,-
54332,54357,47,+
64083,64102,47,-
66538,66558,64,-
67165,67189,48,-
73175,73195,64,+
73227,73243,70,-
77763,77794,59,-
78529,78562,48,-
84194,84213,49,-
86478,86500,48,+
88670,88692,51,-
98359,98386,55,-
99097,99127,51,-
101205,101229,48,+
101730,101752,49,-
113988,114016,54,-
114181,114203,61,-
116241,116264,87,+
117849,117886,64,-
119475,119502,55,-
121378,121398,64,-
122748,122772,59,-
123171,123202,50,-
124677,124700,87,+
124712,124739,68,-
126492,126516,59,-
131302,131327,57,+
132498,132532,65,-
134876,134914,55,-
136060,136097,75,-
137081,137103,70,-
137876,137909,47,+
139263,139302,54,-
139706,139728,72,-
140773,140813,53,+
141421,141449,55,+
145827,145847,64,+
145879,145901,70,-
147815,147838,49,-
147879,147915,61,+
151610,151632,48,-
155908,155924,53,-
157401,157428,60,+
163538,163567,70,-
167517,167551,55,-
173338,173363,57,+
175164,175199,55,-
177731,177752,48,-
183767,183810,52,-
189798,189831,60,+
189982,190002,64,-
196148,196170,48,-
198979,198999,48,+
209408,209450,49,-
213097,213129,47,-
214300,214336,62,-
215364,215383,49,-
217972,217994,51,-
219495,219541,48,-
220796,220817,63,+
226142,226159,50,-
226583,226602,51,-
228373,228397,59,-
232032,232050,49,-
233721,233751,59,-
233803,233831,65,-
238900,238924,48,+
247380,247400,64,-
248436,248458,51,+
248814,248849,72,+
252441,252467,60,+
255114,255158,48,-
255467,255484,50,-
255511,255531,64,-
255594,255616,70,+
256651,256671,49,-
265041,265065,59,+
269435,269458,48,-
270180,270212,54,-
271246,271264,49,-
271387,271411,104,+
271422,271442,64,-
273849,273879,66,+
273892,273925,60,-
274009,274031,70,+
274047,274065,67,-
274086,274107,63,-
277664,277706,52,-
280859,280881,89,-
280948,280970,70,+
283175,283196,63,+
286977,287001,48,-
288112,288135,60,-
294004,294040,62,+
296396,296412,52,-
298589,298619,51,+
303384,303432,48,-
305127,305162,48,+
307275,307298,60,-
308124,308143,47,-
310802,310841,57,-
312434,312453,47,-
313070,313090,47,+
316873,316893,64,+
317877,317910,58,-
320808,320828,64,+
321906,321939,48,+
322056,322090,48,+
324700,324722,72,-
324828,324852,69,+
324931,324967,74,-
325692,325725,58,-
325731,325752,72,+
326910,326932,70,+
326983,327022,52,-
329132,329150,67,-
329308,329339,60,+
330049,330076,55,-
335033,335074,95,-
340029,340058,52,-
342210,342238,70,-
350457,350480,61,-
350511,350553,51,-
351491,351513,70,+
359866,359886,64,+
359893,359915,89,-
359972,360009,62,-
361442,361469,58,-
365396,365435,55,+
367959,367981,61,-
369010,369030,47,+
369333,369369,62,+
370522,370561,54,-
372017,372040,48,+
373328,373358,68,-
373751,373784,52,-
374900,374917,69,-
375106,375128,51,-
377250,377273,48,+
377480,377515,55,-
379734,379767,64,-
380654,380697,69,-
382607,382650,69,-
385069,385102,63,-
386286,386316,66,-
390469,390494,57,-
397421,397460,54,-
405206,405231,47,+
405580,405601,63,-
407845,407867,70,+
407946,407970,59,-
408201,408235,47,-
410354,410382,65,-
416543,416563,49,+
417323,417342,47,+
429939,429976,53,+
430666,430708,67,+
441994,442034,50,-
463177,463220,52,-
464354,464382,54,-
466114,466135,48,-
471111,471140,63,+
471168,471190,70,-
475624,475673,48,+
479257,479276,49,+
479560,479596,48,+
482597,482616,47,-
483566,483586,64,-
485665,485684,47,-
486757,486774,50,+
487586,487619,48,+
497496,497532,64,-
