start,end,score,strand
22190,22206,52,+
44476,44504,54,+
48594,48625,55,+
49827,49857,68,+
54226,54269,50,+
58489,58510,48,-
68839,68858,47,+
72166,72201,47,+
88282,88302,64,-
89287,89306,47,-
93124,93152,60,+
95331,95362,50,+
95679,95698,51,+
96163,96187,48,+
100784,100806,49,+
111783,111813,51,-
121406,121423,50,+
132133,132168,55,+
134468,134487,49,-
134790,134824,62,+
135759,135795,48,-
137526,137542,52,+
144191,144226,48,+
144545,144585,58,+
146072,146102,59,+
152240,152264,59,+
153079,153113,47,+
156860,156887,55,+
158748,158776,60,+
160112,160140,63,+
161660,161682,48,+
199809,199845,54,+
200349,200382,59,+
200660,200680,51,-
201536,201558,51,+
202991,203018,55,+
203451,203491,49,-
204096,204133,55,-
205917,205951,58,-
208469,208501,50,+
210359,210380,48,-
210500,210518,49,+
219449,219494,52,+
220409,220440,48,+
238057,238080,60,+
238325,238358,63,+
249672,249714,55,+
253768,253806,55,-
259578,259607,62,+
260882,260898,53,+
268855,268879,61,+
271543,271582,53,-
311643,311659,70,-
356426,356448,61,+
362184,362204,51,+
365205,365234,65,+
369485,369505,48,+
379249,379265,52,-
386446,386479,50,+
396253,396281,68,+
403427,403462,59,+
418373,418410,55,+
419539,419573,91,+
420296,420325,61,+
424990,425020,51,+
431448,431478,59,+
446627,446661,50,+
465770,465797,83,+
466068,466092,58,+
476439,476468,52,+
495752,495791,50,+
502482,502502,47,-
526807,526836,52,-
536552,536585,52,+
547117,547149,63,+
547323,547356,60,+
572914,572941,83,+
573201,573238,51,+
573358,573386,68,+
575982,576001,47,-
586356,586387,50,+
590867,590892,57,-
591591,591620,54,+
593739,593758,49,-
626476,626495,49,+
632587,632623,73,+
652916,652939,61,+
699516,699534,49,+
711954,711990,58,-
713601,713639,54,+
729725,729744,49,+
736860,736890,62,+
737034,737069,50,+
737818,737850,62,+
738018,738035,52,-
743539,743569,66,-
785834,785858,59,-
786082,786112,65,-
789952,789996,50,+
797177,797218,53,+
810776,810801,47,+
811616,811645,52,+
817455,817486,65,-
836927,836944,69,+
845135,845157,49,-
851599,851622,48,+
855644,855663,56,+
865623,865667,49,+
868764,868789,57,+
869479,869512,48,+
872443,872481,52,+
873422,873440,51,+
890609,890656,49,+
893615,893648,64,+
895469,895501,51,+
906541,906565,59,+
916919,916950,48,+
924148,924181,50,+
924584,924618,59,+
926547,926584,56,+
926632,926662,96,+
928055,928078,60,+
931963,931996,59,+
932712,932731,49,-
933347,933370,60,+
935866,935903,47,+
937437,937474,58,+
940338,940359,49,+
941454,941472,49,-
948575,948605,49,-
950146,950179,58,+
951252,951285,52,+
954768,954791,48,+
977976,977994,50,+
978610,978645,59,+
1011259,1011290,50,-
1054859,1054886,55,+
1060058,1060091,55,+
1061121,1061138,50,+
1078046,1078062,53,+
1084051,1084072,48,-
1116561,1116586,68,+
1118950,1118989,55,+
1123052,1123073,63,+
1123164,1123193,52,-
1132460,1132492,76,-
1133443,1133476,48,+
1150818,1150837,47,+
1151690,1151722,49,-
1160217,1160246,52,-
1172479,1172499,48,+
1178549,1178568,47,+
1182258,1182291,58,+
1184853,1184877,59,+
1232487,1232528,64,+
1245294,1245313,47,+
1250462,1250484,48,+
1266915,1266935,48,+
1271718,1271755,53,+
1275489,1275519,51,+
1276728,1276753,47,-
1278544,1278569,47,-
1278828,1278859,54,+
1281788,1281826,59,+
1297143,1297168,75,+
1308672,1308697,57,+
1309686,1309713,57,+
1311011,1311044,58,+
1314393,1314418,57,+
1315539,1315564,66,+
1319733,1319755,49,+
1320953,1320973,64,+
1337889,1337908,47,+
1367106,1367129,48,+
1380468,1380498,68,+
1390556,1390576,47,+
1392048,1392081,62,+
1414053,1414084,55,+
1420933,1420963,52,+
1432740,1432772,49,-
1477268,1477287,49,+
1477411,1477428,52,+
1477649,1477671,49,+
1477883,1477931,49,+
1483643,1483667,59,+
1483786,1483803,52,+
1484258,1484306,49,+
1537808,1537833,66,+
1548793,1548824,50,+
1561979,1562002,72,+
1569395,1569424,52,-
1574605,1574624,66,+
1575717,1575734,50,+
1576536,1576556,48,+
1576953,1576973,64,+
1577304,1577351,50,+
1577616,1577651,59,+
1578238,1578268,61,+
1579005,1579048,55,+
1579246,1579273,64,+
1579474,1579504,62,+
1585589,1585625,47,+
1593659,1593683,48,+
1593779,1593805,56,+
1594233,1594276,50,+
1599979,1600002,48,+
1607477,1607509,49,-
1617589,1617636,49,+
1627639,1627673,62,+
1628585,1628609,58,+
1641091,1641116,67,+
1643415,1643447,50,+
1645320,1645344,48,+
1659621,1659664,50,+
1668569,1668609,55,+
1669061,1669101,57,+
1687227,1687257,55,+
1698565,1698605,55,+
1699221,1699241,64,+
1712272,1712289,52,+
1727741,1727768,63,-
1727869,1727901,51,-
1734864,1734891,65,-
1739019,1739037,50,-
1742281,1742311,85,+
1742828,1742848,48,-
1749489,1749531,57,+
1759836,1759854,50,+
1766250,1766277,55,+
1774456,1774483,55,+
1780521,1780565,48,+
1797783,1797800,50,+
1808592,1808608,52,-
1812382,1812418,61,+
1818321,1818342,48,+
1917982,1918009,68,-
1918075,1918103,63,-
1918653,1918674,49,-
1922854,1922874,52,-
1926102,1926127,56,-
1930148,1930186,51,-
1930322,1930366,50,-
1934774,1934790,70,-
1964071,1964101,65,-
1964126,1964163,91,-
1964308,1964352,48,-
1964537,1964559,51,-
1972626,1972672,48,+
1976551,1976568,50,+
1979664,1979687,50,-
1986143,1986192,47,+
1988357,1988380,60,+
1999031,1999058,68,+
2003293,2003311,49,-
2009203,2009227,59,-
2009704,2009734,64,+
2028642,2028687,53,-
2036809,2036827,67,+
2038833,2038859,66,+
2053630,2053669,51,+
2056074,2056093,49,+
2061910,2061930,54,+
2088526,2088555,51,+
2092375,2092412,53,+
2123741,2123760,66,+
2124847,2124864,50,+
2125666,2125686,48,+
2126083,2126103,64,+
2126434,2126481,50,+
2126746,2126781,59,+
2127368,2127398,61,+
2127974,2127993,47,+
2128107,2128150,52,+
2128567,2128610,55,+
2128808,2128835,64,+
2129036,2129066,62,+
2136025,2136043,50,+
2145582,2145603,49,+
2152873,2152890,50,+
2160740,2160774,58,-
2165485,2165522,51,+
2167248,2167288,52,-
