# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	101	1501	+					dnaA		THOKLE011_00010	1401		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	101	1501	+	BBW73711.1			chromosomal replication initiator protein DnaA	dnaA		THOKLE011_00010	1401	466	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	1506	2606	+							THOKLE011_00020	1101		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	1506	2606	+	BBW73712.1			DNA polymerase III subunit beta			THOKLE011_00020	1101	366	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	2745	3818	+					recF		THOKLE011_00030	1074		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	2745	3818	+	BBW73713.1			DNA replication and repair protein RecF	recF		THOKLE011_00030	1074	357	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	3847	6261	+					gyrB		THOKLE011_00040	2415		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	3847	6261	+	BBW73714.1			DNA gyrase subunit B	gyrB		THOKLE011_00040	2415	804	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	6294	7229	-							THOKLE011_00050	936		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	6294	7229	-	BBW73715.1			LysR family transcriptional regulator			THOKLE011_00050	936	311	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	7340	8365	+							THOKLE011_00060	1026		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	7340	8365	+	BBW73716.1			alcohol dehydrogenase			THOKLE011_00060	1026	341	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	8481	9293	+							THOKLE011_00070	813		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	8481	9293	+	BBW73717.1			sugar-phosphatase			THOKLE011_00070	813	270	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	9535	10224	+					dgoR		THOKLE011_00080	690		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	9535	10224	+	BBW73718.1			galactonate operon transcriptional repressor	dgoR		THOKLE011_00080	690	229	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	10221	11096	+							THOKLE011_00090	876		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	10221	11096	+	BBW73719.1			2-oxo-3-deoxygalactonate kinase			THOKLE011_00090	876	291	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	11080	11697	+							THOKLE011_00100	618		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	11080	11697	+	BBW73720.1			2-dehydro-3-deoxy-6-phosphogalactonate aldolase			THOKLE011_00100	618	205	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	11694	12842	+					dgoD		THOKLE011_00110	1149		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	11694	12842	+	BBW73721.1			D-galactonate dehydratase	dgoD		THOKLE011_00110	1149	382	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	13067	14359	+							THOKLE011_00120	1293		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	13067	14359	+	BBW73722.1			MFS transporter			THOKLE011_00120	1293	430	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	14411	15637	+							THOKLE011_00130	1227		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	14411	15637	+	BBW73723.1			hypothetical protein			THOKLE011_00130	1227	408	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	15639	16091	-							THOKLE011_00140	453		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	15639	16091	-	BBW73724.1			hypothetical protein			THOKLE011_00140	453	150	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	16340	16753	+					ibpA		THOKLE011_00150	414		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	16340	16753	+	BBW73725.1			small heat shock protein IbpA	ibpA		THOKLE011_00150	414	137	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	16871	17299	+					ibpB		THOKLE011_00160	429		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	16871	17299	+	BBW73726.1			small heat shock protein IbpB	ibpB		THOKLE011_00160	429	142	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	17496	19157	+							THOKLE011_00170	1662		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	17496	19157	+	BBW73727.1			putative transport protein			THOKLE011_00170	1662	553	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	19125	19871	-							THOKLE011_00180	747		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	19125	19871	-	BBW73728.1			GntR family transcriptional regulator			THOKLE011_00180	747	248	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	20213	21835	+							THOKLE011_00190	1623		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	20213	21835	+	BBW73729.1			PTS alpha-glucoside transporter subunit IIBC			THOKLE011_00190	1623	540	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	21832	23154	+							THOKLE011_00200	1323		
CDS	with_protein	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	21832	23154	+	BBW73730.1			6-phospho-alpha-glucosidase			THOKLE011_00200	1323	440	
gene	protein_coding	GCA_015139575.1	Primary Assembly	chromosome		AP022547.1	23335	23682	+							THOKLE011_00210	348		
