# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	1	1350	+					dnaA		ICJ55_RS00005	1350		old_locus_tag=ICJ55_00005
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	1	1350	+	WP_188156778.1	WP_188156778.1		chromosomal replication initiator protein DnaA	dnaA		ICJ55_RS00005	1350	449	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	1375	2478	+					dnaN		ICJ55_RS00010	1104		old_locus_tag=ICJ55_00010
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	1375	2478	+	WP_188156779.1	WP_188156779.1		DNA polymerase III subunit beta	dnaN		ICJ55_RS00010	1104	367	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	2525	2998	-							ICJ55_RS00015	474		old_locus_tag=ICJ55_00015
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	2525	2998	-	WP_188156780.1	WP_188156780.1		hypothetical protein			ICJ55_RS00015	474	157	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	3003	3659	-							ICJ55_RS00020	657		old_locus_tag=ICJ55_00020
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	3003	3659	-	WP_188156781.1	WP_188156781.1		DUF4304 domain-containing protein			ICJ55_RS00020	657	218	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	3733	4353	-							ICJ55_RS00025	621		old_locus_tag=ICJ55_00025
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	3733	4353	-	WP_188156782.1	WP_188156782.1		tetratricopeptide repeat protein			ICJ55_RS00025	621	206	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	4362	5633	-					hisS		ICJ55_RS00030	1272		old_locus_tag=ICJ55_00030
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	4362	5633	-	WP_188156783.1	WP_188156783.1		histidine--tRNA ligase	hisS		ICJ55_RS00030	1272	423	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	5644	6753	-					ispG		ICJ55_RS00035	1110		old_locus_tag=ICJ55_00035
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	5644	6753	-	WP_188156784.1	WP_188156784.1		flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	ispG		ICJ55_RS00035	1110	369	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	6849	7823	-							ICJ55_RS00040	975		old_locus_tag=ICJ55_00040
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	6849	7823	-	WP_188156785.1	WP_188156785.1		DUF4115 domain-containing protein			ICJ55_RS00040	975	324	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	8008	9384	-					argH		ICJ55_RS00045	1377		old_locus_tag=ICJ55_00045
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	8008	9384	-	WP_188156786.1	WP_188156786.1		argininosuccinate lyase	argH		ICJ55_RS00045	1377	458	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	9487	10647	-					mnmA		ICJ55_RS00050	1161		old_locus_tag=ICJ55_00050
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	9487	10647	-	WP_188156787.1	WP_188156787.1		tRNA 2-thiouridine(34) synthase MnmA	mnmA		ICJ55_RS00050	1161	386	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	10798	11043	-					nqrM		ICJ55_RS00055	246		old_locus_tag=ICJ55_00055
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	10798	11043	-	WP_006250397.1	WP_006250397.1		(Na+)-NQR maturation NqrM	nqrM		ICJ55_RS00055	246	81	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	11056	12096	-							ICJ55_RS00060	1041		old_locus_tag=ICJ55_00060
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	11056	12096	-	WP_188156788.1	WP_188156788.1		FAD:protein FMN transferase			ICJ55_RS00060	1041	346	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	12282	13511	-					nqrF		ICJ55_RS00065	1230		old_locus_tag=ICJ55_00065
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	12282	13511	-	WP_188156789.1	WP_188156789.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit F	nqrF		ICJ55_RS00065	1230	409	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	13522	14118	-					nqrE		ICJ55_RS00070	597		old_locus_tag=ICJ55_00070
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	13522	14118	-	WP_188156790.1	WP_188156790.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit E	nqrE		ICJ55_RS00070	597	198	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	14122	14745	-							ICJ55_RS00075	624		old_locus_tag=ICJ55_00075
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	14122	14745	-	WP_188156791.1	WP_188156791.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit D			ICJ55_RS00075	624	207	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	14745	15515	-							ICJ55_RS00080	771		old_locus_tag=ICJ55_00080
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	14745	15515	-	WP_188156792.1	WP_188156792.1		Na(+)-translocating NADH-quinone reductase subunit C			ICJ55_RS00080	771	256	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	15508	16743	-							ICJ55_RS00085	1236		old_locus_tag=ICJ55_00085
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	15508	16743	-	WP_188156793.1	WP_188156793.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit B			ICJ55_RS00085	1236	411	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	16746	18104	-							ICJ55_RS00090	1359		old_locus_tag=ICJ55_00090
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	16746	18104	-	WP_188156794.1	WP_188156794.1		Na(+)-translocating NADH-quinone reductase subunit A			ICJ55_RS00090	1359	452	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	18593	19189	+					nfuA		ICJ55_RS00095	597		old_locus_tag=ICJ55_00095
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	18593	19189	+	WP_188156795.1	WP_188156795.1		Fe-S biogenesis protein NfuA	nfuA		ICJ55_RS00095	597	198	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	19299	20936	-					pyrG		ICJ55_RS00100	1638		old_locus_tag=ICJ55_00100
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	19299	20936	-	WP_188156796.1	WP_188156796.1		CTP synthase (glutamine hydrolyzing)	pyrG		ICJ55_RS00100	1638	545	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	21119	21763	-							ICJ55_RS00105	645		old_locus_tag=ICJ55_00105
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	21119	21763	-	WP_025236580.1	WP_025236580.1		hypothetical protein			ICJ55_RS00105	645	214	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	21764	22747	-					cysB		ICJ55_RS00110	984		old_locus_tag=ICJ55_00110
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	21764	22747	-	WP_188156797.1	WP_188156797.1		HTH-type transcriptional regulator CysB	cysB		ICJ55_RS00110	984	327	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	22744	23427	-					yjjG		ICJ55_RS00115	684		old_locus_tag=ICJ55_00115
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	22744	23427	-	WP_188156798.1	WP_188156798.1		pyrimidine 5'-nucleotidase	yjjG		ICJ55_RS00115	684	227	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	23488	24378	-							ICJ55_RS00120	891		old_locus_tag=ICJ55_00120
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	23488	24378	-	WP_188156799.1	WP_188156799.1		transcriptional regulator GcvA			ICJ55_RS00120	891	296	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	24820	25857	+					rsgA		ICJ55_RS00125	1038		old_locus_tag=ICJ55_00125
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	24820	25857	+	WP_188156800.1	WP_188156800.1		small ribosomal subunit biogenesis GTPase RsgA	rsgA		ICJ55_RS00125	1038	345	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	25854	26453	+					rnhB		ICJ55_RS00130	600		old_locus_tag=ICJ55_00130
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	25854	26453	+	WP_188157657.1	WP_188157657.1		ribonuclease HII	rnhB		ICJ55_RS00130	600	199	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	26466	26825	+							ICJ55_RS00135	360		old_locus_tag=ICJ55_00135
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	26466	26825	+	WP_188156801.1	WP_188156801.1		HIT domain-containing protein			ICJ55_RS00135	360	119	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	26830	27198	+							ICJ55_RS00140	369		old_locus_tag=ICJ55_00140
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	26830	27198	+	WP_188156802.1	WP_188156802.1		YcfL family protein			ICJ55_RS00140	369	122	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	27234	27866	-							ICJ55_RS00145	633		old_locus_tag=ICJ55_00145
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	27234	27866	-	WP_188156803.1	WP_188156803.1		MBL fold metallo-hydrolase			ICJ55_RS00145	633	210	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	27883	28437	-							ICJ55_RS00150	555		old_locus_tag=ICJ55_00150
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	27883	28437	-	WP_188156804.1	WP_188156804.1		YcbK family protein			ICJ55_RS00150	555	184	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	28605	30056	-							ICJ55_RS00155	1452		old_locus_tag=ICJ55_00155
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	28605	30056	-	WP_188157658.1	WP_188157658.1		L,D-transpeptidase family protein			ICJ55_RS00155	1452	483	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	30177	32189	-					prc		ICJ55_RS00160	2013		old_locus_tag=ICJ55_00160
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	30177	32189	-	WP_188156805.1	WP_188156805.1		carboxy terminal-processing peptidase	prc		ICJ55_RS00160	2013	670	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	32266	32805	-					proQ		ICJ55_RS00165	540		old_locus_tag=ICJ55_00165
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	32266	32805	-	WP_188156806.1	WP_188156806.1		RNA chaperone ProQ	proQ		ICJ55_RS00165	540	179	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	33132	33344	+							ICJ55_RS00170	213		old_locus_tag=ICJ55_00170
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	33132	33344	+	WP_188156807.1	WP_188156807.1		cold-shock protein			ICJ55_RS00170	213	70	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	33395	34555	-							ICJ55_RS00175	1161		old_locus_tag=ICJ55_00175
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	33395	34555	-	WP_188156808.1	WP_188156808.1		3-phenylpropionate MFS transporter			ICJ55_RS00175	1161	386	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	34552	35370	-					proC		ICJ55_RS00180	819		old_locus_tag=ICJ55_00180
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	34552	35370	-	WP_188156809.1	WP_188156809.1		pyrroline-5-carboxylate reductase	proC		ICJ55_RS00180	819	272	
gene	protein_coding	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	35458	36366	+					rdgC		ICJ55_RS00185	909		old_locus_tag=ICJ55_00185
CDS	with_protein	GCF_014541205.1	Primary Assembly	chromosome		NZ_CP061280.1	35458	36366	+	WP_188156810.1	WP_188156810.1		recombination-associated protein RdgC	rdgC		ICJ55_RS00185	909	302	
