# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	101	1471	+					dnaA	69411848	KI797_RS00005	1371		old_locus_tag=KI797_00005
CDS	with_protein	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	101	1471	+	WP_041206622.1	WP_041206622.1		chromosomal replication initiator protein DnaA	dnaA	69411848	KI797_RS00005	1371	456	
gene	protein_coding	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	1555	2658	+					dnaN	69412897	KI797_RS00010	1104		old_locus_tag=KI797_00010
CDS	with_protein	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	1555	2658	+	WP_005326306.1	WP_005326306.1		DNA polymerase III subunit beta	dnaN	69412897	KI797_RS00010	1104	367	
gene	protein_coding	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	2661	3764	+					recF	69410496	KI797_RS00015	1104		old_locus_tag=KI797_00015
CDS	with_protein	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	2661	3764	+	WP_005326309.1	WP_005326309.1		DNA replication/repair protein RecF	recF	69410496	KI797_RS00015	1104	367	
gene	protein_coding	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	3761	6172	+					gyrB	69409829	KI797_RS00020	2412		old_locus_tag=KI797_00020
CDS	with_protein	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	3761	6172	+	WP_005326310.1	WP_005326310.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	69409829	KI797_RS00020	2412	803	
gene	protein_coding	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	6291	6668	-						69412437	KI797_RS00025	378		old_locus_tag=KI797_00025
CDS	with_protein	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	6291	6668	-	WP_226173195.1	WP_226173195.1		VOC family protein		69412437	KI797_RS00025	378	125	
gene	pseudogene	GCF_020423125.1	Primary Assembly	chromosome		NZ_CP075564.1	6738	7441	-						69410839	KI797_RS00030	704		pseudo;old_locus_tag=KI797_00030
