# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	152	1552	-							HIV01_RS00005	1401		old_locus_tag=HIV01_000005
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	152	1552	-	WP_200604255.1	WP_200604255.1		L-serine ammonia-lyase			HIV01_RS00005	1401	466	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	1668	1946	+							HIV01_RS00010	279		old_locus_tag=HIV01_000010
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	1668	1946	+	WP_200604256.1	WP_200604256.1		glutaredoxin family protein			HIV01_RS00010	279	92	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	1975	2547	-							HIV01_RS00015	573		old_locus_tag=HIV01_000015
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	1975	2547	-	WP_200604257.1	WP_200604257.1		YceI family protein			HIV01_RS00015	573	190	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	2547	3128	-							HIV01_RS00020	582		old_locus_tag=HIV01_000020
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	2547	3128	-	WP_200604258.1	WP_200604258.1		cytochrome b			HIV01_RS00020	582	193	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	3125	3877	-							HIV01_RS00025	753		old_locus_tag=HIV01_000025
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	3125	3877	-	WP_200604259.1	WP_200604259.1		YceI family protein			HIV01_RS00025	753	250	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	4067	7603	+							HIV01_RS00030	3537		old_locus_tag=HIV01_000030
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	4067	7603	+	WP_245156869.1	WP_245156869.1		ATP-binding protein			HIV01_RS00030	3537	1178	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	7671	7964	+							HIV01_RS00035	294		old_locus_tag=HIV01_000035
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	7671	7964	+	WP_200604260.1	WP_200604260.1		hypothetical protein			HIV01_RS00035	294	97	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	8060	8842	+							HIV01_RS00040	783		old_locus_tag=HIV01_000040
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	8060	8842	+	WP_200606242.1	WP_200606242.1		SPFH domain-containing protein			HIV01_RS00040	783	260	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	8901	9605	-							HIV01_RS00045	705		old_locus_tag=HIV01_000045
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	8901	9605	-	WP_200604261.1	WP_200604261.1		LytTR family DNA-binding domain-containing protein			HIV01_RS00045	705	234	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	9593	11302	-							HIV01_RS00050	1710		old_locus_tag=HIV01_000050
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	9593	11302	-	WP_207527034.1	WP_207527034.1		histidine kinase			HIV01_RS00050	1710	569	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	11301	12956	+							HIV01_RS00055	1656		old_locus_tag=HIV01_000055
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	11301	12956	+	WP_245156870.1	WP_245156870.1		alpha/beta hydrolase			HIV01_RS00055	1656	551	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	12982	13293	+							HIV01_RS00060	312		old_locus_tag=HIV01_000060
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	12982	13293	+	WP_200604263.1	WP_200604263.1		hypothetical protein			HIV01_RS00060	312	103	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	13358	14434	-					hemE		HIV01_RS00065	1077		old_locus_tag=HIV01_000065
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	13358	14434	-	WP_200604264.1	WP_200604264.1		uroporphyrinogen decarboxylase	hemE		HIV01_RS00065	1077	358	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	14610	14864	-							HIV01_RS00070	255		old_locus_tag=HIV01_000070
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	14610	14864	-	WP_200604265.1	WP_200604265.1		WGR domain-containing protein			HIV01_RS00070	255	84	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	14916	16022	-					aroB		HIV01_RS00075	1107		old_locus_tag=HIV01_000075
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	14916	16022	-	WP_200604266.1	WP_200604266.1		3-dehydroquinate synthase	aroB		HIV01_RS00075	1107	368	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	16019	16603	-							HIV01_RS00080	585		old_locus_tag=HIV01_000080
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	16019	16603	-	WP_200604267.1	WP_200604267.1		shikimate kinase			HIV01_RS00080	585	194	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	16709	16912	+							HIV01_RS00085	204		old_locus_tag=HIV01_000085
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	16709	16912	+	WP_200604268.1	WP_200604268.1		dodecin family protein			HIV01_RS00085	204	67	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	16927	17778	-							HIV01_RS00090	852		old_locus_tag=HIV01_000090
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	16927	17778	-	WP_200604269.1	WP_200604269.1		kinase			HIV01_RS00090	852	283	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	17796	18398	+					pdxH		HIV01_RS00095	603		old_locus_tag=HIV01_000095
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	17796	18398	+	WP_200604270.1	WP_200604270.1		pyridoxamine 5'-phosphate oxidase	pdxH		HIV01_RS00095	603	200	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	18395	19213	+							HIV01_RS00100	819		old_locus_tag=HIV01_000100
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	18395	19213	+	WP_200604271.1	WP_200604271.1		cobalamin-binding protein			HIV01_RS00100	819	272	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	19283	19756	-							HIV01_RS00105	474		old_locus_tag=HIV01_000105
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	19283	19756	-	WP_200604272.1	WP_200604272.1		DUF4426 domain-containing protein			HIV01_RS00105	474	157	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	19803	20648	-					proC		HIV01_RS00110	846		old_locus_tag=HIV01_000110
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	19803	20648	-	WP_200604273.1	WP_200604273.1		pyrroline-5-carboxylate reductase	proC		HIV01_RS00110	846	281	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	20704	21360	-							HIV01_RS00115	657		old_locus_tag=HIV01_000115
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	20704	21360	-	WP_200606245.1	WP_200606245.1		YggS family pyridoxal phosphate-dependent enzyme			HIV01_RS00115	657	218	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	21544	22581	+							HIV01_RS00120	1038		old_locus_tag=HIV01_000120
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	21544	22581	+	WP_200604274.1	WP_200604274.1		type IV pilus twitching motility protein PilT			HIV01_RS00120	1038	345	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	22682	23827	+							HIV01_RS00125	1146		old_locus_tag=HIV01_000125
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	22682	23827	+	WP_158734026.1	WP_158734026.1		PilT/PilU family type 4a pilus ATPase			HIV01_RS00125	1146	381	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	24392	24958	-							HIV01_RS00130	567		old_locus_tag=HIV01_000130
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	24392	24958	-	WP_200604275.1	WP_200604275.1		DNA-3-methyladenine glycosylase I			HIV01_RS00130	567	188	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	24962	26689	-							HIV01_RS00135	1728		old_locus_tag=HIV01_000135
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	24962	26689	-	WP_200604276.1	WP_200604276.1		Zn-dependent hydrolase			HIV01_RS00135	1728	575	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	26780	27346	+							HIV01_RS00140	567		old_locus_tag=HIV01_000140
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	26780	27346	+	WP_200604277.1	WP_200604277.1		YqgE/AlgH family protein			HIV01_RS00140	567	188	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	27346	27843	+					ruvX		HIV01_RS00145	498		old_locus_tag=HIV01_000145
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	27346	27843	+	WP_200604278.1	WP_200604278.1		Holliday junction resolvase RuvX	ruvX		HIV01_RS00145	498	165	
gene	pseudogene	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	27887	28815	+							HIV01_RS00150	929		pseudo;old_locus_tag=HIV01_000150
CDS	without_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	27887	28815	+				aspartate carbamoyltransferase catalytic subunit			HIV01_RS00150	929		pseudo
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	28846	29637	-							HIV01_RS00155	792		old_locus_tag=HIV01_000155
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	28846	29637	-	WP_200604280.1	WP_200604280.1		phospholipase			HIV01_RS00155	792	263	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	29691	31052	-					mgtE		HIV01_RS00160	1362		old_locus_tag=HIV01_000160
CDS	with_protein	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	29691	31052	-	WP_200604281.1	WP_200604281.1		magnesium transporter	mgtE		HIV01_RS00160	1362	453	
gene	protein_coding	GCF_016613475.2	Primary Assembly	chromosome		NZ_CP071517.1	31182	32912	-					ptsP		HIV01_RS00165	1731		old_locus_tag=HIV01_000165
