start,end,score,strand
5025,5064,54,+
9379,9400,63,+
13770,13801,50,-
23183,23210,55,+
25445,25482,58,+
29392,29426,62,+
31676,31706,57,+
32277,32308,65,+
38906,38927,51,+
49420,49458,69,+
54079,54125,50,+
58499,58526,68,-
60195,60218,48,+
68646,68676,60,+
70818,70857,57,+
87547,87575,63,+
87582,87605,49,+
90722,90741,47,+
91374,91395,51,+
97737,97755,52,-
100967,101005,57,+
105917,105936,47,-
106375,106407,49,+
112362,112384,61,+
112446,112465,47,+
112958,112975,52,+
119591,119637,50,-
127519,127544,47,+
127688,127710,49,+
129586,129610,59,+
146224,146255,62,+
148161,148181,64,-
151553,151582,57,-
151976,152006,51,+
154903,154922,47,-
161237,161257,47,+
161303,161318,53,+
161655,161681,66,+
170003,170032,69,-
174273,174311,55,-
180488,180507,65,+
180898,180919,52,+
181066,181100,57,+
183811,183833,61,+
200757,200789,61,+
207157,207193,62,+
217018,217037,47,-
218700,218724,58,-
226099,226130,63,+
235689,235719,51,-
250246,250273,68,-
252066,252084,50,-
255184,255207,50,-
262151,262197,47,-
283741,283771,65,+
284215,284249,61,+
284831,284864,51,-
294469,294504,48,-
307892,307911,49,+
310800,310838,53,+
317264,317289,47,+
323639,323665,63,+
332080,332099,49,+
334667,334700,50,-
340931,340953,49,+
351555,351582,55,-
359491,359509,49,+
369173,369200,55,+
379550,379571,63,+
380152,380182,55,+
410860,410883,60,+
419700,419732,80,-
466899,466918,47,+
469557,469588,68,+
473457,473489,54,+
487521,487551,51,+
488407,488426,65,+
493884,493923,61,-
496530,496559,61,+
504474,504501,55,+
506090,506111,62,-
512663,512690,57,+
522373,522401,68,+
534332,534349,52,+
555242,555265,49,-
562979,563001,61,-
577792,577819,68,+
584125,584155,68,+
588106,588123,52,-
593098,593130,66,+
608638,608658,64,-
614931,614960,54,+
616787,616822,59,+
617253,617273,64,-
617320,617340,64,+
627194,627234,57,+
632050,632082,63,+
635424,635449,60,+
637490,637520,51,+
637926,637966,54,+
640019,640061,52,+
645436,645461,47,+
645539,645557,49,+
660112,660141,55,+
667408,667438,51,-
670853,670892,55,-
671363,671387,71,+
674620,674650,55,+
676062,676095,48,+
676773,676805,76,+
679035,679060,66,-
683146,683165,47,+
696845,696875,59,+
709688,709711,49,-
712845,712884,51,-
713505,713526,63,+
714653,714671,50,+
725653,725683,49,+
732876,732910,48,+
745604,745623,47,-
767076,767099,60,+
770428,770453,47,+
772592,772612,47,+
773260,773282,61,-
773287,773331,47,+
773627,773659,59,-
778090,778109,47,-
788479,788505,56,+
799171,799210,53,+
802794,802825,80,+
806556,806583,55,+
820580,820618,58,+
825668,825691,60,-
825710,825743,48,+
828283,828301,49,+
828667,828702,55,+
832124,832161,55,+
832208,832229,48,+
832324,832359,61,+
832547,832575,54,-
835896,835929,62,+
837080,837104,48,+
843638,843653,72,+
854865,854887,51,+
859092,859116,48,+
863600,863630,51,-
870410,870439,52,+
880469,880502,47,+
881294,881323,51,+
882088,882125,56,+
885916,885955,54,-
886671,886702,59,+
892270,892298,65,+
893742,893759,50,+
901860,901886,63,+
913174,913198,69,+
950801,950834,64,+
952371,952401,52,+
954318,954341,61,+
970904,970939,54,+
971981,972005,48,+
977117,977138,51,+
979271,979287,52,+
994430,994456,72,+
998400,998416,52,+
1002761,1002796,78,+
1028622,1028650,52,-
1042226,1042257,51,+
1043789,1043822,75,+
1044073,1044115,53,+
1049929,1049971,48,-
1051218,1051241,60,+
1051383,1051403,49,-
1055192,1055240,49,-
1056087,1056107,47,+
1056660,1056696,64,-
1068463,1068487,48,+
1073025,1073047,49,+
1074815,1074833,50,+
1076316,1076338,63,+
1078719,1078749,83,+
1082621,1082643,89,-
1082715,1082735,64,+
1085384,1085404,47,-
1086007,1086034,55,-
1090291,1090313,51,+
1091769,1091796,72,+
1098351,1098381,60,-
1105071,1105088,52,-
1107014,1107034,47,-
1108208,1108244,59,+
1112737,1112758,48,+
1117305,1117350,50,+
1124627,1124646,47,+
1125544,1125567,48,+
1130414,1130442,66,+
1135592,1135614,48,+
1136501,1136530,52,-
1138927,1138949,61,+
1143026,1143046,51,+
1144988,1145019,48,-
1146052,1146077,57,+
1146783,1146803,48,+
1148055,1148088,60,+
1148911,1148947,47,+
1157539,1157579,58,+
1157713,1157749,55,-
1159950,1159974,59,+
1167167,1167208,58,-
1168981,1169001,47,+
1172662,1172693,50,+
1174034,1174075,53,+
1181799,1181818,49,+
1186044,1186067,70,+
1186557,1186587,71,+
1187198,1187230,49,+
1199045,1199069,59,+
1202181,1202207,56,-
1220068,1220096,66,-
1226964,1226987,50,+
1247907,1247948,55,-
1249170,1249192,61,+
1249231,1249252,48,+
1253330,1253349,47,-
1263721,1263755,65,+
1265367,1265388,51,+
1265982,1266006,48,+
1268164,1268187,60,-
1284071,1284104,58,+
1287497,1287517,47,+
1289866,1289889,50,-
1308335,1308365,51,-
1315537,1315564,55,+
1317013,1317055,57,+
1321310,1321355,48,-
1322882,1322899,50,+
1323401,1323430,54,+
1332677,1332717,86,+
1338039,1338056,52,+
1341121,1341156,52,+
1347633,1347648,53,+
1350495,1350514,47,+
1355139,1355176,56,-
1355609,1355632,48,-
1356722,1356759,54,+
1358127,1358150,48,+
1360332,1360367,50,-
1360920,1360958,61,+
1368767,1368789,70,-
1368926,1368946,73,+
1395768,1395791,50,+
1405772,1405808,58,+
1407641,1407674,76,+
1407707,1407722,53,+
1418865,1418900,61,+
1419882,1419903,51,+
1439424,1439448,48,+
1447240,1447262,48,+
1449608,1449639,59,-
1461751,1461781,51,+
1463051,1463083,62,+
1468359,1468378,49,+
1471726,1471747,63,+
1474402,1474419,69,+
