start,end,score,strand
8463,8502,59,+
9203,9223,51,+
9344,9375,63,+
13288,13315,55,+
14130,14169,54,+
14227,14264,50,-
20627,20658,80,-
24635,24669,61,-
27330,27367,53,+
28080,28104,76,+
29928,29954,56,+
30864,30889,47,+
34635,34668,48,-
35019,35038,47,-
35642,35686,53,+
42443,42483,53,+
43865,43901,61,+
44650,44695,49,+
48075,48108,64,-
48620,48646,70,-
52359,52391,49,-
56914,56932,50,+
57187,57230,54,-
66534,66567,48,+
70265,70301,62,-
70533,70551,49,-
72605,72627,61,-
73435,73454,66,+
74974,75008,48,+
76118,76151,62,+
77730,77759,57,+
80520,80536,52,+
81047,81074,55,+
81969,81991,61,-
87397,87426,52,-
88555,88588,65,+
89136,89159,61,-
90177,90213,70,-
92277,92303,56,+
93084,93116,67,+
93708,93725,52,+
94139,94173,58,-
95620,95641,49,+
95792,95825,56,-
97564,97603,55,+
97969,98008,57,-
101445,101481,59,+
101908,101954,90,+
107057,107090,61,-
107666,107685,49,-
108758,108791,51,+
109151,109186,55,+
109883,109931,47,+
111095,111128,58,-
137844,137870,68,+
142546,142582,58,+
146732,146760,83,-
147381,147419,59,+
147605,147633,61,+
151403,151430,68,+
154591,154617,57,+
155116,155136,48,-
155901,155928,68,+
157185,157217,57,+
158055,158073,50,+
158079,158110,79,+
159291,159317,56,+
161452,161471,51,+
161952,161982,51,+
162427,162447,64,+
163446,163478,60,+
166470,166497,70,+
166553,166599,52,+
166953,166988,62,+
169312,169342,51,-
171313,171345,49,-
173651,173690,69,+
174898,174930,105,+
176117,176154,59,-
177736,177775,54,+
178877,178901,48,-
181266,181286,47,-
186181,186202,48,+
194867,194886,66,+
195669,195701,65,-
197659,197690,52,-
198872,198909,55,+
205394,205413,66,-
208121,208144,49,+
210214,210242,54,+
211032,211049,50,-
213534,213564,51,+
215578,215612,56,+
216358,216391,52,+
217171,217202,76,+
218472,218497,57,-
218531,218568,55,-
219200,219236,64,-
219739,219784,49,-
220282,220305,50,+
220342,220364,51,-
223606,223627,48,-
223799,223817,49,-
229820,229849,52,-
232219,232258,52,+
233115,233137,62,+
234147,234170,48,+
235135,235154,47,+
238325,238349,71,+
238587,238616,65,+
239187,239224,59,-
240901,240933,63,+
241086,241121,54,+
244713,244745,54,+
245242,245267,47,+
248483,248522,49,+
249965,249984,49,+
254514,254547,75,-
255931,255960,54,-
256169,256200,50,-
256292,256322,68,-
256925,256950,57,-
257062,257097,58,-
261993,262013,51,+
265799,265835,64,+
267223,267247,48,+
268674,268711,59,+
269946,269977,62,+
270415,270461,50,+
270614,270658,54,-
271575,271614,55,-
271874,271917,48,+
271936,271956,51,+
273951,273993,53,+
274020,274058,58,-
274117,274157,57,+
274163,274194,68,-
283837,283881,50,+
290462,290505,49,-
292949,292966,52,+
293299,293329,51,-
301087,301121,76,-
302697,302735,59,-
303545,303564,49,-
308715,308749,51,+
311302,311336,50,+
312410,312434,58,+
312655,312692,57,+
315228,315261,47,+
317060,317093,56,-
317508,317533,75,-
317940,317964,48,+
318108,318133,47,+
323692,323722,54,-
330498,330529,107,+
331257,331288,68,-
340806,340833,55,+
342891,342934,50,+
344100,344131,50,+
344551,344584,48,-
345084,345126,67,-
345323,345355,78,+
351218,351237,47,+
358890,358934,67,+
364511,364528,50,+
369303,369328,61,+
370102,370129,55,-
370220,370247,55,+
371539,371572,64,+
372017,372034,50,+
372138,372157,47,+
372194,372232,56,+
373213,373236,60,+
375395,375414,47,+
375728,375759,64,+
378921,378950,58,+
380845,380878,52,+
384369,384408,49,-
385635,385668,55,+
388029,388059,51,+
389522,389549,53,+
390439,390468,52,-
394757,394794,56,-
397494,397517,69,+
397996,398037,53,-
399376,399398,49,-
399836,399860,59,+
399963,399986,50,-
401061,401095,56,-
404388,404407,49,+
404716,404736,64,-
406745,406772,55,+
406919,406938,49,+
407631,407663,49,-
409017,409036,47,+
412381,412406,57,+
413571,413590,66,+
415544,415578,62,+
417488,417507,47,-
419337,419374,73,-
420318,420335,50,-
421395,421418,60,+
421775,421814,54,-
428301,428330,52,+
429982,430012,62,-
431452,431477,57,+
442922,442966,49,+
445835,445859,48,+
458071,458091,48,+
464618,464640,49,+
466330,466373,50,+
466726,466766,54,+
467354,467386,65,+
471974,472003,52,-
480202,480231,63,-
486220,486240,49,-
487426,487462,53,-
487893,487928,60,-
492224,492257,48,-
497141,497179,62,-
497208,497231,48,-
501025,501052,60,-
502772,502811,53,+
504098,504140,55,-
505499,505520,63,-
506659,506693,50,-
508930,508976,48,+
510780,510815,58,-
518937,518967,51,+
519161,519184,48,+
522084,522114,51,+
522801,522824,70,+
524164,524199,76,+
524959,525001,52,+
526076,526112,56,+
527481,527517,56,+
528530,528555,57,+
530597,530624,53,+
531052,531079,55,+
531451,531494,68,+
532298,532315,52,+
537742,537767,75,+
538285,538307,61,+
538623,538648,57,+
538987,539016,55,+
540233,540253,48,+
540553,540575,49,-
540812,540844,49,+
541452,541475,60,-
543256,543301,52,+
545333,545366,56,-
545950,545983,48,+
546460,546484,48,+
547149,547173,59,+
551901,551920,51,+
552775,552801,68,-
556174,556193,47,+
558213,558241,67,-
559366,559407,50,+
559846,559878,49,+
561338,561365,55,-
564221,564246,47,+
564786,564817,93,+
565603,565621,49,+
571410,571430,47,+
571532,571555,50,-
572285,572313,61,+
572831,572876,47,+
575090,575109,51,-
575354,575373,47,+
585972,586001,57,+
588767,588789,61,+
589290,589309,49,+
590514,590533,66,-
593249,593265,52,-
597749,597777,65,+
600498,600531,47,+
602300,602335,61,+
603125,603155,51,+
603497,603527,51,-
603763,603799,58,-
604730,604747,52,+
605939,605984,50,-
609856,609877,48,-
615596,615620,71,+
618197,618233,56,+
618653,618676,60,-
620353,620377,48,+
620493,620519,56,+
620895,620929,59,+
621746,621777,59,+
625339,625379,54,+
627809,627852,49,-
630672,630696,48,+
631315,631332,50,+
641931,641949,49,-
644957,644978,52,+
645246,645264,49,+
645938,645960,49,+
654263,654297,55,+
654685,654713,54,-
656571,656591,48,+
661979,662014,50,-
663191,663225,78,-
663524,663553,61,+
663686,663730,86,+
671652,671678,58,-
673147,673172,47,+
673545,673569,91,-
676434,676469,57,+
676786,676825,58,+
678050,678089,54,+
683928,683969,57,+
688795,688835,53,-
691448,691476,54,+
693897,693930,56,+
705229,705255,69,-
705549,705571,48,+
706912,706954,48,+
710326,710352,56,+
710382,710405,48,+
713947,713985,54,+
714013,714054,51,+
714234,714255,49,+
715730,715761,78,-
715834,715873,54,+
716777,716812,61,-
717006,717032,58,-
718217,718246,65,+
719852,719871,47,+
721827,721863,58,-
723042,723068,56,-
724308,724344,54,+
724397,724431,58,-
726797,726835,54,+
727571,727603,62,-
731119,731141,61,-
731291,731311,47,+
731502,731536,48,-
731662,731687,57,-
732035,732055,49,+
733578,733598,64,-
734577,734593,52,-
737203,737225,61,+
737405,737448,53,-
737499,737539,53,-
740806,740842,57,+
747062,747081,49,-
755208,755243,60,+
755402,755432,51,+
758796,758824,68,+
760907,760947,55,+
762227,762259,57,-
763135,763179,54,+
763535,763555,64,+
769971,770003,49,+
770805,770842,57,+
777405,777452,48,+
777514,777542,68,+
777966,777990,61,+
778725,778771,49,+
785707,785740,47,+
786743,786761,50,+
786982,787006,67,+
788411,788444,61,-
790403,790429,56,+
795059,795093,58,+
797901,797941,58,+
798624,798644,49,+
799359,799394,55,+
803455,803479,48,-
804341,804377,76,+
805317,805335,49,+
806747,806773,56,+
807245,807285,69,+
809561,809580,49,-
810850,810889,55,-
814961,814992,79,+
815584,815607,61,+
817807,817832,57,-
818217,818260,50,+
819007,819026,49,+
819081,819114,48,+
820831,820847,70,+
822469,822506,56,-
822728,822758,59,+
823633,823671,75,+
825105,825134,65,-
826391,826430,57,+
831837,831878,50,-
834012,834036,59,-
844195,844229,106,+
845689,845725,58,+
846568,846603,58,+
849165,849187,61,-
849985,850003,49,-
850119,850144,67,+
852950,852975,57,+
855733,855765,52,-
856475,856518,52,-
858230,858262,50,-
858805,858829,48,-
859085,859119,59,-
860149,860172,49,+
875649,875679,54,-
878214,878246,48,+
880020,880040,48,+
880062,880087,57,-
883183,883210,71,+
884649,884676,55,+
886065,886098,56,+
886195,886227,49,+
886535,886564,85,+
886873,886908,71,+
887415,887446,52,+
888237,888269,49,+
891115,891131,53,-
891386,891409,50,+
893570,893586,53,+
893960,893994,80,+
897511,897540,52,+
899458,899504,50,-
901343,901378,56,-
904390,904425,56,-
908860,908893,52,+
913204,913239,57,-
921730,921759,65,-
922071,922090,51,+
922708,922747,50,+
923881,923900,47,-
925002,925036,62,+
927533,927565,80,+
934417,934447,67,+
935265,935298,52,+
939402,939442,57,-
941703,941732,51,+
941750,941792,55,+
944398,944441,49,-
945054,945076,51,-
945576,945595,47,+
946444,946480,47,+
947039,947067,54,-
947918,947948,54,+
950191,950232,49,+
951044,951064,49,+
952928,952953,63,-
960458,960481,49,-
963565,963592,83,+
965109,965130,62,-
966236,966252,53,+
966478,966506,68,+
970149,970169,47,+
971068,971098,49,+
