# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	36	482	-					mioC		DAQ1742_RS00005	447		old_locus_tag=DAQ1742_00001
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	36	482	-	WP_035345343.1	WP_035345343.1		FMN-binding protein MioC	mioC		DAQ1742_RS00005	447	148	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	574	1035	-					asnC		DAQ1742_RS00010	462		old_locus_tag=DAQ1742_00002
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	574	1035	-	WP_035345340.1	WP_035345340.1		transcriptional regulator AsnC	asnC		DAQ1742_RS00010	462	153	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	1147	2634	-					viaA		DAQ1742_RS00015	1488		old_locus_tag=DAQ1742_00003
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	1147	2634	-	WP_035345337.1	WP_035345337.1		ATPase RavA stimulator ViaA	viaA		DAQ1742_RS00015	1488	495	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	2640	4136	-					ravA		DAQ1742_RS00020	1497		old_locus_tag=DAQ1742_00004
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	2640	4136	-	WP_035345334.1	WP_035345334.1		ATPase RavA	ravA		DAQ1742_RS00020	1497	498	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	4397	6265	+					kup		DAQ1742_RS00025	1869		old_locus_tag=DAQ1742_00005
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	4397	6265	+	WP_035345331.1	WP_035345331.1		low affinity potassium transporter Kup	kup		DAQ1742_RS00025	1869	622	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	6496	6915	+					rbsD		DAQ1742_RS00030	420		old_locus_tag=DAQ1742_00006
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	6496	6915	+	WP_035345328.1	WP_035345328.1		D-ribose pyranase	rbsD		DAQ1742_RS00030	420	139	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	6923	8428	+					rbsA		DAQ1742_RS00035	1506		old_locus_tag=DAQ1742_00007
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	6923	8428	+	WP_035345325.1	WP_035345325.1		ribose ABC transporter ATP-binding protein RbsA	rbsA		DAQ1742_RS00035	1506	501	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	8436	9404	+					rbsC		DAQ1742_RS00040	969		old_locus_tag=DAQ1742_00008
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	8436	9404	+	WP_035345322.1	WP_035345322.1		ribose ABC transporter permease	rbsC		DAQ1742_RS00040	969	322	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	9431	10321	+					rbsB		DAQ1742_RS00045	891		old_locus_tag=DAQ1742_00009
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	9431	10321	+	WP_035345319.1	WP_035345319.1		ribose ABC transporter substrate-binding protein RbsB	rbsB		DAQ1742_RS00045	891	296	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	10400	11326	+					rbsK		DAQ1742_RS00050	927		old_locus_tag=DAQ1742_00010
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	10400	11326	+	WP_035345316.1	WP_035345316.1		ribokinase	rbsK		DAQ1742_RS00050	927	308	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	11330	12334	+					rbsR		DAQ1742_RS00055	1005		old_locus_tag=DAQ1742_00011
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	11330	12334	+	WP_197731762.1	WP_197731762.1		ribose operon transcriptional repressor RbsR	rbsR		DAQ1742_RS00055	1005	334	
gene	rRNA	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	12767	14308	+							DAQ1742_RS00060	1542		old_locus_tag=DAQ1742_00012
rRNA		GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	12767	14308	+				16S ribosomal RNA			DAQ1742_RS00060	1542		
gene	tRNA	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	14394	14469	+							DAQ1742_RS00065	76		old_locus_tag=DAQ1742_00013
tRNA		GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	14394	14469	+				tRNA-Glu			DAQ1742_RS00065	76		anticodon=TTC
gene	rRNA	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	14674	17582	+							DAQ1742_RS00070	2909		old_locus_tag=DAQ1742_00014
rRNA		GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	14674	17582	+				23S ribosomal RNA			DAQ1742_RS00070	2909		
gene	rRNA	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	17701	17816	+					rrf		DAQ1742_RS00075	116		old_locus_tag=DAQ1742_00015
rRNA		GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	17701	17816	+				5S ribosomal RNA	rrf		DAQ1742_RS00075	116		
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	18019	18540	-					mobB		DAQ1742_RS00080	522		old_locus_tag=DAQ1742_00016
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	18019	18540	-	WP_035345310.1	WP_035345310.1		molybdopterin-guanine dinucleotide biosynthesis protein MobB	mobB		DAQ1742_RS00080	522	173	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	18533	19108	-					mobA		DAQ1742_RS00085	576		old_locus_tag=DAQ1742_00017
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	18533	19108	-	WP_035345306.1	WP_035345306.1		molybdenum cofactor guanylyltransferase MobA	mobA		DAQ1742_RS00085	576	191	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	19218	19487	+							DAQ1742_RS00090	270		old_locus_tag=DAQ1742_00018
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	19218	19487	+	WP_035345303.1	WP_035345303.1		YihD family protein			DAQ1742_RS00090	270	89	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	19532	20518	+							DAQ1742_RS00095	987		old_locus_tag=DAQ1742_00019
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	19532	20518	+	WP_035345300.1	WP_035345300.1		serine/threonine protein kinase			DAQ1742_RS00095	987	328	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	20541	21164	+					dsbA		DAQ1742_RS00100	624		old_locus_tag=DAQ1742_00020
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	20541	21164	+	WP_035345297.1	WP_035345297.1		thiol:disulfide interchange protein DsbA	dsbA		DAQ1742_RS00100	624	207	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	21573	24365	+					polA		DAQ1742_RS00105	2793		old_locus_tag=DAQ1742_00022
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	21573	24365	+	WP_180706199.1	WP_180706199.1		DNA polymerase I	polA		DAQ1742_RS00105	2793	930	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	24850	25497	-					yihA		DAQ1742_RS00110	648		old_locus_tag=DAQ1742_00023
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	24850	25497	-	WP_145916221.1	WP_145916221.1		ribosome biogenesis GTP-binding protein YihA/YsxC	yihA		DAQ1742_RS00110	648	215	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	25720	26259	+					yihI		DAQ1742_RS00115	540		old_locus_tag=DAQ1742_00024
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	25720	26259	+	WP_035345288.1	WP_035345288.1		Der GTPase-activating protein YihI	yihI		DAQ1742_RS00115	540	179	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	26441	27814	+					hemN		DAQ1742_RS00120	1374		old_locus_tag=DAQ1742_00025
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	26441	27814	+	WP_035345286.1	WP_035345286.1		oxygen-independent coproporphyrinogen III oxidase	hemN		DAQ1742_RS00120	1374	457	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	27915	28037	-							DAQ1742_RS00125	123		
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	27915	28037	-	WP_145916220.1	WP_145916220.1		YshB family small membrane protein			DAQ1742_RS00125	123	40	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	28182	29594	-					glnG		DAQ1742_RS00130	1413		old_locus_tag=DAQ1742_00027
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	28182	29594	-	WP_035345283.1	WP_035345283.1		nitrogen regulation protein NR(I)	glnG		DAQ1742_RS00130	1413	470	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	29603	30652	-					glnL		DAQ1742_RS00135	1050		old_locus_tag=DAQ1742_00028
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	29603	30652	-	WP_035345280.1	WP_035345280.1		nitrogen regulation protein NR(II)	glnL		DAQ1742_RS00135	1050	349	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	30877	32286	-					glnA		DAQ1742_RS00140	1410		old_locus_tag=DAQ1742_00030
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	30877	32286	-	WP_035345278.1	WP_035345278.1		glutamate--ammonia ligase	glnA		DAQ1742_RS00140	1410	469	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	32663	34486	+					typA		DAQ1742_RS00145	1824		old_locus_tag=DAQ1742_00031
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	32663	34486	+	WP_035345275.1	WP_035345275.1		ribosome-dependent GTPase TypA	typA		DAQ1742_RS00145	1824	607	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	34705	35316	+					yihX		DAQ1742_RS00150	612		old_locus_tag=DAQ1742_00032
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	34705	35316	+	WP_035345272.1	WP_035345272.1		glucose-1-phosphatase	yihX		DAQ1742_RS00150	612	203	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	35324	35761	+					dtd		DAQ1742_RS00155	438		old_locus_tag=DAQ1742_00033
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	35324	35761	+	WP_035345270.1	WP_035345270.1		D-aminoacyl-tRNA deacylase	dtd		DAQ1742_RS00155	438	145	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	35792	36733	+					fabY		DAQ1742_RS00160	942		old_locus_tag=DAQ1742_00034
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	35792	36733	+	WP_051124150.1	WP_051124150.1		fatty acid biosynthesis protein FabY	fabY		DAQ1742_RS00160	942	313	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	36808	38589	-							DAQ1742_RS00165	1782		old_locus_tag=DAQ1742_00035
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	36808	38589	-	WP_035345267.1	WP_035345267.1		AsmA family protein			DAQ1742_RS00165	1782	593	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	38745	40133	-							DAQ1742_RS00170	1389		old_locus_tag=DAQ1742_00036
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	38745	40133	-	WP_035345264.1	WP_035345264.1		uracil-xanthine permease family protein			DAQ1742_RS00170	1389	462	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	40676	40870	+							DAQ1742_RS00175	195		
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	40676	40870	+	WP_035345261.1	WP_035345261.1		cysteine peptidase family C39 domain-containing protein			DAQ1742_RS00175	195	64	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	40872	41258	+							DAQ1742_RS00180	387		
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	40872	41258	+	WP_035345258.1	WP_035345258.1		hypothetical protein			DAQ1742_RS00180	387	128	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	41322	43403	-					recG		DAQ1742_RS00185	2082		old_locus_tag=DAQ1742_00038
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	41322	43403	-	WP_035345256.1	WP_035345256.1		ATP-dependent DNA helicase RecG	recG		DAQ1742_RS00185	2082	693	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	43403	44113	-					trmH		DAQ1742_RS00190	711		old_locus_tag=DAQ1742_00039
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	43403	44113	-	WP_035345253.1	WP_035345253.1		tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	trmH		DAQ1742_RS00190	711	236	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	44120	46222	-					spoT		DAQ1742_RS00195	2103		old_locus_tag=DAQ1742_00040
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	44120	46222	-	WP_035345250.1	WP_035345250.1		bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	spoT		DAQ1742_RS00195	2103	700	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	46247	46522	-					rpoZ		DAQ1742_RS00200	276		old_locus_tag=DAQ1742_00041
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	46247	46522	-	WP_035345247.1	WP_035345247.1		DNA-directed RNA polymerase subunit omega	rpoZ		DAQ1742_RS00200	276	91	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	46577	47200	-					gmk		DAQ1742_RS00205	624		old_locus_tag=DAQ1742_00042
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	46577	47200	-	WP_035346434.1	WP_035346434.1		guanylate kinase	gmk		DAQ1742_RS00205	624	207	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	47482	49173	+					ligB		DAQ1742_RS00210	1692		old_locus_tag=DAQ1742_00043
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	47482	49173	+	WP_035346432.1	WP_035346432.1		NAD-dependent DNA ligase LigB	ligB		DAQ1742_RS00210	1692	563	
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	49465	51132	+					eptB		DAQ1742_RS00215	1668		old_locus_tag=DAQ1742_00044
CDS	with_protein	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	49465	51132	+	WP_035345245.1	WP_035345245.1		kdo(2)-lipid A phosphoethanolamine 7''-transferase	eptB		DAQ1742_RS00215	1668	555	
gene	tRNA	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	51273	51349	+							DAQ1742_RS00220	77		old_locus_tag=DAQ1742_00045
tRNA		GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	51273	51349	+				tRNA-Pro			DAQ1742_RS00220	77		anticodon=CGG
gene	protein_coding	GCF_900095885.1	Primary Assembly	chromosome	1	NZ_LT615367.1	51785	52414	-							DAQ1742_RS00225	630		old_locus_tag=DAQ1742_00048
