# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	6089449	1461	+					dnaA	57395209	PotMrB4_RS00005	1467		old_locus_tag=PtoMrB4_00010
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	6089449	1461	+	WP_044410048.1	WP_044410048.1		chromosomal replication initiator protein DnaA	dnaA	57395209	PotMrB4_RS00005	1467	488	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	1500	2603	+					dnaN	57395210	PotMrB4_RS00010	1104		old_locus_tag=PtoMrB4_00020
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	1500	2603	+	WP_044410051.1	WP_044410051.1		DNA polymerase III subunit beta	dnaN	57395210	PotMrB4_RS00010	1104	367	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	2612	3721	+					recF	57395211	PotMrB4_RS00015	1110		old_locus_tag=PtoMrB4_00030
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	2612	3721	+	WP_074969840.1	WP_074969840.1		DNA replication/repair protein RecF	recF	57395211	PotMrB4_RS00015	1110	369	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	3718	6138	+					gyrB	57395212	PotMrB4_RS00020	2421		old_locus_tag=PtoMrB4_00040
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	3718	6138	+	WP_044410057.1	WP_044410057.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	57395212	PotMrB4_RS00020	2421	806	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	6220	6420	+						57395213	PotMrB4_RS00025	201		old_locus_tag=PtoMrB4_00050
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	6220	6420	+	WP_107330185.1	WP_107330185.1		hypothetical protein		57395213	PotMrB4_RS00025	201	66	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	6552	7325	-						57395214	PotMrB4_RS00030	774		old_locus_tag=PtoMrB4_00060
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	6552	7325	-	WP_044410063.1	WP_044410063.1		1-acyl-sn-glycerol-3-phosphate acyltransferase		57395214	PotMrB4_RS00030	774	257	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	7341	7871	-					gmhB	57395215	PotMrB4_RS00035	531		old_locus_tag=PtoMrB4_00070
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	7341	7871	-	WP_074969844.1	WP_074969844.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB	57395215	PotMrB4_RS00035	531	176	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	7924	9978	-					glyS	57395216	PotMrB4_RS00040	2055		old_locus_tag=PtoMrB4_00080
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	7924	9978	-	WP_172432201.1	WP_172432201.1		glycine--tRNA ligase subunit beta	glyS	57395216	PotMrB4_RS00040	2055	684	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	9975	10922	-					glyQ	57395217	PotMrB4_RS00045	948		old_locus_tag=PtoMrB4_00090
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	9975	10922	-	WP_069561838.1	WP_069561838.1		glycine--tRNA ligase subunit alpha	glyQ	57395217	PotMrB4_RS00045	948	315	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	11004	11555	+						57395218	PotMrB4_RS00050	552		old_locus_tag=PtoMrB4_00100
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	11004	11555	+	WP_142013267.1	WP_142013267.1		DNA-3-methyladenine glycosylase I		57395218	PotMrB4_RS00050	552	183	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	11623	12510	+						57395219	PotMrB4_RS00055	888		old_locus_tag=PtoMrB4_00110
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	11623	12510	+	WP_172432202.1	WP_172432202.1		lysophospholipid acyltransferase		57395219	PotMrB4_RS00055	888	295	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	12605	12871	+						57395220	PotMrB4_RS00060	267		old_locus_tag=PtoMrB4_00120
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	12605	12871	+	WP_044410086.1	WP_044410086.1		PilZ domain-containing protein		57395220	PotMrB4_RS00060	267	88	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	12901	13329	-						57395221	PotMrB4_RS00065	429		old_locus_tag=PtoMrB4_00130
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	12901	13329	-	WP_172432203.1	WP_172432203.1		hypothetical protein		57395221	PotMrB4_RS00065	429	142	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	13331	13651	-						57395222	PotMrB4_RS00070	321		old_locus_tag=PtoMrB4_00140
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	13331	13651	-	WP_172432204.1	WP_172432204.1		tetratricopeptide repeat protein		57395222	PotMrB4_RS00070	321	106	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	13719	15128	-						57395223	PotMrB4_RS00075	1410		old_locus_tag=PtoMrB4_00150
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	13719	15128	-	WP_232060882.1	WP_232060882.1		TrkH family potassium uptake protein		57395223	PotMrB4_RS00075	1410	469	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	15363	16736	-					trkA	57395224	PotMrB4_RS00080	1374		old_locus_tag=PtoMrB4_00160
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	15363	16736	-	WP_044410095.1	WP_044410095.1		Trk system potassium transporter TrkA	trkA	57395224	PotMrB4_RS00080	1374	457	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	16748	18061	-					rsmB	57395225	PotMrB4_RS00085	1314		old_locus_tag=PtoMrB4_00170
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	16748	18061	-	WP_172432206.1	WP_172432206.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB	57395225	PotMrB4_RS00085	1314	437	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	18058	19002	-					fmt	57395226	PotMrB4_RS00090	945		old_locus_tag=PtoMrB4_00180
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	18058	19002	-	WP_172432207.1	WP_172432207.1		methionyl-tRNA formyltransferase	fmt	57395226	PotMrB4_RS00090	945	314	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	19063	19569	-					def	57395227	PotMrB4_RS00095	507		old_locus_tag=PtoMrB4_00190
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	19063	19569	-	WP_069561846.1	WP_069561846.1		peptide deformylase	def	57395227	PotMrB4_RS00095	507	168	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	19711	20736	+						57395228	PotMrB4_RS00100	1026		old_locus_tag=PtoMrB4_00200
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	19711	20736	+	WP_172432208.1	WP_172432208.1		LysM peptidoglycan-binding domain-containing protein		57395228	PotMrB4_RS00100	1026	341	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	20821	21921	+					dprA	57395229	PotMrB4_RS00105	1101		old_locus_tag=PtoMrB4_00210
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	20821	21921	+	WP_172432209.1	WP_172432209.1		DNA-processing protein DprA	dprA	57395229	PotMrB4_RS00105	1101	366	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	21962	22519	+						57395230	PotMrB4_RS00110	558		old_locus_tag=PtoMrB4_00220
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	21962	22519	+	WP_044410112.1	WP_044410112.1		Sua5/YciO/YrdC/YwlC family protein		57395230	PotMrB4_RS00110	558	185	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	22577	23554	-						57395231	PotMrB4_RS00115	978		old_locus_tag=PtoMrB4_00230
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	22577	23554	-	WP_172432210.1	WP_172432210.1		NADPH:quinone reductase		57395231	PotMrB4_RS00115	978	325	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	23712	24629	+					hemF	57395232	PotMrB4_RS00120	918		old_locus_tag=PtoMrB4_00240
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	23712	24629	+	WP_172432211.1	WP_172432211.1		oxygen-dependent coproporphyrinogen oxidase	hemF	57395232	PotMrB4_RS00120	918	305	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	24786	25610	+					aroE	57395233	PotMrB4_RS00125	825		old_locus_tag=PtoMrB4_00250
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	24786	25610	+	WP_172432212.1	WP_172432212.1		shikimate dehydrogenase	aroE	57395233	PotMrB4_RS00125	825	274	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	25634	27193	-						57395234	PotMrB4_RS00130	1560		old_locus_tag=PtoMrB4_00260
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	25634	27193	-	WP_172432213.1	WP_172432213.1		SulP family inorganic anion transporter		57395234	PotMrB4_RS00130	1560	519	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	27315	28241	-					choX	57395235	PotMrB4_RS00135	927		old_locus_tag=PtoMrB4_00270
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	27315	28241	-	WP_172432214.1	WP_172432214.1		choline ABC transporter substrate-binding protein	choX	57395235	PotMrB4_RS00135	927	308	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	28252	29760	-					betC	57395236	PotMrB4_RS00140	1509		old_locus_tag=PtoMrB4_00280
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	28252	29760	-	WP_172432215.1	WP_172432215.1		choline-sulfatase	betC	57395236	PotMrB4_RS00140	1509	502	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	29873	30823	+						57395237	PotMrB4_RS00145	951		old_locus_tag=PtoMrB4_00290
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	29873	30823	+	WP_172432216.1	WP_172432216.1		LysR substrate-binding domain-containing protein		57395237	PotMrB4_RS00145	951	316	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	30969	31955	+						57395238	PotMrB4_RS00150	987		old_locus_tag=PtoMrB4_00300
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	30969	31955	+	WP_172432217.1	WP_172432217.1		phospholipase		57395238	PotMrB4_RS00150	987	328	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	31942	33210	+						57395239	PotMrB4_RS00155	1269		old_locus_tag=PtoMrB4_00310
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	31942	33210	+	WP_172432218.1	WP_172432218.1		peptidyl-prolyl cis-trans isomerase		57395239	PotMrB4_RS00155	1269	422	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	33207	33803	+						57395240	PotMrB4_RS00160	597		old_locus_tag=PtoMrB4_00320
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	33207	33803	+	WP_172432219.1	WP_172432219.1		hypothetical protein		57395240	PotMrB4_RS00160	597	198	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	33858	34226	+						57395241	PotMrB4_RS00165	369		old_locus_tag=PtoMrB4_00330
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	33858	34226	+	WP_044410139.1	WP_044410139.1		DOPA 4,5-dioxygenase family protein		57395241	PotMrB4_RS00165	369	122	
gene	protein_coding	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	34223	35659	-						57395242	PotMrB4_RS00170	1437		old_locus_tag=PtoMrB4_00340
CDS	with_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	34223	35659	-	WP_172432220.1	WP_172432220.1		FAD-dependent oxidoreductase		57395242	PotMrB4_RS00170	1437	478	
gene	pseudogene	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	36199	36342	-						69061189	PotMrB4_RS28115	144		partial;pseudo
CDS	without_protein	GCF_011397855.1	Primary Assembly	chromosome		NZ_AP022642.1	36199	36342	-				GntR family transcriptional regulator		69061189	PotMrB4_RS28115	144		partial;pseudo
