start,end,score,strand
3370,3402,67,-
4724,4753,60,-
5624,5643,47,-
7778,7799,63,+
8396,8414,50,+
14008,14040,49,+
16281,16304,60,+
16509,16531,72,-
19287,19311,48,+
21820,21840,47,-
22107,22134,58,+
22829,22856,86,-
24998,25015,69,-
31788,31830,49,-
33623,33652,65,-
34125,34144,47,-
34191,34209,52,-
34283,34300,69,-
34785,34809,48,-
35015,35050,59,-
41790,41819,83,-
44369,44398,52,-
47287,47318,59,-
52557,52579,61,+
58362,58406,52,+
60393,60417,48,+
62805,62847,57,-
66726,66765,59,+
72366,72388,61,+
72780,72812,49,+
73939,73959,64,+
74490,74527,53,+
76131,76158,69,+
76334,76363,52,-
77552,77592,59,-
86888,86907,47,+
92369,92388,49,-
92442,92465,61,+
92580,92598,67,+
92605,92637,51,+
93035,93063,65,+
93118,93161,68,+
93641,93682,54,+
98165,98207,50,+
98820,98842,51,+
98847,98886,73,+
99365,99384,66,+
99647,99681,58,+
100156,100189,65,+
100565,100595,51,+
100611,100632,72,-
101156,101175,49,+
103237,103260,49,+
104268,104307,51,+
105946,105961,53,+
106681,106723,53,+
107747,107793,49,+
114823,114855,78,-
116782,116801,47,+
116867,116900,59,+
118172,118214,53,-
124538,124575,56,-
125341,125383,49,+
129242,129257,72,+
131761,131784,48,+
136437,136455,67,-
140466,140505,57,-
143779,143809,55,+
143830,143849,47,+
146324,146355,57,+
152360,152386,60,-
152518,152543,69,+
155140,155163,60,-
156666,156690,59,-
156937,156962,58,+
157026,157044,49,+
157064,157088,59,+
161316,161346,70,+
164896,164916,52,-
167197,167237,71,-
167841,167860,49,-
167978,168003,69,-
168762,168799,60,-
170010,170033,59,-
170127,170144,52,+
175862,175904,55,+
178315,178335,47,-
190983,191014,106,-
191027,191054,65,-
192543,192574,67,-
192617,192657,58,-
192953,192975,48,+
193191,193208,50,+
193274,193298,59,-
195534,195557,59,-
198586,198607,48,-
198623,198639,70,+
198967,198984,50,+
199210,199235,47,-
203482,203512,79,+
203524,203557,64,+
205383,205412,97,-
209057,209090,58,+
209511,209542,95,+
209554,209585,60,+
209839,209858,49,+
212961,212994,62,-
218711,218732,63,+
218794,218827,64,-
221059,221080,64,+
225778,225812,51,+
230358,230402,52,+
231890,231929,73,-
232671,232696,57,+
232792,232819,60,+
234100,234131,60,-
236417,236437,47,+
239365,239397,49,+
243835,243860,47,-
245126,245145,51,-
245291,245324,48,+
246668,246695,57,-
247309,247350,55,-
248759,248789,51,+
251771,251790,66,+
252260,252292,61,+
253797,253826,61,+
253851,253880,80,+
254256,254278,48,+
256867,256900,58,-
258162,258180,49,+
259352,259377,57,+
267728,267745,69,+
267843,267878,55,+
269655,269676,63,+
271520,271553,56,-
272020,272050,61,+
273439,273469,70,+
274667,274687,48,-
277439,277486,47,-
278746,278767,63,+
278934,278971,57,-
284691,284706,72,+
284787,284819,64,+
284919,284956,61,+
287655,287683,54,-
289155,289191,59,+
290394,290417,60,-
293240,293273,47,+
294219,294241,48,+
294492,294528,48,+
296304,296331,81,+
296753,296770,50,+
302225,302268,50,+
304098,304116,49,+
304648,304679,82,+
308022,308040,49,+
308965,308996,59,+
309263,309291,65,-
310130,310159,66,+
310881,310920,57,-
311638,311666,63,-
322204,322228,48,+
325710,325729,47,+
336236,336261,47,+
336469,336508,85,-
338539,338558,66,-
339970,339995,47,+
341608,341628,47,+
341684,341710,69,+
342788,342811,49,+
348173,348204,51,+
351445,351482,62,+
354086,354125,59,-
355116,355138,48,-
355844,355879,57,-
357000,357017,69,+
357030,357050,92,-
362752,362772,49,+
362995,363017,61,+
364232,364256,48,+
365126,365157,50,+
368508,368530,70,+
368726,368761,55,+
371044,371064,47,+
371773,371807,56,+
373458,373481,59,+
374340,374381,48,+
377158,377176,67,-
379500,379533,91,+
388689,388720,62,-
389302,389318,70,-
390782,390814,78,+
402019,402045,68,+
402406,402422,53,+
406323,406356,62,+
412623,412660,55,-
414434,414454,47,+
419281,419320,55,+
420427,420465,51,+
421558,421591,58,+
422903,422927,59,+
430050,430069,66,-
430437,430463,56,+
433501,433542,49,-
434677,434694,50,-
442291,442311,47,+
445248,445279,65,-
445920,445963,49,-
446558,446599,92,-
449406,449445,57,-
450118,450150,49,+
450205,450232,53,+
450773,450806,75,-
455433,455452,49,-
456342,456373,66,+
456463,456506,52,+
458583,458609,56,-
460702,460744,53,+
460755,460790,105,-
471584,471609,47,+
471938,471968,52,+
475123,475154,67,+
478678,478702,48,+
480972,481010,51,+
481242,481262,48,+
484382,484412,49,+
488103,488139,55,+
492218,492257,55,+
492540,492565,57,+
500499,500538,55,-
505122,505168,48,+
508928,508967,59,-
509036,509055,47,-
509430,509460,62,+
510769,510805,54,-
511606,511639,64,-
512009,512049,58,+
513640,513674,57,+
519160,519196,51,+
519770,519803,75,+
519935,519959,48,+
522903,522938,50,+
526931,526951,64,+
527434,527465,50,+
529182,529205,49,+
531158,531178,47,+
533817,533835,49,-
535648,535679,60,+
537971,537992,51,+
538366,538394,64,-
540462,540494,49,+
540581,540604,50,-
545107,545132,57,+
546015,546049,62,+
548338,548372,50,+
552564,552583,49,+
553659,553677,49,+
555505,555548,48,-
556789,556808,66,-
556848,556872,69,+
556895,556920,68,-
558439,558469,66,-
559334,559359,47,+
559721,559755,64,+
563272,563294,49,+
565243,565270,55,-
565627,565666,98,+
566807,566826,52,+
568543,568587,50,-
570284,570318,51,-
581122,581140,50,+
589827,589851,59,+
608377,608411,59,+
612169,612202,47,-
613586,613619,64,+
614244,614266,61,+
617865,617906,54,-
619815,619846,50,+
623261,623279,49,+
623922,623951,60,+
624103,624136,60,+
624456,624488,50,-
626016,626051,48,-
626950,626986,56,+
627211,627245,51,+
631792,631836,52,+
633323,633362,73,-
635014,635032,50,+
635191,635222,62,+
635469,635500,50,+
635657,635690,56,+
638195,638218,50,-
638394,638416,49,+
640853,640879,56,-
641053,641094,54,+
641253,641273,47,+
645303,645320,52,+
654175,654195,64,+
655002,655039,55,-
655474,655490,52,-
658077,658117,58,-
658198,658229,52,-
660584,660601,50,+
661366,661407,50,-
661804,661844,51,-
667660,667680,47,+
671742,671762,47,+
673296,673314,49,+
673978,674011,56,+
676504,676527,50,+
680979,681008,52,+
685169,685198,66,-
686532,686564,65,-
689645,689671,56,+
689788,689819,50,-
690915,690934,49,+
691066,691101,58,+
692379,692407,65,+
699558,699594,54,+
700404,700433,63,+
704816,704840,59,-
708544,708568,48,+
708569,708599,60,+
711661,711679,49,+
712429,712467,50,+
717857,717876,49,+
718127,718147,47,+
721185,721216,48,+
721527,721547,64,+
725561,725583,51,+
728587,728609,61,+
731974,731991,69,+
734553,734572,47,+
734963,734982,49,+
736098,736129,55,+
736189,736206,52,+
736217,736238,72,-
738944,738978,61,-
739149,739175,60,-
743626,743651,57,+
746453,746493,58,+
750749,750778,64,+
750930,750954,48,-
759644,759670,56,-
769722,769757,48,-
770599,770621,70,+
775358,775389,51,+
777583,777600,50,+
778741,778770,70,+
779665,779690,68,-
781070,781095,47,+
781241,781258,52,-
782399,782418,47,+
786366,786393,55,-
787961,788006,53,+
788310,788336,71,+
797352,797373,51,+
800325,800345,64,+
800932,800955,60,+
802539,802564,47,-
803296,803327,50,-
804942,804971,52,-
811027,811052,56,+
811137,811157,49,+
811479,811508,60,+
815009,815029,51,+
822670,822712,95,+
822786,822808,48,+
824279,824299,48,-
827843,827862,47,+
829074,829110,73,-
835671,835711,55,-
839603,839646,50,+
842815,842835,47,-
848312,848333,48,-
853399,853443,48,-
853474,853502,63,-
861054,861078,48,+
867442,867464,48,+
869297,869339,95,+
871015,871055,53,+
871068,871100,60,+
872088,872121,59,+
873255,873287,63,+
876176,876199,71,-
877004,877024,47,+
877258,877298,70,-
880310,880329,66,+
884859,884882,60,+
886261,886291,67,+
886372,886402,62,+
886694,886715,63,+
888435,888459,48,+
892904,892942,55,+
898724,898745,63,+
898826,898849,50,-
900807,900836,86,+
903733,903775,49,+
913568,913587,47,+
913620,913640,64,+
913964,913996,49,+
916608,916628,49,+
917121,917138,50,+
917300,917325,57,+
918804,918825,51,+
922067,922094,68,+
923848,923885,96,+
927646,927672,56,+
929196,929226,52,+
929512,929550,61,+
933850,933874,58,+
934371,934401,55,+
935537,935556,47,-
937991,938009,50,-
938924,938957,56,+
940813,940836,60,+
941987,942021,56,+
942496,942517,49,+
942638,942657,84,+
942935,942956,72,+
944649,944674,71,-
948527,948550,60,+
949680,949702,61,+
950620,950637,50,+
953039,953059,64,+
953249,953273,48,+
954645,954688,52,+
955927,955947,64,+
957013,957041,58,+
958065,958086,72,+
959633,959649,52,+
964585,964616,51,+
968932,968953,49,+
969470,969517,48,+
969832,969873,52,+
971006,971039,48,+
971103,971122,47,+
971677,971708,49,+
972462,972487,57,+
973953,973981,111,+
978177,978222,50,+
985708,985735,55,+
991080,991097,52,+
994449,994469,47,+
998918,998958,57,+
1000458,1000497,54,+
1007811,1007832,49,+
1009258,1009290,57,+
1009312,1009331,47,+
1016072,1016102,66,+
1018320,1018352,66,+
1019220,1019253,51,+
1024825,1024861,48,-
1026191,1026212,72,-
1026271,1026292,72,+
1026437,1026473,58,-
1030505,1030535,49,+
1032808,1032847,49,+
1034200,1034245,53,+
1034832,1034863,65,+
1035024,1035065,54,-
1038877,1038897,64,-
1039056,1039094,74,+
1041184,1041211,53,+
1041319,1041356,54,-
1041945,1041966,63,+
1044099,1044115,70,+
1044137,1044165,65,-
1050316,1050349,51,+
1052953,1052971,49,-
1055193,1055232,98,+
1055292,1055323,65,+
1056181,1056206,66,+
1056211,1056236,66,+
1056241,1056266,66,+
1057216,1057243,71,+
1057480,1057503,59,+
1059643,1059682,53,+
1060475,1060494,49,+
1061043,1061075,60,+
1061899,1061925,56,+
1062055,1062078,60,+
1062160,1062188,65,+
1065243,1065274,51,+
1068774,1068796,48,+
1070002,1070025,87,-
1070111,1070139,65,+
1072984,1073020,47,+
1074925,1074955,67,+
1075063,1075085,61,+
1076756,1076788,49,+
1095839,1095873,47,+
1096193,1096223,70,+
1098063,1098087,58,+
1099267,1099307,57,+
1099916,1099945,55,-
1104464,1104488,59,+
1104512,1104536,60,+
1105172,1105206,51,+
1105658,1105689,65,+
1109196,1109220,59,+
1110791,1110813,49,+
1110924,1110943,49,+
1114938,1114955,69,+
1119128,1119143,53,+
1120327,1120372,48,+
1122038,1122054,52,-
1125438,1125471,61,+
1127491,1127519,54,+
1130473,1130519,48,+
1131594,1131626,48,+
1133491,1133525,62,+
1136373,1136396,60,-
1144670,1144691,53,+
1144801,1144819,49,+
1145844,1145880,52,-
1145910,1145949,52,-
1147291,1147320,62,+
1147454,1147470,70,+
1148444,1148468,48,+
1148873,1148899,56,+
1148977,1149004,55,+
1151139,1151162,69,+
1152216,1152246,51,+
1161645,1161682,61,+
1166108,1166131,49,+
1168441,1168465,59,-
1172393,1172413,64,-
1180828,1180854,66,+
1183180,1183210,51,-
1183230,1183267,56,+
1184617,1184640,59,+
1185098,1185137,59,+
1185256,1185293,58,-
1188150,1188174,48,+
1188846,1188869,49,+
1189240,1189262,51,+
1190630,1190649,49,+
1195667,1195692,57,+
1196488,1196506,49,+
1199224,1199243,47,+
1200194,1200221,72,+
1200629,1200652,49,+
1201081,1201114,65,-
1203131,1203155,71,+
1205170,1205198,54,+
1210027,1210055,68,+
1210390,1210415,57,+
1214462,1214503,54,+
1216632,1216663,50,+
1219876,1219905,52,+
1221043,1221085,50,+
1221487,1221518,50,+
1221562,1221589,61,+
1222122,1222155,59,-
1222570,1222616,48,+
1223385,1223412,55,+
1226400,1226422,61,+
1226790,1226821,63,+
1227588,1227623,48,+
1233297,1233319,61,+
1233760,1233777,52,+
1237046,1237072,56,+
1238503,1238543,71,+
1242040,1242061,90,+
1245092,1245138,76,-
1248473,1248496,49,-
1250554,1250573,66,+
1251792,1251814,61,+
1252353,1252386,62,+
1254128,1254156,83,-
1254774,1254797,49,+
1254888,1254921,64,-
1259685,1259704,47,-
1259964,1259987,60,+
1263993,1264024,62,+
1268467,1268513,50,+
1271250,1271270,51,+
1276485,1276517,49,+
1277829,1277858,63,+
1278254,1278274,52,-
1280114,1280141,66,+
1280646,1280668,48,+
1280757,1280785,52,+
1281747,1281778,50,+
1287441,1287465,48,+
1288299,1288325,56,+
1293113,1293157,49,-
1293176,1293205,68,+
1293515,1293536,63,+
1297440,1297476,52,-
1300191,1300222,83,+
1306139,1306158,49,+
1306255,1306288,51,-
1307929,1307950,49,+
1309394,1309435,57,+
1312828,1312858,51,+
1313522,1313542,64,-
1313556,1313580,69,+
1315781,1315803,49,+
1315935,1315951,53,+
1316959,1316976,69,+
1317982,1318020,68,+
1318471,1318493,48,-
1324264,1324284,47,+
1326468,1326504,55,+
1326545,1326574,52,+
1329789,1329822,48,+
1336628,1336653,57,+
1337721,1337740,49,+
1344668,1344697,80,+
1346672,1346694,51,+
1346724,1346748,63,-
1349184,1349219,54,-
1353040,1353057,52,+
1364001,1364039,55,-
1368525,1368560,55,-
1369542,1369564,51,+
1370817,1370839,51,+
1371138,1371173,60,+
1375542,1375580,54,-
1375935,1375957,51,+
1378541,1378574,60,+
1380096,1380139,54,+
1383165,1383197,82,+
1383279,1383308,52,-
1384972,1385003,62,+
1386234,1386270,64,-
1387560,1387578,49,+
1388526,1388550,76,-
1391103,1391133,64,+
1391638,1391675,58,+
1397052,1397075,61,+
1401418,1401443,56,-
1402615,1402658,54,-
1403029,1403052,49,+
1409151,1409180,66,+
1409228,1409262,100,+
1409415,1409449,60,+
1413230,1413250,48,+
1415564,1415583,47,-
1416332,1416356,59,-
1422031,1422055,48,+
1422819,1422848,69,+
1424599,1424634,50,+
1430971,1431010,59,+
1434038,1434075,59,+
1440579,1440599,47,+
1441002,1441021,49,+
1441060,1441082,51,+
1442251,1442279,61,+
1442413,1442432,49,+
1443431,1443472,69,-
1444877,1444896,49,+
1447246,1447285,55,+
1452906,1452930,48,+
1463262,1463302,71,+
1463506,1463543,54,+
1464524,1464570,48,-
1468268,1468299,62,-
1474120,1474162,54,+
1476617,1476650,48,-
1478371,1478400,58,+
1479927,1479948,92,+
1482583,1482601,49,+
1482978,1483000,61,+
1483289,1483319,65,+
1487620,1487661,54,+
1492438,1492462,48,+
1496157,1496199,57,+
1497808,1497828,47,+
1498688,1498707,47,-
1498792,1498817,66,+
1499017,1499051,47,+
1501658,1501693,54,+
1504743,1504779,58,+
1505822,1505863,54,+
1507430,1507463,59,-
1514964,1514993,52,+
1515063,1515086,50,+
1519905,1519941,57,-
1523339,1523363,48,-
1523664,1523705,48,-
1524385,1524407,61,-
1525389,1525429,54,+
1529141,1529171,51,+
1529918,1529946,54,-
1546486,1546511,47,+
1547132,1547164,48,+
1553148,1553169,49,+
1553680,1553702,48,-
1554521,1554538,50,+
1557915,1557946,79,+
1560219,1560245,89,-
1561113,1561131,49,-
1562647,1562681,50,-
1563804,1563821,50,+
1567304,1567343,57,-
1573173,1573192,49,+
1575047,1575083,55,+
1576091,1576124,56,+
1578503,1578538,58,+
1586571,1586606,48,-
1588437,1588457,47,+
1593463,1593480,50,-
1598814,1598834,64,+
1599781,1599809,52,+
1602129,1602171,49,-
1602671,1602696,57,-
1602778,1602812,56,-
1604816,1604834,50,-
1611598,1611616,49,+
1612221,1612251,51,+
1612532,1612566,54,+
1616660,1616680,48,+
1618864,1618883,51,+
1620102,1620136,56,-
1621085,1621110,57,+
1622393,1622440,47,+
1622877,1622912,61,+
1623434,1623464,82,+
1625984,1626003,49,+
1626016,1626049,48,+
1627234,1627253,47,-
1627640,1627663,69,+
1629525,1629549,67,+
1630982,1631012,66,+
1638099,1638126,55,-
1640625,1640645,47,+
1641183,1641210,55,+
1643197,1643221,59,+
1643290,1643320,60,-
1651488,1651512,48,-
1653095,1653121,68,+
1653789,1653820,60,-
1654377,1654400,70,+
1656091,1656107,52,+
1657030,1657062,60,-
1659138,1659162,48,+
1661371,1661406,54,+
1662305,1662322,69,+
1662615,1662644,55,+
1663395,1663424,70,+
1672365,1672390,57,+
1672653,1672677,61,+
1673146,1673165,51,+
1678789,1678809,48,-
1681935,1681951,52,+
1687387,1687409,51,+
1688094,1688129,50,-
1699920,1699942,51,+
1705283,1705305,51,+
1707332,1707354,51,+
1708892,1708925,102,+
1709948,1709971,49,+
1714464,1714481,52,+
1714505,1714525,64,-
1715811,1715839,54,+
1723051,1723081,51,-
1723885,1723904,49,+
1724504,1724543,51,+
1726688,1726709,63,+
