start,end,score,strand
2441,2468,55,+
2977,3014,57,+
7172,7198,56,+
7781,7818,58,-
10161,10190,57,-
13443,13463,47,-
14728,14749,49,+
16163,16186,48,+
19164,19189,57,+
21119,21145,56,+
22452,22472,49,+
25044,25086,53,+
33694,33736,55,-
33870,33911,55,-
39152,39184,71,+
42078,42099,63,-
42170,42189,49,+
45530,45560,64,+
46565,46581,52,+
46851,46875,59,+
47742,47764,61,-
48698,48729,52,+
49050,49073,89,+
52497,52520,48,-
54929,54958,55,+
55406,55431,47,-
55560,55580,47,-
70596,70619,48,-
70940,70969,51,+
71167,71197,62,+
71892,71911,49,+
75050,75089,58,+
83615,83639,71,-
85713,85730,50,+
85911,85933,51,-
87612,87634,61,-
88345,88373,54,+
89827,89862,62,+
91349,91376,55,-
91523,91542,66,+
91627,91659,49,-
94775,94805,51,-
94978,95005,68,+
96073,96096,61,+
98962,98992,51,+
100155,100178,61,+
101269,101295,66,-
101513,101532,49,-
102138,102158,47,+
102381,102409,54,+
102830,102853,60,+
103019,103056,54,+
105805,105832,55,+
106184,106229,53,+
106517,106540,60,-
107231,107266,56,-
107447,107470,49,+
111856,111893,58,-
112030,112059,52,+
112460,112491,60,-
113706,113744,69,+
117578,117596,50,-
118398,118431,65,+
118775,118800,86,-
120906,120941,62,-
121386,121428,68,+
122138,122159,63,-
122539,122562,50,+
122656,122685,67,-
122870,122904,48,+
123085,123104,49,-
123131,123175,65,+
123629,123647,49,-
124451,124476,57,-
125401,125443,55,+
125645,125671,56,-
125700,125720,51,+
125757,125788,50,-
128552,128596,52,+
130145,130181,53,+
130236,130266,65,-
130631,130662,64,+
133638,133667,52,+
133843,133860,52,+
133889,133905,53,+
134110,134146,58,-
135317,135346,67,+
136848,136866,49,-
136995,137034,59,+
137280,137315,58,-
138211,138234,69,+
139835,139880,52,-
145369,145396,55,-
148107,148139,60,-
148330,148350,51,+
148527,148562,59,+
149683,149716,47,-
155979,156013,59,+
157017,157053,58,-
157396,157422,56,-
160559,160580,51,-
160861,160892,50,-
162548,162571,49,+
162893,162926,48,+
163635,163665,62,+
166127,166152,57,+
167552,167575,49,+
167856,167874,67,+
167893,167914,51,+
168086,168122,70,+
168474,168505,50,-
169109,169135,56,-
169152,169177,60,+
169212,169247,62,+
169499,169530,67,+
172901,172921,64,+
176332,176367,58,+
176794,176826,57,-
176855,176875,64,-
178453,178486,67,+
179258,179281,60,-
179340,179360,64,-
179364,179408,54,+
180892,180911,47,+
181824,181852,54,+
182264,182293,63,+
182388,182422,47,+
182575,182609,48,+
184083,184112,68,+
185566,185599,51,-
186786,186807,49,-
187093,187118,57,-
187741,187783,52,+
190264,190283,47,+
194620,194650,51,+
202298,202317,47,+
202905,202939,56,+
203505,203543,59,+
203983,204020,59,-
205418,205448,65,+
208516,208535,66,+
209787,209823,62,+
212030,212053,60,-
212435,212460,57,-
214809,214834,57,+
216620,216649,66,+
217665,217689,58,+
218635,218657,51,+
219136,219182,63,+
224314,224349,50,+
225231,225258,55,-
228771,228789,67,+
234182,234218,48,+
234865,234897,64,-
235647,235669,70,-
236050,236074,48,+
236592,236616,59,+
238930,238962,49,-
239244,239273,52,+
240822,240853,50,+
241004,241049,48,-
243985,244015,51,+
244206,244245,53,+
246140,246172,59,+
248952,248997,95,-
249718,249745,71,+
268326,268367,57,+
279578,279608,57,+
279869,279911,55,+
282020,282040,49,+
283293,283316,49,-
285851,285880,65,+
293395,293434,53,+
293671,293689,50,+
297234,297258,48,+
297760,297786,68,+
300141,300165,69,+
301252,301292,55,+
304984,305023,73,+
309451,309500,88,-
312669,312696,69,+
314875,314911,55,-
316824,316844,49,-
317401,317424,48,+
317492,317537,48,-
318019,318053,64,-
319481,319499,49,+
322621,322648,69,+
323089,323109,48,+
323476,323498,49,-
323641,323681,53,+
323893,323935,55,-
324585,324605,64,-
327242,327265,50,-
327523,327554,54,+
328556,328578,62,-
328679,328715,47,-
332181,332202,48,+
332350,332386,61,+
333818,333842,48,+
334683,334710,53,+
339666,339684,67,-
341054,341073,51,-
348200,348220,51,-
348364,348391,57,+
353134,353178,88,-
354820,354864,51,+
355970,355994,69,+
356529,356558,64,+
356730,356755,70,+
359901,359920,49,-
360920,360951,57,-
361875,361898,50,+
368150,368176,56,-
368592,368619,55,-
370650,370672,107,+
371135,371150,53,+
371675,371694,47,+
371829,371847,49,-
371957,371988,65,+
372089,372115,56,+
372945,372972,66,+
373846,373878,49,+
376926,376958,105,+
377885,377908,78,+
378614,378661,49,-
379530,379552,70,+
379585,379605,48,-
379608,379624,52,+
380857,380900,52,+
384889,384916,60,+
385189,385216,83,+
385579,385600,63,-
385841,385888,49,+
387008,387044,55,+
388162,388201,53,+
389270,389298,69,-
389456,389490,63,+
389580,389623,55,+
390184,390208,86,-
390424,390447,48,-
390863,390896,62,-
392078,392110,104,+
392670,392701,59,-
394451,394494,50,+
395930,395958,63,+
406393,406414,48,+
406795,406828,62,-
406864,406895,50,+
409465,409504,58,+
410737,410766,69,+
410986,411015,52,+
411337,411375,55,-
412839,412871,57,+
413393,413442,48,+
413470,413496,56,+
413758,413791,64,+
413821,413855,55,+
416249,416285,108,+
416373,416404,68,+
419151,419197,50,+
419712,419731,47,-
419878,419897,56,+
420008,420045,64,+
420208,420244,61,-
420651,420674,63,+
421223,421247,59,-
424042,424071,86,+
424120,424138,51,+
424747,424773,56,-
426558,426603,47,+
426880,426904,89,+
428225,428265,57,+
428376,428396,48,+
429374,429409,61,-
431600,431619,49,+
433532,433549,52,+
434669,434700,65,+
438297,438332,47,-
438792,438814,61,+
439799,439830,67,+
440090,440120,70,+
440745,440793,47,-
441014,441056,50,-
441384,441419,56,+
441522,441553,64,+
443548,443580,65,+
444382,444408,56,+
444803,444827,48,+
445593,445617,48,+
447482,447504,49,+
447715,447735,47,+
449489,449520,52,+
450576,450608,62,-
451226,451254,54,+
451486,451518,65,+
451603,451637,51,+
451801,451829,54,+
452136,452172,75,+
453600,453620,48,+
455521,455545,69,+
455757,455792,62,-
456085,456103,49,-
456273,456292,47,+
456760,456789,55,+
457194,457231,56,+
457941,457962,49,+
459058,459096,57,-
459135,459162,70,+
459719,459736,50,+
462543,462569,69,+
463344,463373,65,+
464363,464397,55,+
468473,468508,62,+
468559,468575,52,+
477618,477648,65,+
478443,478462,66,+
481641,481657,52,-
484586,484627,57,+
484678,484706,57,+
484800,484823,48,+
484860,484885,58,+
485760,485800,57,+
486890,486917,66,-
486942,486967,56,-
487118,487154,54,-
489992,490019,71,+
490861,490890,58,+
491019,491038,52,+
491055,491087,68,+
491255,491284,80,-
491907,491928,48,-
493361,493390,54,+
495686,495729,48,-
496402,496421,66,-
497287,497316,60,-
501036,501064,61,+
504997,505043,77,+
510254,510277,60,-
511121,511149,66,+
513858,513893,58,+
514906,514926,49,+
515689,515719,68,+
516202,516229,69,-
516780,516809,61,-
517932,517965,51,+
518301,518330,52,+
520110,520140,51,+
522312,522329,50,+
522845,522873,54,+
524436,524469,50,+
527321,527345,76,+
528546,528565,66,-
531763,531781,50,+
535279,535304,84,+
537687,537714,55,+
538019,538038,49,+
538553,538586,52,+
538903,538932,66,+
539640,539670,79,+
543842,543872,57,+
547351,547395,48,-
550077,550121,52,+
553652,553697,49,+
555193,555218,47,+
558905,558929,91,+
560746,560777,67,+
560839,560875,62,+
563184,563219,75,+
564370,564410,58,+
566809,566841,94,+
