start,end,score,strand
31096,31139,49,-
32405,32444,55,+
46173,46199,56,-
60249,60268,49,-
61092,61116,69,-
67442,67470,54,+
72613,72638,47,+
72779,72823,52,+
74427,74462,58,-
81343,81362,66,+
84631,84655,48,+
104805,104824,49,-
107961,107994,48,+
109528,109576,48,-
110247,110272,58,+
112651,112690,52,-
116911,116934,50,+
123221,123259,95,+
139831,139854,48,+
142561,142580,66,+
145527,145555,68,+
147442,147477,52,+
164009,164048,55,+
170632,170666,58,+
188886,188919,64,+
190643,190668,69,+
190963,190987,59,+
191364,191390,56,+
211672,211711,55,+
246019,246043,61,+
257185,257204,47,+
295797,295817,49,+
298231,298270,55,+
314145,314184,51,+
321245,321276,50,+
325970,325993,60,-
333396,333428,48,-
335773,335793,51,+
338218,338250,106,-
343566,343598,59,+
351973,351992,49,+
354450,354496,50,-
357354,357372,85,+
359424,359462,55,-
368078,368099,53,-
372760,372788,54,+
382883,382924,48,+
387036,387067,54,+
391689,391723,58,-
428134,428174,58,+
436478,436494,53,-
440634,440661,69,+
450486,450528,50,-
461921,461961,48,-
464455,464499,123,+
469933,469952,47,-
475142,475164,61,-
475353,475386,63,+
488356,488373,52,+
490134,490169,55,-
494361,494378,69,+
511795,511831,47,+
513154,513187,65,+
523832,523869,58,-
525321,525351,51,-
536831,536869,61,+
538400,538420,47,+
539484,539529,53,-
540475,540494,66,+
541934,541950,53,+
546815,546852,55,+
549385,549415,68,+
551503,551526,60,-
553747,553767,47,+
568221,568238,50,-
568963,568994,59,-
571699,571731,51,-
574831,574870,50,-
575519,575550,62,+
583053,583077,48,-
583229,583248,49,-
585887,585913,56,+
598684,598710,56,+
599820,599842,49,+
602628,602660,65,+
612779,612816,56,+
617583,617608,47,-
619150,619171,51,-
633837,633859,61,+
642650,642697,48,+
652579,652609,62,+
652695,652714,49,+
656570,656598,60,-
659656,659700,48,+
662885,662903,49,+
663592,663622,79,+
668726,668747,51,+
682699,682725,73,+
690921,690940,47,+
696863,696893,65,+
698000,698042,55,+
698464,698483,51,-
699850,699889,54,+
714240,714265,57,+
714299,714318,51,+
740070,740098,71,+
741487,741506,49,+
749296,749339,53,+
749424,749457,57,+
749529,749561,49,+
751833,751854,63,+
759008,759040,49,-
760172,760201,52,-
769523,769544,49,-
775976,775998,49,+
779373,779392,51,+
779976,780009,60,+
788453,788476,50,-
790242,790267,69,+
796983,797002,47,-
809155,809175,48,-
827205,827242,56,+
827739,827772,48,-
845053,845091,59,+
866665,866711,47,+
867540,867571,55,+
873047,873065,49,+
876249,876292,50,-
896465,896489,48,+
897568,897601,65,+
909166,909186,47,-
919131,919148,50,+
920752,920776,59,-
923422,923457,61,+
933659,933688,52,+
951353,951380,55,+
958935,958956,51,+
960556,960591,56,+
968298,968329,59,+
968347,968379,52,+
970681,970705,58,+
977193,977230,59,+
981202,981234,48,+
983156,983179,60,+
986868,986904,48,-
1011252,1011271,47,+
1019794,1019815,63,-
1029396,1029435,55,+
1035746,1035784,53,-
1056669,1056688,52,+
1090037,1090082,63,-
1090981,1091008,69,+
1091378,1091405,53,-
1095292,1095311,47,+
1095718,1095741,60,-
1128053,1128087,50,+
1135264,1135297,48,+
1137105,1137126,48,+
1175216,1175254,50,+
1176620,1176651,60,+
1176689,1176710,62,+
1178282,1178305,49,-
1193042,1193066,59,+
1200527,1200547,64,-
1201688,1201705,69,-
1211824,1211847,50,-
1220153,1220177,58,+
1237812,1237838,64,+
1241560,1241586,55,-
1247400,1247435,58,+
1250500,1250533,51,+
1254520,1254563,50,+
1265025,1265043,49,-
1266402,1266432,55,+
1267051,1267088,51,+
1267990,1268007,50,+
1273863,1273896,47,-
1282597,1282633,58,+
1286944,1286966,49,+
1292650,1292689,57,-
1292923,1292957,54,+
1294826,1294855,52,+
1300209,1300230,51,-
1308261,1308294,48,+
1314957,1314982,57,-
1316627,1316661,56,-
1317176,1317210,76,-
1318705,1318742,58,+
1320287,1320305,51,-
1331226,1331256,55,+
1333615,1333639,76,-
1345115,1345139,71,+
1353648,1353674,55,-
1360079,1360109,51,+
1366388,1366417,52,+
1374923,1374943,64,+
1383039,1383058,47,+
1392408,1392423,53,-
1397747,1397778,48,-
1412344,1412374,51,+
1415689,1415710,51,+
1423414,1423457,55,-
1434457,1434498,53,+
1438434,1438474,71,+
1441571,1441593,61,+
1448891,1448913,48,+
1452441,1452474,58,+
1456862,1456884,61,+
1468987,1469007,48,+
1484464,1484489,57,-
1537020,1537065,50,+
1544077,1544110,52,-
1546493,1546527,60,+
1547133,1547172,54,+
1552255,1552290,54,-
1563585,1563619,107,+
1564989,1565012,60,+
1565117,1565152,48,+
1567380,1567411,67,+
1569915,1569942,72,+
1587230,1587255,58,+
1588090,1588122,48,+
1592964,1593003,57,+
1609705,1609728,60,+
1627355,1627393,55,+
1627977,1628014,50,+
1632502,1632524,61,+
1637442,1637471,52,+
1643523,1643542,49,+
1648020,1648052,49,-
1654425,1654465,55,+
1660431,1660467,55,-
1673554,1673579,47,+
1674342,1674359,52,+
1677285,1677318,65,+
1692174,1692195,48,+
1696917,1696961,54,-
1710859,1710876,50,+
1712649,1712677,54,+
1717182,1717206,48,+
1721199,1721217,50,-
1730279,1730315,53,+
1740944,1740969,57,+
1746039,1746056,50,-
1750016,1750044,54,+
1795814,1795839,58,+
1815841,1815864,60,+
1818874,1818910,73,+
1830896,1830936,68,+
1832547,1832592,48,+
1833872,1833902,62,+
1834886,1834916,51,+
1844433,1844451,67,+
1850623,1850659,71,-
