start,end,score,strand
187131,187169,54,+
225551,225581,51,+
347776,347802,66,+
461437,461469,48,+
663100,663143,47,+
738925,738948,60,-
772675,772713,129,+
811568,811606,50,+
835708,835737,52,+
915085,915125,52,+
982826,982863,57,-
993728,993753,47,+
1058820,1058839,47,-
1098686,1098710,59,+
1207425,1207457,54,+
1218817,1218841,59,+
1295667,1295697,57,+
1295757,1295790,92,+
1334072,1334109,57,+
1413685,1413708,59,-
1418514,1418547,62,-
1657892,1657927,58,-
1770899,1770925,56,+
1856125,1856145,48,-
1976137,1976158,48,-
2138662,2138685,60,-
