start,end,score,strand
2776,2802,91,-
7187,7210,49,+
15634,15661,55,+
17007,17041,59,-
19490,19511,49,+
19676,19713,47,-
22305,22353,48,+
26005,26030,47,+
28197,28217,64,-
36635,36661,56,-
36667,36699,51,-
37065,37096,59,-
38209,38248,59,-
46195,46231,59,+
47896,47915,49,+
47931,47973,52,-
52718,52738,47,+
54790,54817,55,+
61668,61712,54,+
62801,62837,62,+
63117,63136,47,-
67715,67746,48,+
69422,69456,59,+
92469,92494,57,+
95959,95979,47,+
97287,97320,51,-
98665,98684,47,-
111325,111347,48,+
112203,112239,48,+
112400,112443,53,+
117452,117492,49,-
117697,117727,51,+
118626,118648,51,-
121875,121903,54,-
127071,127094,60,+
134130,134155,71,+
137724,137758,62,+
141606,141626,47,-
143648,143670,70,-
144141,144173,65,+
145125,145149,48,+
148432,148461,55,-
152156,152179,60,+
152206,152230,67,-
156355,156394,52,-
165380,165404,59,-
175516,175547,51,+
183031,183058,55,-
184872,184895,48,+
198043,198066,49,-
203224,203251,55,+
204691,204729,55,-
212389,212407,49,+
214213,214252,51,+
214310,214337,55,-
218084,218103,52,+
231677,231698,63,+
237277,237297,47,+
237307,237333,56,+
237462,237484,51,+
237957,237995,57,+
238029,238061,82,+
241099,241119,48,-
245037,245059,49,+
250478,250509,97,-
251093,251116,70,+
251391,251417,68,+
254523,254552,51,+
255375,255422,47,+
255652,255671,56,+
256363,256386,48,+
257546,257582,54,-
260181,260197,70,-
260311,260338,55,+
267085,267120,55,-
267533,267564,50,+
269249,269290,55,+
269676,269692,53,+
270848,270886,51,+
271732,271751,49,+
272370,272393,49,+
273065,273100,73,+
273181,273201,48,+
273659,273684,86,+
279870,279915,47,-
280928,280951,50,+
281680,281702,61,+
287684,287716,51,+
289453,289492,50,+
295538,295565,68,-
299935,299954,49,+
301482,301504,49,+
305473,305510,53,+
320840,320870,51,+
321346,321366,47,+
324013,324052,52,+
325284,325312,71,+
340450,340477,55,+
342666,342696,64,+
343681,343701,52,+
359434,359467,62,+
366272,366289,52,+
367385,367410,47,+
381604,381624,48,+
383299,383322,49,-
383362,383393,48,-
383872,383903,51,+
392315,392345,54,+
392926,392962,47,+
394862,394891,52,+
397307,397334,55,+
398252,398288,58,+
399101,399122,48,+
400710,400752,97,+
403071,403093,61,+
403260,403278,49,+
404720,404753,48,+
405099,405118,51,+
405586,405611,56,+
407759,407782,48,+
418278,418298,64,-
428525,428554,52,-
431164,431198,60,+
431729,431754,47,+
438583,438617,91,+
443075,443097,49,+
445253,445272,49,+
461037,461059,49,+
461685,461713,54,+
462359,462398,55,+
462798,462830,59,+
463102,463136,91,-
466665,466687,49,+
472110,472156,49,+
474788,474814,56,+
476585,476621,55,-
476811,476841,62,+
479971,480016,49,+
480113,480129,52,-
480707,480739,47,+
481466,481496,63,+
481809,481851,54,+
483592,483609,50,+
484182,484209,55,+
484402,484434,65,+
487139,487164,47,+
494728,494760,47,-
498342,498377,50,+
505552,505578,56,-
511881,511923,54,-
512966,512985,47,-
513889,513925,58,+
515740,515759,47,+
516950,516979,62,+
527338,527365,68,+
534081,534119,59,+
537880,537911,50,+
547545,547563,49,+
548971,548990,47,+
549206,549243,59,+
549852,549894,49,+
573911,573933,49,-
580392,580429,54,+
581488,581535,48,+
582427,582455,100,+
589936,589966,62,+
591121,591145,48,+
591788,591808,47,+
593452,593472,64,-
594295,594324,52,+
595982,596002,48,+
601381,601421,49,+
602920,602954,60,+
609451,609477,55,-
613752,613773,48,+
620144,620174,68,+
630016,630051,50,+
645985,646023,70,+
649118,649147,55,+
651100,651132,57,+
651910,651945,55,+
656506,656547,57,+
659330,659359,55,+
660547,660579,52,+
660981,661015,51,+
661421,661468,48,-
675653,675680,55,+
676340,676377,53,+
685178,685213,47,+
688093,688129,55,+
691078,691095,52,+
699324,699361,61,+
702645,702686,50,-
703419,703435,52,+
705135,705159,58,+
706755,706773,49,+
706944,706964,64,+
707284,707307,49,+
707620,707645,47,+
707885,707919,76,+
711710,711730,47,+
713825,713860,61,+
717720,717749,52,+
726029,726063,50,+
737439,737468,52,+
741845,741883,57,+
741920,741956,59,+
742508,742530,49,-
743930,743971,53,+
747933,747959,60,+
759608,759626,67,+
760980,761006,56,+
762569,762594,47,+
765768,765794,56,+
772455,772478,60,+
774572,774605,79,+
775458,775476,50,+
780423,780440,50,-
785796,785825,58,+
790583,790604,63,-
790689,790712,87,+
793017,793039,49,+
794650,794674,69,+
795881,795911,62,+
802787,802826,71,+
802908,802932,48,+
803251,803270,66,+
804069,804102,60,+
804784,804801,52,+
805935,805969,51,+
807000,807033,79,+
818792,818838,50,+
819098,819119,51,+
819288,819318,51,+
824219,824255,59,-
828560,828580,47,-
828954,828982,52,-
829066,829086,64,-
829156,829177,63,+
829582,829604,70,+
831073,831091,49,-
841802,841834,64,-
842027,842058,65,-
842414,842448,79,-
853105,853127,61,+
858164,858193,86,+
858935,858971,89,-
859254,859277,49,+
870445,870469,48,+
874241,874258,50,+
875973,876001,55,-
876915,876936,52,+
876972,876991,51,-
884926,884966,70,+
886031,886050,51,+
898275,898307,64,+
899577,899603,69,+
899620,899643,60,-
900320,900344,59,+
900439,900466,57,-
907681,907704,49,+
910730,910769,51,+
915633,915660,55,-
917087,917114,55,+
918886,918913,65,+
920105,920126,48,+
920485,920504,47,+
920671,920702,60,+
921636,921664,54,+
939705,939725,64,-
939796,939818,70,+
940893,940923,51,-
941079,941116,54,+
946433,946452,47,+
947145,947179,62,+
948467,948487,47,+
948518,948540,48,+
957300,957332,65,-
960401,960433,51,+
964342,964378,75,+
967405,967447,49,+
967479,967502,50,+
969099,969131,62,+
974633,974653,64,+
975903,975919,52,+
975946,975971,69,+
976730,976764,61,+
978111,978146,61,+
978238,978260,49,+
978588,978618,67,+
978739,978759,49,+
979413,979446,51,+
980976,981008,52,+
981804,981824,48,+
985395,985415,47,+
988998,989023,47,-
990641,990661,52,+
990823,990855,47,+
993910,993955,49,+
994081,994106,57,+
996998,997025,55,-
1000714,1000734,47,+
1003832,1003871,59,+
1005280,1005304,48,+
1007741,1007772,67,+
1008583,1008614,50,+
1013422,1013467,53,+
1018321,1018340,49,+
1032030,1032050,64,+
1032075,1032109,74,+
1035991,1036021,51,+
1045888,1045920,49,+
1047321,1047350,52,+
1053905,1053933,54,+
1058126,1058149,48,+
1065807,1065826,49,-
1065938,1065962,59,+
1069489,1069520,52,+
1070231,1070254,87,+
1070985,1071028,55,+
1075300,1075324,48,+
1080754,1080783,61,-
1084639,1084655,52,+
1085503,1085543,53,+
1088013,1088043,51,-
1088932,1088955,60,+
1090475,1090504,52,-
1093489,1093514,57,+
1097937,1097960,61,+
1104418,1104456,51,+
1106102,1106144,53,+
1113365,1113381,52,+
1114188,1114213,57,+
1122837,1122859,70,+
1123588,1123616,60,-
1126091,1126119,54,+
1133428,1133469,49,+
1149961,1149991,79,+
