start,end,score,strand
3119,3151,63,-
14388,14421,51,+
14939,14970,51,+
22221,22240,49,+
33849,33878,52,-
53542,53570,54,-
68395,68419,59,+
72685,72716,54,+
95151,95176,47,+
99063,99087,69,+
100282,100310,54,-
103862,103883,48,+
123803,123822,47,+
134269,134308,54,+
155074,155093,47,+
164902,164926,48,-
174656,174687,50,+
184001,184025,60,+
187669,187688,66,-
188361,188381,110,+
194371,194402,51,+
194795,194833,58,+
206668,206691,50,-
210786,210819,57,+
215684,215706,61,+
224541,224558,50,-
232137,232170,51,-
234243,234286,68,+
236027,236043,52,+
237668,237698,80,+
242716,242736,49,+
260037,260063,57,+
264398,264435,58,+
275969,275998,51,-
295475,295508,63,+
299753,299776,48,+
301992,302017,47,+
311064,311090,56,-
312885,312914,52,+
334950,334972,61,-
339731,339757,60,-
347944,347977,56,-
355316,355333,50,-
381111,381151,50,-
401942,401977,75,-
403029,403062,60,-
409100,409128,52,-
432229,432257,54,-
434082,434111,52,-
436659,436679,51,-
448746,448766,48,-
450508,450528,47,-
468475,468509,59,-
472298,472328,66,-
478918,478942,48,-
496061,496100,97,-
524385,524410,58,-
526498,526539,50,-
526611,526628,69,-
532463,532499,62,-
553909,553932,61,-
563361,563397,56,-
563650,563686,64,-
566541,566563,51,+
579975,580017,48,-
582258,582282,48,+
584220,584267,47,-
591758,591790,49,+
598692,598728,47,-
617758,617784,56,-
623655,623673,52,-
648565,648586,72,-
654799,654834,58,-
655441,655480,53,-
657862,657882,54,-
661906,661935,54,+
665657,665697,55,-
672280,672300,64,-
685470,685493,48,-
689730,689754,48,+
702039,702062,48,-
711571,711607,62,+
728076,728098,48,-
728630,728667,51,-
734685,734722,55,-
736312,736340,69,-
740703,740740,56,-
744999,745031,47,-
763424,763457,62,-
764078,764102,59,-
785843,785878,50,-
810481,810511,51,-
826233,826258,57,+
828721,828749,54,-
832512,832536,48,+
841742,841777,50,-
870061,870081,47,+
871890,871932,57,-
871990,872028,61,-
876067,876088,48,-
883281,883303,61,-
923797,923817,47,+
926545,926562,52,-
951790,951828,68,-
952407,952428,49,-
952709,952730,63,-
960503,960529,64,-
968627,968649,70,+
978151,978171,64,-
978206,978226,64,+
997196,997234,56,-
1008217,1008234,50,-
1014276,1014295,49,-
1047750,1047772,70,-
1047845,1047866,81,+
1056612,1056645,63,-
1060645,1060665,64,-
1067907,1067932,69,-
1070038,1070076,54,-
1080873,1080892,47,-
1082099,1082136,61,-
1082280,1082320,57,+
1111192,1111227,56,+
1115927,1115956,69,-
1144557,1144579,61,-
1144955,1144977,48,+
1150441,1150461,64,+
1150565,1150597,48,-
1164814,1164848,123,-
1175204,1175222,49,-
1194691,1194722,62,-
1204889,1204914,47,+
1209018,1209041,69,-
1209076,1209096,64,+
1216187,1216207,73,-
1217957,1217977,64,+
1218004,1218028,48,-
1232967,1233011,50,-
1237351,1237380,57,-
1240306,1240337,49,-
1278396,1278416,47,-
1297092,1297108,53,-
1300839,1300873,50,-
1301624,1301640,52,-
1307006,1307035,63,-
1308370,1308388,50,-
1320592,1320613,63,+
1339244,1339284,54,+
1350874,1350896,61,+
1355444,1355471,83,-
1359573,1359602,51,-
1367221,1367243,61,-
1375240,1375270,51,+
1376120,1376146,56,-
1376775,1376812,58,-
1381071,1381103,48,-
1395308,1395330,70,-
1395368,1395390,89,+
1395397,1395418,53,-
1396825,1396863,99,-
1412065,1412088,48,-
1418005,1418025,47,+
1433178,1433202,48,-
1437735,1437770,50,+
1438239,1438265,69,-
1446648,1446672,67,-
1451853,1451892,50,+
1459345,1459371,66,-
1465821,1465862,49,-
1473711,1473742,48,-
1475485,1475514,52,-
1475774,1475804,68,-
1488039,1488072,50,-
1501951,1501984,62,+
1525371,1525400,51,-
1525488,1525517,67,-
1527618,1527640,61,-
1534728,1534759,68,-
1535687,1535714,53,-
1539139,1539163,48,-
1570116,1570156,54,-
1586254,1586274,64,+
1589922,1589946,48,-
1607313,1607333,54,+
1614182,1614202,64,+
1617351,1617381,65,-
1617908,1617954,50,-
1625424,1625459,88,-
1643501,1643520,47,-
1647427,1647447,64,-
1647486,1647508,70,+
1652080,1652099,47,+
1669138,1669173,47,-
1673330,1673349,66,-
1686278,1686300,70,-
1688186,1688209,49,+
1700268,1700290,70,-
1722785,1722805,64,-
1738755,1738785,51,+
1739387,1739413,56,+
1750752,1750782,62,-
1752252,1752275,48,+
1754345,1754371,73,-
1760324,1760354,62,-
1781877,1781908,48,-
1787100,1787119,51,+
1791255,1791276,62,-
1808963,1808985,48,-
1811353,1811394,55,-
1812288,1812326,61,-
1815109,1815144,59,+
1815957,1815977,64,-
1816012,1816032,64,+
1822305,1822325,73,-
1836434,1836457,87,-
1847299,1847329,68,-
1847671,1847690,47,-
1848099,1848129,49,-
1853645,1853665,48,-
1855611,1855630,49,-
1856122,1856148,56,+
1858747,1858771,48,-
1861058,1861084,56,-
1869712,1869744,60,-
1899299,1899321,51,-
1925220,1925250,55,-
1925313,1925348,60,-
1933680,1933721,57,-
1951758,1951780,70,-
1951815,1951838,87,-
1959611,1959628,69,-
1976811,1976840,58,-
1978902,1978934,59,+
1986540,1986563,49,-
1994767,1994786,51,+
2007448,2007484,48,-
2013783,2013810,55,+
2042336,2042375,70,-
2064604,2064622,49,-
2066093,2066118,47,-
2082956,2082981,57,-
2083153,2083195,50,-
2115033,2115060,55,+
2118250,2118270,64,-
2120357,2120377,64,-
2120798,2120836,55,-
2125707,2125723,52,-
2133753,2133773,64,-
2133861,2133880,66,-
2135111,2135130,49,-
2138950,2138970,64,-
2147130,2147160,60,+
2152895,2152915,64,-
2154637,2154659,51,-
2154897,2154915,49,-
2160155,2160190,55,-
2160953,2160973,64,-
2161008,2161028,64,+
2164467,2164487,64,-
2167460,2167480,64,+
2169307,2169329,51,-
2170550,2170571,51,-
2181008,2181028,64,+
2181494,2181524,70,-
2201697,2201731,61,+
2208569,2208594,47,-
2210332,2210375,52,-
2218336,2218360,48,-
2228620,2228638,49,-
2228890,2228916,60,-
2251015,2251058,54,-
2254475,2254506,50,-
2259358,2259378,64,-
2260775,2260809,55,-
2282060,2282096,48,-
2308760,2308786,56,-
2327269,2327297,54,+
2358171,2358200,52,+
2362787,2362809,51,+
2370943,2370966,60,-
2373651,2373682,50,-
2379688,2379728,49,-
2395285,2395309,48,-
2396128,2396159,49,+
2421624,2421667,50,+
2423268,2423300,47,-
2423419,2423443,69,-
2431861,2431883,61,-
2433392,2433412,64,+
2435634,2435654,47,-
2449677,2449694,69,-
2457568,2457609,57,-
2461539,2461582,52,-
2465709,2465731,89,-
2465782,2465805,69,+
2489084,2489110,56,+
2506272,2506292,49,+
2526907,2526926,49,-
2527715,2527747,48,+
2554841,2554864,69,-
2554897,2554917,64,+
2567636,2567657,72,+
2570878,2570908,68,+
2574991,2575016,86,+
2575023,2575045,70,-
2585650,2585684,58,+
2587138,2587157,47,+
2591850,2591870,73,+
2591887,2591917,51,-
2597897,2597938,55,+
2600998,2601018,64,-
2605571,2605591,64,-
2611356,2611380,48,+
2621375,2621401,60,-
2627178,2627197,49,+
2636124,2636167,90,+
2640475,2640499,59,+
2644260,2644280,64,-
2648322,2648339,52,+
2654508,2654526,49,+
2655165,2655200,62,-
2659922,2659955,67,-
2661535,2661571,48,-
2668498,2668522,48,+
2683533,2683555,61,+
2687005,2687027,70,-
2688278,2688312,59,+
2693139,2693159,64,-
2695114,2695135,48,-
2696089,2696109,64,-
