start,end,score,strand
4023,4050,53,+
12227,12248,51,-
14628,14660,60,-
15901,15934,48,-
28271,28297,56,+
32510,32531,53,+
35244,35269,57,-
36286,36316,51,+
49347,49369,61,+
54519,54553,62,+
59200,59220,47,-
64019,64043,48,+
66533,66556,49,+
70781,70819,61,-
72516,72537,48,+
74808,74834,56,-
74840,74866,56,-
74872,74898,56,-
80329,80361,70,+
80908,80935,55,+
81078,81102,59,+
81386,81413,53,+
89345,89386,53,+
102382,102414,49,+
106668,106687,49,+
108747,108784,58,-
109012,109042,51,+
116616,116648,60,-
119004,119021,52,+
120967,120992,56,-
121842,121869,55,+
138656,138682,71,+
138784,138812,69,+
142862,142884,49,+
153303,153323,47,+
160779,160811,50,+
169342,169367,47,+
171899,171934,59,+
177425,177449,48,+
180106,180144,55,+
202117,202155,55,-
211507,211531,86,+
219580,219600,47,+
229770,229790,47,-
245568,245594,67,+
270310,270326,70,-
275601,275622,48,+
280840,280861,49,+
287254,287280,67,+
307855,307886,59,-
316876,316905,67,+
333559,333585,56,-
338124,338143,51,+
339008,339036,65,+
346151,346184,52,+
367898,367928,51,+
368710,368740,63,+
383314,383345,50,-
390995,391028,61,+
394400,394430,51,-
396716,396751,55,-
400372,400391,52,+
402738,402771,48,-
418525,418559,62,+
418738,418765,55,+
419388,419425,56,+
442960,442993,55,+
444042,444064,61,+
457384,457418,60,+
464017,464059,111,-
467381,467402,49,-
468313,468343,51,+
473290,473312,49,-
479186,479221,74,-
487949,487967,49,+
493949,493977,58,+
495436,495450,73,+
504547,504586,69,+
506239,506258,49,-
510960,510991,65,+
513002,513041,53,+
520403,520438,54,+
526191,526209,67,+
528235,528265,62,-
545401,545437,48,+
549377,549410,48,+
550861,550886,57,+
550961,550999,54,+
551227,551263,59,+
557705,557730,47,-
560796,560823,66,+
565157,565174,52,+
570189,570218,57,+
579497,579538,53,+
580174,580195,52,+
593147,593172,58,+
614051,614070,66,+
623792,623834,53,+
633595,633617,61,+
635826,635852,60,+
642096,642129,78,+
646860,646879,49,+
648281,648311,68,+
648597,648618,48,+
676144,676180,47,+
679699,679721,51,+
687034,687052,49,+
702528,702563,47,+
709308,709338,51,+
710842,710882,53,-
719009,719048,53,-
734359,734388,52,+
735303,735337,62,-
738821,738854,47,+
749355,749379,48,+
784955,784974,66,+
787067,787091,48,+
787520,787553,52,+
787573,787593,49,+
788447,788486,58,+
806749,806791,50,+
809589,809608,66,-
818302,818336,56,+
820875,820900,47,+
825534,825559,47,+
825716,825741,57,+
831043,831066,48,-
835744,835776,54,-
840506,840538,50,+
843020,843052,48,+
843757,843791,64,+
850112,850138,60,-
866705,866735,62,+
869218,869247,52,+
869578,869596,67,+
872368,872395,55,+
872405,872432,55,+
876936,876956,48,+
877298,877325,55,+
