# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	347	423	+						45813890	BH714_RS00010	77		old_locus_tag=BH714_00010
tRNA		GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	347	423	+				tRNA-Ile		45813890	BH714_RS00010	77		anticodon=GAT
gene	tRNA	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	462	537	+						45813891	BH714_RS00015	76		old_locus_tag=BH714_00015
tRNA		GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	462	537	+				tRNA-Ala		45813891	BH714_RS00015	76		anticodon=TGC
gene	rRNA	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	718	3624	+						45813892	BH714_RS00020	2907		old_locus_tag=BH714_00020
rRNA		GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	718	3624	+				23S ribosomal RNA		45813892	BH714_RS00020	2907		
gene	rRNA	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	3688	3803	+					rrf	45813893	BH714_RS00025	116		old_locus_tag=BH714_00025
rRNA		GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	3688	3803	+				5S ribosomal RNA	rrf	45813893	BH714_RS00025	116		
gene	tRNA	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	3859	3935	+						45813894	BH714_RS00030	77		old_locus_tag=BH714_00030
tRNA		GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	3859	3935	+				tRNA-Asp		45813894	BH714_RS00030	77		anticodon=GTC
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	4098	4901	+					dkgB	45813895	BH714_RS00035	804		old_locus_tag=BH714_00035
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	4098	4901	+	WP_032679648.1	WP_032679648.1		2,5-didehydrogluconate reductase DkgB	dkgB	45813895	BH714_RS00035	804	267	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	4933	5838	-					yafC	45813896	BH714_RS00040	906		old_locus_tag=BH714_00040
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	4933	5838	-	WP_040016721.1	WP_040016721.1		DNA-binding transcriptional regulator YafC	yafC	45813896	BH714_RS00040	906	301	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	5943	7118	+						45813897	BH714_RS00045	1176		old_locus_tag=BH714_00045
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	5943	7118	+	WP_040016722.1	WP_040016722.1		MFS transporter		45813897	BH714_RS00045	1176	391	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	7255	8055	+						45813898	BH714_RS00050	801		old_locus_tag=BH714_00050
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	7255	8055	+	WP_025205128.1	WP_025205128.1		endonuclease/exonuclease/phosphatase family protein		45813898	BH714_RS00050	801	266	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	8130	8903	+						45813899	BH714_RS00055	774		old_locus_tag=BH714_00055
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	8130	8903	+	WP_025205127.1	WP_025205127.1		class I SAM-dependent methyltransferase		45813899	BH714_RS00055	774	257	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	8956	10320	-					mltD	45813900	BH714_RS00060	1365		old_locus_tag=BH714_00060
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	8956	10320	-	WP_014168738.1	WP_014168738.1		murein transglycosylase D	mltD	45813900	BH714_RS00060	1365	454	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	10389	11147	-					gloB	45813901	BH714_RS00065	759		old_locus_tag=BH714_00065
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	10389	11147	-	WP_040016724.1	WP_040016724.1		hydroxyacylglutathione hydrolase	gloB	45813901	BH714_RS00065	759	252	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	11180	11896	+						45813902	BH714_RS00070	717		old_locus_tag=BH714_00070
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	11180	11896	+	WP_032681618.1	WP_032681618.1		class I SAM-dependent methyltransferase		45813902	BH714_RS00070	717	238	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	11897	12397	-					rnhA	45813903	BH714_RS00075	501		old_locus_tag=BH714_00075
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	11897	12397	-	WP_226778004.1	WP_226778004.1		ribonuclease HI	rnhA	45813903	BH714_RS00075	501	166	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	12429	13160	+					dnaQ	45813904	BH714_RS00080	732		old_locus_tag=BH714_00080
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	12429	13160	+	WP_032677465.1	WP_032677465.1		DNA polymerase III subunit epsilon	dnaQ	45813904	BH714_RS00080	732	243	
gene	tRNA	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	13293	13369	+						45813905	BH714_RS00085	77		old_locus_tag=BH714_00085
tRNA		GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	13293	13369	+				tRNA-Asp		45813905	BH714_RS00085	77		anticodon=GTC
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	13407	14339	-						45813906	BH714_RS00090	933		old_locus_tag=BH714_00090
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	13407	14339	-	WP_040016725.1	WP_040016725.1		DMT family transporter		45813906	BH714_RS00090	933	310	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	14441	15349	+						45813907	BH714_RS00095	909		old_locus_tag=BH714_00095
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	14441	15349	+	WP_040016726.1	WP_040016726.1		LysR family transcriptional regulator		45813907	BH714_RS00095	909	302	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	15501	17447	+						45813908	BH714_RS00100	1947		old_locus_tag=BH714_00100
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	15501	17447	+	WP_072040308.1	WP_072040308.1		TonB-dependent copper receptor		45813908	BH714_RS00100	1947	648	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	17526	18212	-						45813909	BH714_RS00105	687		old_locus_tag=BH714_00105
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	17526	18212	-	WP_040016728.1	WP_040016728.1		response regulator transcription factor		45813909	BH714_RS00105	687	228	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	18297	21629	-						45813910	BH714_RS00110	3333		old_locus_tag=BH714_00110
CDS	with_protein	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	18297	21629	-	WP_040016729.1	WP_040016729.1		ATP-binding protein		45813910	BH714_RS00110	3333	1110	
gene	protein_coding	GCF_001750725.1	Primary Assembly	chromosome		NZ_CP017279.1	21632	22228	-						45813911	BH714_RS00115	597		old_locus_tag=BH714_00115
