start,end,score,strand
14683,14706,60,+
15326,15344,49,+
19458,19491,56,+
23970,24002,60,+
30334,30379,47,+
33742,33767,57,+
36470,36494,61,+
51136,51159,60,+
58411,58428,52,+
83035,83062,55,+
90877,90899,49,-
97195,97233,53,+
156213,156249,55,+
159964,159986,48,+
198520,198540,47,+
208958,208990,49,-
210781,210813,67,+
238551,238574,60,+
248756,248788,62,+
259682,259701,66,-
310260,310278,49,+
331518,331560,69,+
333786,333811,71,+
344033,344058,57,-
374826,374843,50,-
377204,377249,65,+
379035,379065,51,-
398281,398313,57,-
399785,399806,51,-
424296,424319,60,-
425906,425936,55,-
431212,431229,52,+
439353,439394,69,-
445632,445667,62,+
481808,481827,47,+
522436,522454,67,+
548595,548631,57,+
563136,563167,63,+
569627,569645,49,-
591175,591213,55,+
593858,593888,49,+
594598,594638,54,+
595549,595593,48,+
598041,598070,52,+
598252,598272,64,+
601555,601601,108,+
683715,683749,47,+
693025,693050,57,+
696541,696566,47,+
705049,705085,57,+
724507,724536,52,-
731860,731895,59,-
732143,732180,55,-
734275,734295,47,-
757035,757080,50,-
777311,777333,49,-
785277,785301,59,-
794912,794931,49,-
799877,799907,65,-
819469,819499,60,-
829145,829167,49,-
840009,840045,61,-
849443,849482,52,-
862557,862577,48,+
875088,875119,49,-
875261,875295,62,-
879190,879230,51,-
901372,901406,56,-
929274,929298,48,-
942761,942781,54,-
999179,999206,53,-
1002111,1002133,51,-
1005509,1005537,61,-
1034706,1034731,57,+
1038279,1038304,56,-
1067471,1067508,54,-
1078616,1078647,71,-
1079259,1079283,48,-
1081314,1081348,58,-
1117970,1117989,47,-
1120682,1120721,70,+
1124740,1124787,50,-
1147275,1147294,49,-
1156085,1156121,61,-
1169789,1169821,51,-
1210768,1210808,54,-
1225526,1225542,52,-
1238842,1238865,49,-
1253424,1253459,48,+
1254131,1254172,50,-
1259531,1259577,50,-
1276225,1276249,71,-
1284999,1285042,54,+
1285976,1285995,47,-
1294603,1294625,48,-
1298866,1298906,52,-
1302099,1302126,72,-
1331065,1331086,48,-
1358765,1358794,52,-
1361675,1361715,54,+
1440811,1440837,68,-
1461375,1461413,51,-
1486620,1486651,57,-
1494934,1494967,48,-
1511676,1511695,49,-
1531287,1531320,48,-
1531361,1531394,65,-
1540624,1540659,59,-
1541817,1541837,47,-
1550123,1550146,50,-
1565540,1565567,65,-
1567127,1567152,58,-
1585779,1585807,54,-
1591445,1591462,50,+
1602844,1602863,47,-
1625032,1625075,48,+
1627533,1627549,52,-
1628841,1628868,55,+
1645075,1645104,52,-
1652878,1652919,55,-
