start,end,score,strand
1174,1201,55,+
2302,2318,70,-
3362,3390,63,+
3445,3483,53,-
8862,8896,91,-
9060,9080,48,-
9214,9239,47,-
10262,10279,50,-
12834,12862,61,-
14262,14293,67,-
16723,16767,52,-
18961,18985,59,-
20964,20993,52,-
22271,22313,52,-
22351,22377,56,-
23646,23680,76,+
23801,23839,58,+
25046,25074,53,-
26111,26156,50,-
26963,27001,55,+
27865,27892,67,-
38201,38220,47,-
54859,54903,80,+
55453,55484,65,+
59766,59800,61,+
61261,61279,50,+
61293,61309,70,-
64772,64821,85,+
67331,67351,47,-
67705,67724,49,+
70190,70225,54,-
74419,74443,48,+
78789,78820,65,-
78887,78928,58,-
82003,82029,56,+
82139,82169,67,-
82392,82415,60,-
88285,88319,60,-
88465,88503,53,+
88909,88931,51,+
88973,89002,52,-
93663,93689,55,-
96203,96236,64,-
97290,97310,48,-
108491,108512,48,-
108640,108660,49,-
112559,112608,48,+
113349,113379,60,+
115205,115233,57,-
115925,115941,52,-
119875,119915,71,-
120436,120460,88,-
127790,127815,47,-
128396,128413,50,-
131298,131335,91,+
135858,135883,91,-
141847,141865,49,+
144639,144666,68,-
145456,145486,49,+
146193,146216,50,+
146367,146403,65,-
146688,146717,52,+
148430,148450,64,-
149899,149931,48,-
152002,152044,53,+
152374,152414,55,-
153709,153757,47,-
154581,154629,47,-
156272,156290,49,+
158142,158179,54,-
167297,167316,49,-
176024,176048,48,-
187340,187367,60,+
187441,187464,60,+
189303,189318,72,-
191876,191914,56,+
198365,198401,58,-
198478,198520,57,-
198541,198568,69,-
198866,198891,57,-
199729,199757,58,-
200708,200742,64,-
204577,204605,63,-
204638,204671,58,+
205003,205027,60,+
208733,208771,57,+
211485,211524,54,+
213188,213211,50,+
213221,213241,47,-
214328,214361,64,-
214373,214402,51,-
214529,214559,60,-
217045,217077,65,+
217105,217126,48,+
217322,217341,49,-
218612,218649,54,+
220323,220356,58,-
223082,223107,56,-
229298,229331,62,+
231000,231036,47,+
233669,233698,124,-
237696,237716,64,-
242393,242418,84,+
242619,242650,76,-
247854,247869,53,-
251071,251091,47,-
252177,252218,49,-
254261,254288,68,+
254460,254500,55,+
255544,255560,52,-
257892,257915,49,-
259870,259889,47,+
263308,263330,51,+
264433,264455,48,+
268518,268551,51,-
275959,275979,52,-
277006,277048,50,-
278546,278578,52,-
280775,280800,57,-
284596,284622,58,-
287985,288007,49,-
288267,288301,68,-
290078,290094,70,-
291715,291740,66,-
291758,291779,48,-
296422,296445,61,-
303219,303240,63,+
309172,309205,75,-
312192,312225,60,+
316606,316626,64,+
321129,321161,60,-
321458,321495,64,+
322718,322759,50,-
323407,323439,59,-
326407,326433,68,+
326622,326656,67,-
328686,328702,52,-
328706,328726,48,+
328753,328780,65,-
333139,333171,49,-
337847,337880,119,+
337895,337913,57,+
339730,339772,53,-
344940,344959,66,+
344987,345019,63,+
347985,348007,61,-
351223,351246,87,-
351657,351689,48,+
353600,353621,48,+
359696,359728,75,+
359811,359833,61,-
359862,359890,54,-
360203,360247,48,-
365380,365399,47,-
367613,367641,68,+
368455,368490,50,+
370500,370530,64,+
370970,370993,48,-
373472,373501,63,+
377355,377378,71,-
377759,377775,52,+
386312,386335,49,-
391273,391300,55,-
394888,394910,61,-
395465,395499,65,+
399385,399412,89,-
399864,399892,54,-
401516,401542,56,-
406344,406368,59,-
407286,407305,51,-
410914,410946,60,-
412034,412058,64,-
412123,412148,57,-
416700,416735,74,+
417285,417313,54,+
420898,420919,49,-
420985,421007,61,-
421135,421155,64,-
421767,421792,68,-
425319,425340,63,-
429057,429090,62,+
430836,430867,79,+
430944,430990,50,+
431032,431055,106,-
440447,440486,55,-
441558,441580,48,+
444726,444750,59,-
450795,450819,67,+
456940,456980,59,+
456993,457027,51,-
464199,464227,54,+
468173,468200,100,+
471177,471194,52,-
471217,471241,48,-
471448,471470,51,-
479048,479067,52,+
481855,481878,48,-
483284,483326,49,+
485348,485382,79,-
485813,485846,60,-
489968,489990,61,+
493825,493855,49,-
493918,493946,71,-
494016,494043,55,+
504067,504096,52,-
509627,509650,60,-
514642,514665,60,-
518188,518215,53,+
518652,518694,50,+
520769,520794,57,+
525483,525507,59,+
528068,528097,69,-
530520,530557,55,+
531431,531455,48,-
539488,539518,63,-
540630,540654,48,-
540861,540890,52,+
541461,541499,58,-
544882,544913,60,-
546618,546636,49,-
546695,546714,66,-
549273,549291,49,+
550161,550205,50,-
550767,550801,51,-
559657,559688,61,+
561588,561614,72,+
562213,562240,68,+
563366,563386,49,-
564366,564386,64,-
564403,564425,63,-
566669,566708,55,-
567017,567062,48,-
567649,567669,48,-
567674,567703,68,-
569571,569604,50,+
569684,569710,56,-
571863,571900,100,-
571927,571954,81,-
574679,574718,73,+
574741,574770,52,-
574782,574810,80,-
579333,579353,51,+
579940,579958,67,-
583021,583042,63,-
587056,587085,52,+
589035,589057,61,-
590103,590132,68,-
590352,590373,48,-
591548,591583,62,+
592617,592641,76,-
592742,592769,57,+
592961,592999,98,-
595193,595211,67,-
596828,596846,49,-
598021,598050,67,+
600263,600305,52,-
602397,602417,51,-
605619,605646,65,+
606604,606636,66,-
610094,610122,53,+
611250,611287,100,-
611898,611927,66,+
614092,614116,48,+
615987,616013,55,+
622762,622791,52,+
626609,626639,51,-
628667,628698,50,-
640210,640237,69,-
642089,642121,79,+
642186,642208,61,+
642237,642266,83,-
643223,643266,67,-
645744,645777,67,-
649652,649691,53,-
650550,650573,60,-
652427,652456,63,-
652871,652891,64,-
655998,656041,54,+
656130,656154,59,-
660189,660210,63,-
661205,661224,66,-
666289,666321,62,-
667650,667669,47,-
680664,680685,63,+
685521,685550,82,+
686419,686452,58,-
688030,688067,47,-
696035,696056,49,-
696212,696248,61,-
696840,696866,72,+
696914,696946,52,-
699485,699508,48,+
699554,699569,72,-
699585,699627,54,-
710965,710986,63,-
712295,712334,49,+
712400,712424,67,+
715008,715041,61,+
717715,717752,57,+
723245,723268,49,-
734597,734625,60,+
737238,737272,56,-
739714,739751,57,-
739862,739883,52,-
