start,end,score,strand
329882,329923,51,-
412284,412310,165,+
438822,438848,56,-
461300,461345,47,-
464107,464145,50,-
489547,489588,50,-
536343,536380,57,-
548033,548075,53,-
567494,567531,51,-
609377,609402,47,-
689496,689528,47,+
794044,794085,50,+
965942,965961,49,+
973168,973200,63,+
987995,988040,49,-
988768,988795,53,+
1074076,1074096,47,+
1074403,1074428,57,+
1084697,1084726,51,+
1098958,1098981,60,+
1129585,1129623,54,+
1141593,1141623,59,+
1219592,1219608,52,+
1239328,1239348,48,-
1321343,1321370,53,+
1323407,1323452,50,+
1357944,1357982,53,+
1375552,1375575,50,-
1560808,1560841,59,-
1598682,1598702,51,-
1750798,1750828,54,+
1751016,1751048,76,+
1785251,1785271,48,-
1824927,1824951,59,-
1908685,1908717,49,-
1954994,1955019,57,+
2026381,2026412,50,-
2075240,2075259,49,-
2130561,2130602,50,-
