# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	462	905	-					mioC		EBC_RS01350	444		old_locus_tag=EbC_00010
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	462	905	-	WP_013200041.1	WP_013200041.1		FMN-binding protein MioC	mioC		EBC_RS01350	444	147	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	1118	1579	-					asnC		EBC_RS01355	462		old_locus_tag=EbC_00020
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	1118	1579	-	WP_013200042.1	WP_013200042.1		transcriptional regulator AsnC	asnC		EBC_RS01355	462	153	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	1699	3843	-					ovoA		EBC_RS01360	2145		old_locus_tag=EbC_00030
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	1699	3843	-	WP_013200043.1	WP_013200043.1		5-histidylcysteine sulfoxide synthase	ovoA		EBC_RS01360	2145	714	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	3927	5387	-					viaA		EBC_RS01365	1461		old_locus_tag=EbC_00040
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	3927	5387	-	WP_013200044.1	WP_013200044.1		ATPase RavA stimulator ViaA	viaA		EBC_RS01365	1461	486	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	5384	6880	-					ravA		EBC_RS01370	1497		old_locus_tag=EbC_00050
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	5384	6880	-	WP_013200045.1	WP_013200045.1		ATPase RavA	ravA		EBC_RS01370	1497	498	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	7138	9006	+					kup		EBC_RS01375	1869		old_locus_tag=EbC_00060
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	7138	9006	+	WP_013200046.1	WP_013200046.1		low affinity potassium transporter Kup	kup		EBC_RS01375	1869	622	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	9065	10411	-					qseC		EBC_RS01380	1347		old_locus_tag=EbC_00070
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	9065	10411	-	WP_013200047.1	WP_013200047.1		two-component system sensor histidine kinase QseC	qseC		EBC_RS01380	1347	448	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	10408	11070	-							EBC_RS01385	663		old_locus_tag=EbC_00080
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	10408	11070	-	WP_013200048.1	WP_013200048.1		response regulator			EBC_RS01385	663	220	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	11291	11689	+							EBC_RS01390	399		old_locus_tag=EbC_00090
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	11291	11689	+	WP_013200049.1	WP_013200049.1		YgiW/YdeI family stress tolerance OB fold protein			EBC_RS01390	399	132	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	11729	13081	-							EBC_RS01395	1353		old_locus_tag=EbC_00100
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	11729	13081	-	WP_013200050.1	WP_013200050.1		8-oxoguanine deaminase			EBC_RS01395	1353	450	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	13169	14542	-							EBC_RS01400	1374		old_locus_tag=EbC_00110
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	13169	14542	-	WP_013200051.1	WP_013200051.1		purine permease			EBC_RS01400	1374	457	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	14742	15638	-							EBC_RS01405	897		old_locus_tag=EbC_00120
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	14742	15638	-	WP_013200052.1	WP_013200052.1		LysR family transcriptional regulator			EBC_RS01405	897	298	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	15742	16524	+					budA		EBC_RS01410	783		old_locus_tag=EbC_00130
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	15742	16524	+	WP_013200053.1	WP_013200053.1		acetolactate decarboxylase	budA		EBC_RS01410	783	260	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	16543	18222	+					alsS		EBC_RS01415	1680		old_locus_tag=EbC_00140
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	16543	18222	+	WP_013200054.1	WP_013200054.1		acetolactate synthase AlsS	alsS		EBC_RS01415	1680	559	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	18374	18793	+					rbsD		EBC_RS01420	420		old_locus_tag=EbC_00150
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	18374	18793	+	WP_013200055.1	WP_013200055.1		D-ribose pyranase	rbsD		EBC_RS01420	420	139	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	18801	20312	+					rbsA		EBC_RS01425	1512		old_locus_tag=EbC_00160
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	18801	20312	+	WP_013200056.1	WP_013200056.1		ribose ABC transporter ATP-binding protein RbsA	rbsA		EBC_RS01425	1512	503	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	20309	21277	+					rbsC		EBC_RS01430	969		old_locus_tag=EbC_00170
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	20309	21277	+	WP_013200057.1	WP_013200057.1		ribose ABC transporter permease	rbsC		EBC_RS01430	969	322	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	21300	22178	+					rbsB		EBC_RS01435	879		old_locus_tag=EbC_00180
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	21300	22178	+	WP_013200058.1	WP_013200058.1		ribose ABC transporter substrate-binding protein RbsB	rbsB		EBC_RS01435	879	292	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	22236	23165	+					rbsK		EBC_RS01440	930		old_locus_tag=EbC_00190
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	22236	23165	+	WP_013200059.1	WP_013200059.1		ribokinase	rbsK		EBC_RS01440	930	309	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	23169	24170	+					rbsR		EBC_RS01445	1002		old_locus_tag=EbC_00200
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	23169	24170	+	WP_013200060.1	WP_013200060.1		ribose operon transcriptional repressor RbsR	rbsR		EBC_RS01445	1002	333	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	24167	25570	-					mdtD		EBC_RS01450	1404		old_locus_tag=EbC_00210
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	24167	25570	-	WP_013200061.1	WP_013200061.1		multidrug transporter subunit MdtD	mdtD		EBC_RS01450	1404	467	
gene	rRNA	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	26118	27658	+							EBC_RS01455	1541		old_locus_tag=EbC_08400_tr01
rRNA		GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	26118	27658	+				16S ribosomal RNA			EBC_RS01455	1541		
gene	tRNA	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	27732	27807	+							EBC_RS01460	76		old_locus_tag=EbC_08400_tt01
tRNA		GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	27732	27807	+				tRNA-Glu			EBC_RS01460	76		anticodon=TTC
gene	rRNA	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	28037	30943	+							EBC_RS01465	2907		old_locus_tag=EbC_08400_tr02
rRNA		GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	28037	30943	+				23S ribosomal RNA			EBC_RS01465	2907		
gene	rRNA	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	31051	31166	+					rrf		EBC_RS01470	116		old_locus_tag=EbC_08400_tr03
rRNA		GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	31051	31166	+				5S ribosomal RNA	rrf		EBC_RS01470	116		
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	31359	31886	-					mobA		EBC_RS01475	528		old_locus_tag=EbC_00220
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	31359	31886	-	WP_013200062.1	WP_013200062.1		molybdenum cofactor guanylyltransferase MobA	mobA		EBC_RS01475	528	175	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	32037	32306	+							EBC_RS01480	270		old_locus_tag=EbC_00230
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	32037	32306	+	WP_013200063.1	WP_013200063.1		YihD family protein			EBC_RS01480	270	89	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	32381	33367	+							EBC_RS01485	987		old_locus_tag=EbC_00240
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	32381	33367	+	WP_013200064.1	WP_013200064.1		serine/threonine protein kinase			EBC_RS01485	987	328	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	33421	34050	+					dsbA		EBC_RS01490	630		old_locus_tag=EbC_00250
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	33421	34050	+	WP_013200065.1	WP_013200065.1		thiol:disulfide interchange protein DsbA	dsbA		EBC_RS01490	630	209	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	34472	37258	+					polA		EBC_RS01495	2787		old_locus_tag=EbC_00260
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	34472	37258	+	WP_013200066.1	WP_013200066.1		DNA polymerase I	polA		EBC_RS01495	2787	928	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	37675	38319	-					yihA		EBC_RS01500	645		old_locus_tag=EbC_00270
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	37675	38319	-	WP_013200067.1	WP_013200067.1		ribosome biogenesis GTP-binding protein YihA/YsxC	yihA		EBC_RS01500	645	214	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	38877	39410	+					yihI		EBC_RS01505	534		old_locus_tag=EbC_00280
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	38877	39410	+	WP_013200068.1	WP_013200068.1		Der GTPase-activating protein YihI	yihI		EBC_RS01505	534	177	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	39675	41033	+					hemN		EBC_RS01510	1359		old_locus_tag=EbC_00290
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	39675	41033	+	WP_041692170.1	WP_041692170.1		oxygen-independent coproporphyrinogen III oxidase	hemN		EBC_RS01510	1359	452	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	41106	42515	-					glnG		EBC_RS01515	1410		old_locus_tag=EbC_00300
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	41106	42515	-	WP_013200070.1	WP_013200070.1		nitrogen regulation protein NR(I)	glnG		EBC_RS01515	1410	469	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	42523	43572	-					glnL		EBC_RS01520	1050		old_locus_tag=EbC_00310
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	42523	43572	-	WP_013200071.1	WP_013200071.1		nitrogen regulation protein NR(II)	glnL		EBC_RS01520	1050	349	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	43713	45122	-					glnA		EBC_RS01525	1410		old_locus_tag=EbC_00320
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	43713	45122	-	WP_013200072.1	WP_013200072.1		glutamate--ammonia ligase	glnA		EBC_RS01525	1410	469	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	45556	47379	+					typA		EBC_RS01530	1824		old_locus_tag=EbC_00330
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	45556	47379	+	WP_013200073.1	WP_013200073.1		ribosome-dependent GTPase TypA	typA		EBC_RS01530	1824	607	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	47514	48110	+					yihX		EBC_RS01535	597		old_locus_tag=EbC_00340
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	47514	48110	+	WP_013200074.1	WP_013200074.1		glucose-1-phosphatase	yihX		EBC_RS01535	597	198	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	48111	48983	+							EBC_RS01540	873		old_locus_tag=EbC_00350
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	48111	48983	+	WP_013200075.1	WP_013200075.1		virulence factor BrkB family protein			EBC_RS01540	873	290	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	48980	49417	+					dtd		EBC_RS01545	438		old_locus_tag=EbC_00360
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	48980	49417	+	WP_013200076.1	WP_013200076.1		D-aminoacyl-tRNA deacylase	dtd		EBC_RS01545	438	145	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	49474	50412	+					fabY		EBC_RS01550	939		old_locus_tag=EbC_00370
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	49474	50412	+	WP_041691835.1	WP_041691835.1		fatty acid biosynthesis protein FabY	fabY		EBC_RS01550	939	312	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	50429	51307	-					rluF		EBC_RS01555	879		old_locus_tag=EbC_00380
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	50429	51307	-	WP_013200078.1	WP_013200078.1		23S rRNA pseudouridine(2604) synthase RluF	rluF		EBC_RS01555	879	292	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	51346	53028	-							EBC_RS01560	1683		old_locus_tag=EbC_00390
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	51346	53028	-	WP_041691836.1	WP_041691836.1		AsmA family protein			EBC_RS01560	1683	560	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	53157	54545	-							EBC_RS01565	1389		old_locus_tag=EbC_00400
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	53157	54545	-	WP_013200080.1	WP_013200080.1		uracil-xanthine permease family protein			EBC_RS01565	1389	462	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	54706	55368	+							EBC_RS01570	663		old_locus_tag=EbC_00410
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	54706	55368	+	WP_013200081.1	WP_013200081.1		SDR family oxidoreductase			EBC_RS01570	663	220	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	55375	57456	-					recG		EBC_RS01575	2082		old_locus_tag=EbC_00420
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	55375	57456	-	WP_013200082.1	WP_013200082.1		ATP-dependent DNA helicase RecG	recG		EBC_RS01575	2082	693	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	57453	58151	-					trmH		EBC_RS01580	699		old_locus_tag=EbC_00430
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	57453	58151	-	WP_013200083.1	WP_013200083.1		tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	trmH		EBC_RS01580	699	232	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	58155	60278	-					spoT		EBC_RS01585	2124		old_locus_tag=EbC_00440
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	58155	60278	-	WP_013200084.1	WP_013200084.1		bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	spoT		EBC_RS01585	2124	707	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	60300	60575	-					rpoZ		EBC_RS01590	276		old_locus_tag=EbC_00450
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	60300	60575	-	WP_004154766.1	WP_004154766.1		DNA-directed RNA polymerase subunit omega	rpoZ		EBC_RS01590	276	91	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	60629	61252	-					gmk		EBC_RS01595	624		old_locus_tag=EbC_00460
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	60629	61252	-	WP_013200085.1	WP_013200085.1		guanylate kinase	gmk		EBC_RS01595	624	207	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	61503	63194	+					ligB		EBC_RS01600	1692		old_locus_tag=EbC_00470
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	61503	63194	+	WP_013200086.1	WP_013200086.1		NAD-dependent DNA ligase LigB	ligB		EBC_RS01600	1692	563	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	63169	63786	-							EBC_RS01605	618		old_locus_tag=EbC_00480
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	63169	63786	-	WP_013200087.1	WP_013200087.1		trimeric intracellular cation channel family protein			EBC_RS01605	618	205	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	63921	64601	+							EBC_RS01610	681		old_locus_tag=EbC_00490
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	63921	64601	+	WP_041691837.1	WP_041691837.1		DJ-1/PfpI family protein			EBC_RS01610	681	226	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	64686	65024	-							EBC_RS01615	339		old_locus_tag=EbC_00500
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	64686	65024	-	WP_013200089.1	WP_013200089.1		alkylphosphonate utilization protein			EBC_RS01615	339	112	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	65308	66654	+							EBC_RS01620	1347		old_locus_tag=EbC_00510
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	65308	66654	+	WP_013200090.1	WP_013200090.1		glycoside-pentoside-hexuronide (GPH):cation symporter			EBC_RS01620	1347	448	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	66667	68718	+							EBC_RS01625	2052		old_locus_tag=EbC_00520
CDS	with_protein	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	66667	68718	+	WP_013200091.1	WP_013200091.1		glycoside hydrolase family 31 protein			EBC_RS01625	2052	683	
gene	protein_coding	GCF_000196615.1	Primary Assembly	chromosome		NC_014306.1	68786	69649	-							EBC_RS01630	864		old_locus_tag=EbC_00530
