# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	6951328	1452	+					dnaA		PcP3B5_RS00005	1569		old_locus_tag=PcP3B5_00010
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	6951328	1452	+	WP_009614445.1	WP_009614445.1		chromosomal replication initiator protein DnaA	dnaA		PcP3B5_RS00005	1569	522	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	1490	2596	+					dnaN		PcP3B5_RS00010	1107		old_locus_tag=PcP3B5_00020
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	1490	2596	+	WP_061560269.1	WP_061560269.1		DNA polymerase III subunit beta	dnaN		PcP3B5_RS00010	1107	368	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	2607	3713	+					recF		PcP3B5_RS00015	1107		old_locus_tag=PcP3B5_00030
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	2607	3713	+	WP_043270136.1	WP_043270136.1		DNA replication/repair protein RecF	recF		PcP3B5_RS00015	1107	368	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	3710	6130	+					gyrB		PcP3B5_RS00020	2421		old_locus_tag=PcP3B5_00040
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	3710	6130	+	WP_043313934.1	WP_043313934.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		PcP3B5_RS00020	2421	806	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	6305	8521	-							PcP3B5_RS00025	2217		old_locus_tag=PcP3B5_00050
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	6305	8521	-	WP_082816238.1	WP_082816238.1		DEAD/DEAH box helicase			PcP3B5_RS00025	2217	738	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	8525	9697	-							PcP3B5_RS00030	1173		old_locus_tag=PcP3B5_00060
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	8525	9697	-	WP_061560270.1	WP_061560270.1		IS4 family transposase			PcP3B5_RS00030	1173	390	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	9736	10131	-							PcP3B5_RS31920	396		
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	9736	10131	-	WP_070065483.1	WP_070065483.1		hypothetical protein			PcP3B5_RS31920	396	131	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	10698	10994	-							PcP3B5_RS31265	297		old_locus_tag=PcP3B5_00070
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	10698	10994	-	WP_145923836.1	WP_145923836.1		hypothetical protein			PcP3B5_RS31265	297	98	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	11263	12030	-							PcP3B5_RS00045	768		old_locus_tag=PcP3B5_00080
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	11263	12030	-	WP_052267673.1	WP_052267673.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			PcP3B5_RS00045	768	255	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	12044	12574	-					gmhB		PcP3B5_RS00050	531		old_locus_tag=PcP3B5_00090
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	12044	12574	-	WP_043313928.1	WP_043313928.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		PcP3B5_RS00050	531	176	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	12653	14707	-					glyS		PcP3B5_RS00055	2055		old_locus_tag=PcP3B5_00100
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	12653	14707	-	WP_061560272.1	WP_061560272.1		glycine--tRNA ligase subunit beta	glyS		PcP3B5_RS00055	2055	684	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	14707	15654	-					glyQ		PcP3B5_RS00060	948		old_locus_tag=PcP3B5_00110
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	14707	15654	-	WP_058487944.1	WP_058487944.1		glycine--tRNA ligase subunit alpha	glyQ		PcP3B5_RS00060	948	315	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	15838	16386	+							PcP3B5_RS00065	549		old_locus_tag=PcP3B5_00120
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	15838	16386	+	WP_058487943.1	WP_058487943.1		DNA-3-methyladenine glycosylase I			PcP3B5_RS00065	549	182	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	16676	17563	+							PcP3B5_RS00070	888		old_locus_tag=PcP3B5_00130
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	16676	17563	+	WP_009614460.1	WP_009614460.1		lysophospholipid acyltransferase			PcP3B5_RS00070	888	295	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	17570	18883	+							PcP3B5_RS00075	1314		old_locus_tag=PcP3B5_00140
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	17570	18883	+	WP_061560273.1	WP_061560273.1		Nramp family divalent metal transporter			PcP3B5_RS00075	1314	437	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	18940	19206	+							PcP3B5_RS00080	267		old_locus_tag=PcP3B5_00150
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	18940	19206	+	WP_009614462.1	WP_009614462.1		PilZ domain-containing protein			PcP3B5_RS00080	267	88	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	19647	20411	-					ehuA		PcP3B5_RS00085	765		old_locus_tag=PcP3B5_00160
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	19647	20411	-	WP_043300474.1	WP_043300474.1		ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA	ehuA		PcP3B5_RS00085	765	254	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	20504	21160	-					ehuD		PcP3B5_RS00090	657		old_locus_tag=PcP3B5_00170
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	20504	21160	-	WP_009614464.1	WP_009614464.1		ectoine/hydroxyectoine ABC transporter permease subunit EhuD	ehuD		PcP3B5_RS00090	657	218	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	21160	21816	-					ehuC		PcP3B5_RS00095	657		old_locus_tag=PcP3B5_00180
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	21160	21816	-	WP_009614465.1	WP_009614465.1		ectoine/hydroxyectoine ABC transporter permease subunit EhuC	ehuC		PcP3B5_RS00095	657	218	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	21877	22731	-					ehuB		PcP3B5_RS00100	855		old_locus_tag=PcP3B5_00190
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	21877	22731	-	WP_061560274.1	WP_061560274.1		ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB	ehuB		PcP3B5_RS00100	855	284	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	23136	24530	+							PcP3B5_RS00105	1395		old_locus_tag=PcP3B5_00200
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	23136	24530	+	WP_058489687.1	WP_058489687.1		PLP-dependent aminotransferase family protein			PcP3B5_RS00105	1395	464	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	24841	25818	+					eutB		PcP3B5_RS00110	978		old_locus_tag=PcP3B5_00210
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	24841	25818	+	WP_061560275.1	WP_061560275.1		hydroxyectoine utilization dehydratase EutB	eutB		PcP3B5_RS00110	978	325	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	25811	26803	+							PcP3B5_RS00115	993		old_locus_tag=PcP3B5_00220
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	25811	26803	+	WP_061560276.1	WP_061560276.1		cyclodeaminase			PcP3B5_RS00115	993	330	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	26984	28174	+					doeA		PcP3B5_RS00120	1191		old_locus_tag=PcP3B5_00230
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	26984	28174	+	WP_043313912.1	WP_043313912.1		ectoine hydrolase DoeA	doeA		PcP3B5_RS00120	1191	396	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	28179	29195	+					doeB		PcP3B5_RS00125	1017		old_locus_tag=PcP3B5_00240
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	28179	29195	+	WP_061560277.1	WP_061560277.1		N(2)-acetyl-L-2,4-diaminobutanoate deacetylase DoeB	doeB		PcP3B5_RS00125	1017	338	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	29224	29706	+							PcP3B5_RS00130	483		old_locus_tag=PcP3B5_00250
CDS	with_protein	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	29224	29706	+	WP_009614475.1	WP_009614475.1		Lrp/AsnC family transcriptional regulator			PcP3B5_RS00130	483	160	
gene	protein_coding	GCF_001586155.1	Primary Assembly	chromosome		NZ_CP014158.1	30150	30803	+							PcP3B5_RS00135	654		old_locus_tag=PcP3B5_00260
