# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	4685649	1047	+					dnaA		EQG67_RS00005	1398		old_locus_tag=EQG67_00005
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	4685649	1047	+	WP_054803532.1	WP_054803532.1		chromosomal replication initiator protein DnaA	dnaA		EQG67_RS00005	1398	465	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	1052	2152	+					dnaN		EQG67_RS00010	1101		old_locus_tag=EQG67_00010
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	1052	2152	+	WP_054803533.1	WP_054803533.1		DNA polymerase III subunit beta	dnaN		EQG67_RS00010	1101	366	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	2291	3364	+					recF		EQG67_RS00015	1074		old_locus_tag=EQG67_00015
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	2291	3364	+	WP_042715128.1	WP_042715128.1		DNA replication/repair protein RecF	recF		EQG67_RS00015	1074	357	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	3393	5807	+					gyrB		EQG67_RS00020	2415		old_locus_tag=EQG67_00020
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	3393	5807	+	WP_054803534.1	WP_054803534.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		EQG67_RS00020	2415	804	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	5935	6747	+					yidA		EQG67_RS00025	813		old_locus_tag=EQG67_00025
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	5935	6747	+	WP_042715125.1	WP_042715125.1		sugar-phosphatase	yidA		EQG67_RS00025	813	270	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	6990	7679	+					dgoR		EQG67_RS00030	690		old_locus_tag=EQG67_00030
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	6990	7679	+	WP_042715123.1	WP_042715123.1		D-galactonate utilization transcriptional regulator DgoR	dgoR		EQG67_RS00030	690	229	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	7676	8554	+							EQG67_RS00035	879		old_locus_tag=EQG67_00035
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	7676	8554	+	WP_128481840.1	WP_128481840.1		2-dehydro-3-deoxygalactonokinase			EQG67_RS00035	879	292	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	8538	9155	+							EQG67_RS00040	618		old_locus_tag=EQG67_00040
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	8538	9155	+	WP_128481841.1	WP_128481841.1		2-dehydro-3-deoxy-6-phosphogalactonate aldolase			EQG67_RS00040	618	205	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	9152	10300	+					dgoD		EQG67_RS00045	1149		old_locus_tag=EQG67_00045
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	9152	10300	+	WP_054803538.1	WP_054803538.1		galactonate dehydratase	dgoD		EQG67_RS00045	1149	382	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	10410	11747	+							EQG67_RS00050	1338		old_locus_tag=EQG67_00050
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	10410	11747	+	WP_076769291.1	WP_076769291.1		MFS transporter			EQG67_RS00050	1338	445	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	11799	13025	+							EQG67_RS00055	1227		old_locus_tag=EQG67_00055
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	11799	13025	+	WP_128481842.1	WP_128481842.1		DUF3748 domain-containing protein			EQG67_RS00055	1227	408	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	13027	13356	-							EQG67_RS00060	330		old_locus_tag=EQG67_00060
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	13027	13356	-	WP_042715115.1	WP_042715115.1		YceK/YidQ family lipoprotein			EQG67_RS00060	330	109	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	13669	14082	+					ibpA		EQG67_RS00065	414		old_locus_tag=EQG67_00065
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	13669	14082	+	WP_042715112.1	WP_042715112.1		heat shock chaperone IbpA	ibpA		EQG67_RS00065	414	137	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	14191	14622	+					ibpB		EQG67_RS00070	432		old_locus_tag=EQG67_00070
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	14191	14622	+	WP_042715111.1	WP_042715111.1		heat shock chaperone IbpB	ibpB		EQG67_RS00070	432	143	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	14720	15862	+							EQG67_RS22200	1143		
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	14720	15862	+	WP_206616709.1	WP_206616709.1		AAA family ATPase			EQG67_RS22200	1143	380	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	15859	16326	+							EQG67_RS00080	468		old_locus_tag=EQG67_00080
CDS	with_protein	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	15859	16326	+	WP_128481843.1	WP_128481843.1		PIN domain-containing protein			EQG67_RS00080	468	155	
gene	protein_coding	GCF_004089895.1	Primary Assembly	chromosome		NZ_CP035129.1	16434	17699	-					oxlT		EQG67_RS00085	1266		old_locus_tag=EQG67_00085
