start,end,score,strand
4257,4292,52,+
11907,11927,48,+
12142,12169,66,-
13032,13056,48,+
13142,13176,58,-
13530,13566,61,+
22596,22632,71,-
23499,23533,51,+
36158,36194,56,-
38436,38459,49,-
39017,39055,58,-
40057,40081,59,-
45556,45583,63,-
47044,47077,64,-
49083,49116,62,-
57603,57622,52,+
58683,58726,53,+
59742,59763,48,+
61567,61601,51,+
63281,63318,54,-
64628,64654,56,+
65999,66026,55,-
68105,68122,69,-
68682,68715,55,-
69660,69684,59,-
72368,72397,52,+
73326,73353,71,-
75016,75053,59,+
78167,78185,50,-
85096,85132,53,+
85736,85773,58,-
86408,86439,52,-
87261,87291,62,+
87943,87970,63,-
92512,92530,51,-
95922,95960,57,-
96786,96824,62,+
97263,97308,52,-
101655,101698,52,-
107676,107699,60,-
107985,108016,95,-
109288,109326,61,-
109767,109791,48,-
111871,111890,51,-
112240,112263,49,-
118723,118762,55,-
125321,125342,52,-
125613,125654,57,-
130381,130412,60,-
131234,131263,52,-
136694,136724,51,-
138045,138065,64,-
142677,142700,60,-
143409,143439,79,-
144299,144339,53,-
144974,145004,65,-
147075,147109,59,+
150014,150044,49,-
150790,150822,50,-
153202,153228,101,-
154720,154753,62,+
158177,158201,48,-
158726,158753,53,-
161536,161564,54,+
165986,166017,83,+
167779,167802,49,-
168772,168808,76,-
169267,169309,50,-
169344,169366,48,-
169508,169526,67,-
172243,172264,62,+
174068,174109,53,-
176890,176909,49,-
180102,180135,60,-
180701,180733,63,-
182583,182610,55,-
185798,185829,52,-
196125,196163,57,-
205280,205305,57,-
207079,207106,85,-
215323,215346,60,-
223143,223167,48,-
226343,226376,59,-
226925,226954,51,-
227797,227824,100,-
227870,227910,58,+
228348,228394,50,-
228494,228526,52,-
228687,228715,66,-
228806,228823,50,-
231577,231616,70,-
235673,235694,63,-
236262,236290,80,-
244358,244389,78,-
246032,246078,47,-
246860,246889,52,-
255829,255875,47,-
257389,257418,52,-
259063,259109,47,-
262647,262666,47,+
269734,269769,59,+
273338,273380,50,+
279997,280036,69,+
280517,280554,57,-
286683,286705,70,+
288054,288073,47,-
295169,295191,51,+
304423,304454,65,-
305468,305499,50,-
305771,305801,55,-
308113,308150,58,-
313557,313580,59,-
314224,314254,55,+
317078,317112,47,+
318290,318327,47,+
319673,319701,65,-
329419,329447,61,-
329684,329717,64,-
330576,330612,47,+
335267,335300,52,+
338468,338501,75,+
343400,343430,51,-
349506,349528,48,-
351361,351405,53,-
353909,353955,48,+
357030,357049,47,+
357355,357384,52,+
359293,359311,49,-
360854,360878,48,+
362885,362916,63,-
365160,365207,48,+
368473,368492,49,-
373351,373384,60,+
374689,374720,55,+
375783,375813,51,+
381489,381522,48,-
384791,384814,49,-
385435,385474,53,+
391034,391066,48,+
397021,397058,47,-
398012,398049,55,+
401302,401347,47,-
402702,402732,68,-
403384,403413,52,-
405193,405221,57,-
405816,405849,48,+
408737,408764,71,+
414820,414838,49,-
416747,416774,55,+
419903,419919,53,-
420252,420291,52,-
421702,421719,52,+
425521,425549,54,+
429726,429744,49,-
436295,436314,47,-
437931,437972,53,-
448192,448222,70,-
450787,450815,52,-
