# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	461	1858	+					dnaA		ENTAS_RS00005	1398		old_locus_tag=Entas_0001
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	461	1858	+	WP_014068246.1	WP_014068246.1		chromosomal replication initiator protein DnaA	dnaA		ENTAS_RS00005	1398	465	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	1863	2963	+					dnaN		ENTAS_RS00010	1101		old_locus_tag=Entas_0002
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	1863	2963	+	WP_014068247.1	WP_014068247.1		DNA polymerase III subunit beta	dnaN		ENTAS_RS00010	1101	366	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	3111	4184	+					recF		ENTAS_RS00015	1074		old_locus_tag=Entas_0003
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	3111	4184	+	WP_014068248.1	WP_014068248.1		DNA replication/repair protein RecF	recF		ENTAS_RS00015	1074	357	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	4213	6624	+					gyrB		ENTAS_RS00020	2412		old_locus_tag=Entas_0004
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	4213	6624	+	WP_014068249.1	WP_014068249.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ENTAS_RS00020	2412	803	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	6842	7654	+					yidA		ENTAS_RS00025	813		old_locus_tag=Entas_0005
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	6842	7654	+	WP_014068250.1	WP_014068250.1		sugar-phosphatase	yidA		ENTAS_RS00025	813	270	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	7730	8539	+							ENTAS_RS00030	810		old_locus_tag=Entas_0006
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	7730	8539	+	WP_014068251.1	WP_014068251.1		shikimate 5-dehydrogenase			ENTAS_RS00030	810	269	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	8599	9822	+							ENTAS_RS00035	1224		old_locus_tag=Entas_0007
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	8599	9822	+	WP_014068252.1	WP_014068252.1		DUF3748 domain-containing protein			ENTAS_RS00035	1224	407	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	9825	10157	-							ENTAS_RS00040	333		old_locus_tag=Entas_0008
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	9825	10157	-	WP_014068253.1	WP_014068253.1		YceK/YidQ family lipoprotein			ENTAS_RS00040	333	110	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	10471	10881	+					ibpA		ENTAS_RS00045	411		old_locus_tag=Entas_0009
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	10471	10881	+	WP_014068254.1	WP_014068254.1		heat shock chaperone IbpA	ibpA		ENTAS_RS00045	411	136	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	11018	11446	+					ibpB		ENTAS_RS00050	429		old_locus_tag=Entas_0010
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	11018	11446	+	WP_014068255.1	WP_014068255.1		heat shock chaperone IbpB	ibpB		ENTAS_RS00050	429	142	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	11612	13273	+							ENTAS_RS00055	1662		old_locus_tag=Entas_0011
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	11612	13273	+	WP_014068256.1	WP_014068256.1		putative transporter			ENTAS_RS00055	1662	553	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	13241	13987	-							ENTAS_RS00060	747		old_locus_tag=Entas_0012
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	13241	13987	-	WP_014068257.1	WP_014068257.1		GntR family transcriptional regulator			ENTAS_RS00060	747	248	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	14211	15833	+							ENTAS_RS00065	1623		old_locus_tag=Entas_0013
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	14211	15833	+	WP_014068258.1	WP_014068258.1		alpha-glucoside-specific PTS transporter subunit IIBC			ENTAS_RS00065	1623	540	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	15830	17152	+							ENTAS_RS00070	1323		old_locus_tag=Entas_0014
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	15830	17152	+	WP_014068259.1	WP_014068259.1		6-phospho-alpha-glucosidase			ENTAS_RS00070	1323	440	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	17333	19258	+							ENTAS_RS00075	1926		old_locus_tag=Entas_0015
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	17333	19258	+	WP_014068260.1	WP_014068260.1		PAAR domain-containing protein			ENTAS_RS00075	1926	641	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	19318	19923	+							ENTAS_RS00080	606		old_locus_tag=Entas_0016
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	19318	19923	+	WP_014068261.1	WP_014068261.1		DUF2931 family protein			ENTAS_RS00080	606	201	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	19933	20607	+							ENTAS_RS00085	675		old_locus_tag=Entas_0017
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	19933	20607	+	WP_014068262.1	WP_014068262.1		DUF2931 family protein			ENTAS_RS00085	675	224	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	20800	21147	+							ENTAS_RS00090	348		old_locus_tag=Entas_0018
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	20800	21147	+	WP_014068263.1	WP_014068263.1		YidH family protein			ENTAS_RS00090	348	115	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	21137	21484	+							ENTAS_RS00095	348		old_locus_tag=Entas_0019
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	21137	21484	+	WP_014068264.1	WP_014068264.1		DUF202 domain-containing protein			ENTAS_RS00095	348	115	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	21530	22810	-					dsdA		ENTAS_RS00100	1281		old_locus_tag=Entas_0020
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	21530	22810	-	WP_014068265.1	WP_014068265.1		D-serine ammonia-lyase	dsdA		ENTAS_RS00100	1281	426	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	22828	24165	-					dsdX		ENTAS_RS00105	1338		old_locus_tag=Entas_0021
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	22828	24165	-	WP_014068266.1	WP_014068266.1		D-serine transporter DsdX	dsdX		ENTAS_RS00105	1338	445	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	24370	25293	+					dsdC		ENTAS_RS00110	924		old_locus_tag=Entas_0022
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	24370	25293	+	WP_041162167.1	WP_041162167.1		DNA-binding transcriptional regulator DsdC	dsdC		ENTAS_RS00110	924	307	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	25383	26471	+							ENTAS_RS00115	1089		old_locus_tag=Entas_0023
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	25383	26471	+	WP_014068268.1	WP_014068268.1		cellulase family glycosylhydrolase			ENTAS_RS00115	1089	362	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	26374	27558	-					emrD		ENTAS_RS00120	1185		old_locus_tag=Entas_0024
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	26374	27558	-	WP_014068269.1	WP_014068269.1		multidrug efflux MFS transporter EmrD	emrD		ENTAS_RS00120	1185	394	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	27734	28567	-							ENTAS_RS00125	834		old_locus_tag=Entas_0025
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	27734	28567	-	WP_014068270.1	WP_014068270.1		DMT family transporter			ENTAS_RS00125	834	277	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	28630	29076	-							ENTAS_RS00130	447		old_locus_tag=Entas_0026
CDS	with_protein	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	28630	29076	-	WP_014068271.1	WP_014068271.1		GNAT family N-acetyltransferase			ENTAS_RS00130	447	148	
gene	protein_coding	GCF_000224675.1	Primary Assembly	chromosome		NC_015968.1	29141	29230	-					tisB		ENTAS_RS23925	90		
