start,end,score,strand
422,468,47,-
4165,4195,59,+
14003,14022,47,-
26132,26159,53,+
33704,33737,60,+
41702,41731,52,+
41896,41926,51,+
53977,54017,54,+
55313,55335,61,+
59414,59440,55,+
61839,61862,60,+
62963,62980,52,-
63151,63182,93,+
64822,64865,52,+
65679,65699,47,-
69869,69903,62,+
74541,74561,47,-
86789,86827,61,-
87476,87498,49,+
96060,96092,70,+
96644,96671,55,+
96814,96838,59,+
97131,97159,53,+
104875,104902,53,+
127182,127228,49,+
134767,134785,51,+
136965,136983,67,+
156417,156445,69,+
167862,167894,50,+
176386,176411,47,+
191131,191164,65,+
201745,201779,60,+
209201,209220,47,+
211291,211329,55,-
218705,218725,47,+
225150,225192,53,+
229659,229689,65,+
263970,264001,51,+
271444,271477,59,-
273741,273766,57,-
296045,296064,49,+
301669,301693,59,+
313424,313455,59,-
317952,317973,51,+
322368,322387,49,+
322488,322512,59,+
344324,344366,49,+
351862,351880,85,+
365969,365988,49,+
374814,374845,66,+
376702,376740,59,+
377550,377586,62,+
384411,384441,49,+
395441,395464,60,+
401803,401822,52,+
404169,404202,48,-
412138,412173,75,+
412169,412201,54,-
412984,413002,50,+
413241,413266,69,+
417351,417384,59,+
417650,417666,52,+
420356,420402,60,+
430868,430895,55,+
431078,431109,60,+
452239,452261,61,+
465059,465089,51,-
465999,466020,49,+
469342,469384,111,+
470161,470183,49,-
479440,479474,72,-
498788,498827,52,+
499449,499479,57,+
500382,500421,51,+
502499,502531,52,-
508863,508902,53,+
509496,509528,52,-
513473,513508,59,+
518888,518910,61,-
529104,529122,49,+
542026,542049,48,+
551581,551617,48,+
554267,554289,72,+
559946,559971,57,+
560312,560348,64,+
570152,570172,48,+
570178,570199,63,-
583298,583328,51,+
588482,588507,58,+
615269,615294,47,-
616835,616867,68,+
625821,625844,48,+
634183,634211,54,+
636024,636061,53,-
636871,636894,60,+
639792,639811,66,+
645113,645151,58,+
656317,656335,49,+
663112,663135,49,+
664278,664306,69,+
664372,664407,50,+
671687,671706,51,+
675704,675721,50,+
682227,682253,56,+
692512,692538,66,+
692804,692825,49,+
702212,702234,61,+
710599,710643,50,+
715477,715496,49,+
716932,716965,67,+
719055,719082,53,+
747887,747918,67,-
755486,755504,49,+
774585,774606,49,+
800301,800330,52,+
801245,801279,62,-
851732,851752,48,+
851811,851830,66,+
854376,854409,52,+
854429,854449,49,+
855303,855342,58,+
857105,857148,52,+
879069,879096,57,+
