# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	3	1211	+							A4G16_RS00005	1209		partial;pseudo
CDS	without_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	3	1211	+				ABC transporter substrate-binding protein			A4G16_RS00005	1209		partial;pseudo
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	1276	1548	+							A4G16_RS00010	273		old_locus_tag=A4G16_00005
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	1276	1548	+	WP_042802097.1	WP_042802097.1		acylphosphatase			A4G16_RS00010	273	90	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	1632	4244	-					pepN		A4G16_RS00015	2613		old_locus_tag=A4G16_00010
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	1632	4244	-	WP_165888154.1	WP_165888154.1		aminopeptidase N	pepN		A4G16_RS00015	2613	870	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	4390	5031	-					bioD		A4G16_RS00020	642		old_locus_tag=A4G16_00015
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	4390	5031	-	WP_165888155.1	WP_165888155.1		dethiobiotin synthase	bioD		A4G16_RS00020	642	213	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	5028	5801	-					bioC		A4G16_RS00025	774		old_locus_tag=A4G16_00020
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	5028	5801	-	WP_165888156.1	WP_165888156.1		malonyl-ACP O-methyltransferase BioC	bioC		A4G16_RS00025	774	257	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	5789	6457	-							A4G16_RS00030	669		old_locus_tag=A4G16_00025
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	5789	6457	-	WP_165888157.1	WP_165888157.1		DUF452 family protein			A4G16_RS00030	669	222	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	6454	7617	-							A4G16_RS00035	1164		old_locus_tag=A4G16_00030
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	6454	7617	-	WP_165888158.1	WP_165888158.1		8-amino-7-oxononanoate synthase			A4G16_RS00035	1164	387	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	7610	8899	-					bioA		A4G16_RS00040	1290		old_locus_tag=A4G16_00035
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	7610	8899	-	WP_165888159.1	WP_165888159.1		adenosylmethionine--8-amino-7-oxononanoate transaminase	bioA		A4G16_RS00040	1290	429	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	9115	9633	-					hutZ		A4G16_RS00045	519		old_locus_tag=A4G16_00040
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	9115	9633	-	WP_165888160.1	WP_165888160.1		heme utilization protein HutZ	hutZ		A4G16_RS00045	519	172	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	9806	12232	+							A4G16_RS00050	2427		old_locus_tag=A4G16_00045
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	9806	12232	+	WP_237052373.1	WP_237052373.1		TonB-dependent hemoglobin/transferrin/lactoferrin family receptor			A4G16_RS00050	2427	808	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	12289	12795	+					hutX		A4G16_RS00055	507		old_locus_tag=A4G16_00050
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	12289	12795	+	WP_165888161.1	WP_165888161.1		heme utilization cystosolic carrier protein HutX	hutX		A4G16_RS00055	507	168	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	12919	14136	-							A4G16_RS00060	1218		old_locus_tag=A4G16_00055
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	12919	14136	-	WP_165888162.1	WP_165888162.1		aromatic amino acid transporter			A4G16_RS00060	1218	405	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	14294	17743	+					mfd		A4G16_RS00065	3450		old_locus_tag=A4G16_00060
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	14294	17743	+	WP_165888163.1	WP_165888163.1		transcription-repair coupling factor	mfd		A4G16_RS00065	3450	1149	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	17798	17947	-							A4G16_RS00070	150		old_locus_tag=A4G16_00065
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	17798	17947	-	WP_237052419.1	WP_237052419.1		excalibur calcium-binding domain-containing protein			A4G16_RS00070	150	49	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	17989	18246	-							A4G16_RS00075	258		old_locus_tag=A4G16_00070
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	17989	18246	-	WP_165888165.1	WP_165888165.1		hypothetical protein			A4G16_RS00075	258	85	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	18260	18736	+							A4G16_RS00080	477		old_locus_tag=A4G16_00075
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	18260	18736	+	WP_165888166.1	WP_165888166.1		helix-turn-helix domain-containing protein			A4G16_RS00080	477	158	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	18896	20128	+					pepT		A4G16_RS00085	1233		old_locus_tag=A4G16_00080
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	18896	20128	+	WP_165888167.1	WP_165888167.1		peptidase T	pepT		A4G16_RS00085	1233	410	
gene	tRNA	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20303	20378	+							A4G16_RS00090	76		old_locus_tag=A4G16_00085
tRNA		GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20303	20378	+				tRNA-Gly			A4G16_RS00090	76		anticodon=GCC
gene	tRNA	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20395	20481	+							A4G16_RS00095	87		old_locus_tag=A4G16_00090
tRNA		GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20395	20481	+				tRNA-Leu			A4G16_RS00095	87		anticodon=TAA
gene	tRNA	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20507	20582	+							A4G16_RS00100	76		old_locus_tag=A4G16_00095
tRNA		GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20507	20582	+				tRNA-Gly			A4G16_RS00100	76		anticodon=GCC
gene	tRNA	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20601	20687	+							A4G16_RS00105	87		old_locus_tag=A4G16_00100
tRNA		GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20601	20687	+				tRNA-Leu			A4G16_RS00105	87		anticodon=TAA
gene	tRNA	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20727	20813	+							A4G16_RS00110	87		old_locus_tag=A4G16_00105
tRNA		GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20727	20813	+				tRNA-Leu			A4G16_RS00110	87		anticodon=TAA
gene	tRNA	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20835	20910	+							A4G16_RS00115	76		old_locus_tag=A4G16_00110
tRNA		GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	20835	20910	+				tRNA-Gly			A4G16_RS00115	76		anticodon=GCC
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	21027	21818	+							A4G16_RS00120	792		old_locus_tag=A4G16_00115
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	21027	21818	+	WP_237052374.1	WP_237052374.1		GDP-L-fucose synthase			A4G16_RS00120	792	263	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	21891	22748	+							A4G16_RS00125	858		old_locus_tag=A4G16_00120
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	21891	22748	+	WP_165888168.1	WP_165888168.1		metal ABC transporter permease			A4G16_RS00125	858	285	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	22741	23553	+							A4G16_RS00130	813		old_locus_tag=A4G16_00125
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	22741	23553	+	WP_165888169.1	WP_165888169.1		metal ABC transporter permease			A4G16_RS00130	813	270	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	23591	24346	-							A4G16_RS00135	756		old_locus_tag=A4G16_00130
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	23591	24346	-	WP_165888170.1	WP_165888170.1		metal ABC transporter ATP-binding protein			A4G16_RS00135	756	251	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	24359	25255	-							A4G16_RS00140	897		old_locus_tag=A4G16_00135
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	24359	25255	-	WP_165888171.1	WP_165888171.1		metal ABC transporter substrate-binding protein			A4G16_RS00140	897	298	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	25516	26673	+							A4G16_RS00145	1158		old_locus_tag=A4G16_00140
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	25516	26673	+	WP_165888172.1	WP_165888172.1		bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN			A4G16_RS00145	1158	385	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	27074	27823	+							A4G16_RS00150	750		old_locus_tag=A4G16_00145
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	27074	27823	+	WP_165888173.1	WP_165888173.1		MipA/OmpV family protein			A4G16_RS00150	750	249	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	27961	28737	+							A4G16_RS00155	777		old_locus_tag=A4G16_00150
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	27961	28737	+	WP_165888174.1	WP_165888174.1		MerR family transcriptional regulator			A4G16_RS00155	777	258	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	28799	29491	-							A4G16_RS00160	693		old_locus_tag=A4G16_00155
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	28799	29491	-	WP_165888175.1	WP_165888175.1		CPBP family intramembrane metalloprotease			A4G16_RS00160	693	230	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	29994	30551	+					pilW		A4G16_RS00165	558		old_locus_tag=A4G16_00160
CDS	with_protein	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	29994	30551	+	WP_165888176.1	WP_165888176.1		type IV pilus biogenesis/stability protein PilW	pilW		A4G16_RS00165	558	185	
gene	protein_coding	GCF_011455695.1	Primary Assembly	chromosome		NZ_CP015030.1	30548	32884	+							A4G16_RS00170	2337		old_locus_tag=A4G16_00165
