start,end,score,strand
12293,12319,56,-
19034,19064,68,+
23624,23653,68,+
51460,51480,49,+
51534,51556,61,+
57595,57633,54,+
57989,58013,48,+
63634,63662,52,+
64208,64229,49,-
66959,66977,49,+
67330,67370,59,+
71821,71856,56,+
80382,80418,54,+
84185,84220,59,+
89030,89056,83,-
91175,91195,64,-
92381,92407,69,+
99199,99228,51,+
101032,101061,68,-
103218,103237,49,+
104687,104713,56,+
108356,108376,47,+
108414,108441,63,+
108782,108812,65,-
108877,108902,71,+
108945,108981,61,+
108989,109009,48,+
109029,109071,53,+
109316,109333,52,+
109504,109545,55,+
109585,109623,54,+
109675,109696,49,+
109713,109733,47,+
109966,110004,54,+
110034,110057,48,+
110140,110172,48,+
110579,110619,54,+
110973,110997,48,+
111830,111863,59,+
112658,112699,54,+
113811,113841,51,+
113878,113910,51,+
115342,115387,47,+
115582,115613,65,+
115781,115819,57,+
117407,117428,49,-
118308,118339,48,+
118396,118425,58,+
118518,118545,72,+
118771,118810,73,+
119307,119347,53,+
122640,122663,61,-
123299,123333,51,+
125160,125196,58,+
152142,152163,48,+
176406,176431,57,+
187142,187180,57,+
188888,188922,56,+
202414,202443,62,+
202467,202494,63,+
202835,202865,65,-
202930,202955,71,+
203021,203048,55,+
203094,203124,52,+
203369,203386,52,+
203557,203598,53,+
203638,203676,54,+
203728,203749,49,+
203808,203826,50,+
204011,204034,60,+
204066,204102,51,+
204340,204366,67,+
205777,205799,48,+
205947,205977,51,+
206014,206046,51,+
206143,206173,68,+
207477,207522,47,+
207717,207756,58,+
207916,207954,57,+
209770,209792,51,+
210453,210482,69,+
210575,210602,72,+
210812,210854,57,+
213116,213149,48,+
220201,220220,84,+
222486,222514,54,+
225589,225609,48,-
225928,225952,48,+
226342,226368,56,-
226461,226485,48,-
233160,233178,49,-
248181,248212,49,+
258216,258254,55,+
259377,259396,49,+
271306,271325,49,+
292202,292221,49,+
297734,297764,65,+
303756,303782,56,+
304134,304176,55,+
306249,306286,56,+
312767,312792,47,+
340192,340225,51,+
343349,343379,51,+
355402,355423,49,-
369330,369355,57,+
370676,370698,61,+
370909,370940,57,-
373664,373693,52,-
377139,377168,61,+
384359,384384,57,+
394293,394317,59,-
397603,397649,52,+
399015,399035,47,-
415746,415783,54,-
420742,420764,61,-
435985,436010,47,-
452841,452859,49,-
462236,462271,54,-
465410,465428,49,-
467539,467569,70,-
470794,470832,50,+
472938,472954,52,-
494331,494355,86,-
494597,494621,48,-
498883,498907,48,-
499507,499537,51,+
502346,502370,48,+
504375,504395,47,-
511880,511928,48,-
514146,514175,52,-
516559,516594,60,-
517440,517470,52,-
519437,519466,52,+
521545,521574,52,-
535117,535138,52,+
536994,537032,54,-
539583,539621,50,-
559149,559176,55,-
597656,597682,69,-
598531,598570,51,-
602142,602164,61,+
611911,611942,60,-
621203,621247,54,+
626198,626235,57,+
628720,628739,49,-
638841,638875,59,-
648436,648464,60,-
649347,649375,68,-
667064,667094,52,+
672070,672112,50,+
689349,689378,52,-
689879,689906,55,+
691301,691333,48,+
694133,694154,52,+
694307,694326,49,-
700398,700446,47,+
702189,702219,52,-
716553,716597,49,-
718813,718853,50,-
725459,725478,49,-
728788,728816,65,-
730528,730555,53,-
746355,746394,53,+
768263,768285,61,+
784229,784246,69,+
801716,801734,50,-
807160,807206,52,-
810015,810049,60,-
810698,810735,62,-
814396,814435,55,-
838380,838401,63,-
839230,839255,57,-
839576,839599,60,-
852517,852550,50,-
858347,858377,65,-
862610,862644,51,-
894970,895000,51,-
898406,898440,59,-
