# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	4476135	2	-							EoCCA6_RS00005	453		partial;pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	4476135	2	-				TetR family transcriptional regulator C-terminal domain-containing protein			EoCCA6_RS00005	453		partial;pseudo
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	4476492	735	+							EoCCA6_RS21580	829		partial;pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	4476492	735	+				methionine ABC transporter ATP-binding protein			EoCCA6_RS21580	829		partial;pseudo
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	728	1384	+							EoCCA6_RS00015	657		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	728	1384	+				ABC transporter permease			EoCCA6_RS00015	657		pseudo
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	1409	2220	+							EoCCA6_RS00020	812		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	1409	2220	+				MetQ/NlpA family ABC transporter substrate-binding protein			EoCCA6_RS00020	812		pseudo
gene	protein_coding	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	2327	2566	+					fumD		EoCCA6_RS00025	240		
CDS	with_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	2327	2566	+	WP_152080886.1	WP_152080886.1		fumarate hydratase FumD	fumD		EoCCA6_RS00025	240	79	
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	2567	3200	-							EoCCA6_RS00030	634		partial;pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	2567	3200	-				ABC transporter permease subunit			EoCCA6_RS00030	634		partial;pseudo
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	3197	3926	-							EoCCA6_RS00035	730		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	3197	3926	-				amino acid ABC transporter permease			EoCCA6_RS00035	730		pseudo
gene	protein_coding	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	3926	4738	-							EoCCA6_RS00040	813		
CDS	with_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	3926	4738	-	WP_152080887.1	WP_152080887.1		amino acid ABC transporter ATP-binding protein			EoCCA6_RS00040	813	270	
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	4740	5556	-							EoCCA6_RS00045	817		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	4740	5556	-				ABC transporter substrate-binding protein			EoCCA6_RS00045	817		pseudo
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	6115	7526	+							EoCCA6_RS00050	1412		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	6115	7526	+				DUF1996 domain-containing protein			EoCCA6_RS00050	1412		pseudo
gene	protein_coding	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	7559	7699	-							EoCCA6_RS00055	141		
CDS	with_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	7559	7699	-	WP_013096938.1	WP_013096938.1		hypothetical protein			EoCCA6_RS00055	141	46	
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	7825	8598	+							EoCCA6_RS00060	774		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	7825	8598	+				MBL fold metallo-hydrolase			EoCCA6_RS00060	774		pseudo
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	8670	9304	+							EoCCA6_RS00065	635		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	8670	9304	+				carbonic anhydrase			EoCCA6_RS00065	635		pseudo
gene	pseudogene	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	9333	10867	-							EoCCA6_RS00070	1535		pseudo
CDS	without_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	9333	10867	-				FAD-NAD(P)-binding protein			EoCCA6_RS00070	1535		pseudo
gene	protein_coding	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	11352	12710	+							EoCCA6_RS00075	1359		
CDS	with_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	11352	12710	+	WP_152080888.1	WP_152080888.1		hypothetical protein			EoCCA6_RS00075	1359	452	
gene	protein_coding	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	12692	13060	+							EoCCA6_RS00080	369		
CDS	with_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	12692	13060	+	WP_152080889.1	WP_152080889.1		hypothetical protein			EoCCA6_RS00080	369	122	
gene	protein_coding	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	13057	14058	+							EoCCA6_RS00085	1002		
CDS	with_protein	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	13057	14058	+	WP_152080890.1	WP_152080890.1		protease modulator HflC			EoCCA6_RS00085	1002	333	
gene	protein_coding	GCF_009176645.1	Primary Assembly	chromosome		NZ_AP019007.1	14055	15125	+							EoCCA6_RS00090	1071		
