start,end,score,strand
5187,5226,54,+
12192,12212,64,+
20462,20482,47,-
26774,26799,57,+
28360,28391,50,+
31010,31039,67,+
33061,33088,55,+
34533,34564,51,+
36832,36864,50,+
57606,57628,61,-
62507,62546,54,+
63819,63844,57,+
66174,66202,66,+
74276,74308,54,-
86373,86404,68,-
88334,88370,61,-
94906,94924,50,-
96520,96540,47,-
109318,109343,67,+
110578,110611,50,+
117757,117775,50,-
117869,117895,66,+
127751,127787,56,+
130332,130359,53,+
145491,145518,60,+
149272,149308,58,+
153273,153293,64,+
153397,153428,50,+
154248,154283,58,+
155441,155462,48,+
165339,165371,52,+
174139,174161,61,+
182202,182219,50,+
186211,186242,63,-
186527,186544,52,+
197177,197203,56,+
199151,199171,47,-
200192,200229,58,+
219852,219882,70,+
223856,223884,53,+
230640,230681,53,+
235727,235765,54,+
246111,246132,48,-
246986,247017,50,+
249078,249107,63,+
249742,249765,50,+
250110,250145,75,+
280417,280442,47,+
294583,294617,48,+
297522,297562,53,+
298790,298824,59,+
301824,301844,47,+
302985,303016,52,+
306932,306966,60,+
306983,307026,55,+
317649,317683,60,-
318629,318669,52,+
319942,319973,50,-
324962,324996,58,+
335591,335621,61,+
337030,337054,59,+
339239,339276,56,-
345734,345767,76,+
348909,348943,47,-
363768,363805,54,+
363949,363988,52,-
365207,365255,47,+
366001,366037,59,+
371594,371635,54,+
407464,407499,58,+
433139,433170,49,-
434154,434200,76,+
435507,435538,84,+
443436,443465,100,+
446112,446145,50,+
466002,466032,51,-
474814,474842,63,+
481955,481981,56,-
484696,484728,58,+
525321,525355,50,-
527979,527996,50,+
529870,529901,65,-
530990,531009,49,+
535253,535285,60,-
540489,540505,52,+
549260,549302,57,+
555823,555856,59,+
561110,561138,61,+
561864,561897,48,-
562205,562250,52,+
563308,563345,55,+
567255,567288,65,-
569455,569475,47,+
587951,587995,52,-
599232,599250,52,+
606557,606581,60,-
609454,609482,98,-
612208,612244,61,+
618770,618805,50,-
622632,622651,66,+
623030,623058,54,-
623828,623853,47,+
625206,625226,48,+
634577,634616,50,+
642816,642846,49,-
647445,647483,54,+
655306,655347,50,+
666796,666837,49,+
681548,681570,48,+
683050,683079,68,+
684138,684175,58,-
692171,692204,59,-
703132,703159,55,-
707299,707318,51,+
709074,709115,50,+
709572,709596,59,-
710691,710711,47,-
711746,711789,48,+
718403,718424,63,-
719204,719241,58,+
720143,720164,48,-
723972,724014,67,+
725295,725326,48,-
731858,731898,53,+
733162,733180,50,+
733903,733934,49,-
735291,735324,48,+
735988,736007,51,+
736740,736771,63,+
737414,737446,64,+
754733,754776,67,+
755518,755548,57,+
761437,761463,56,+
762722,762751,60,-
762843,762875,49,+
768149,768190,53,+
769070,769087,52,+
783030,783064,47,+
790381,790399,67,+
796632,796659,55,+
807743,807762,47,-
808914,808936,48,-
808991,809025,58,+
811873,811895,72,+
828721,828742,48,+
836903,836926,60,-
845289,845318,109,+
852014,852054,67,-
853222,853248,56,+
861253,861292,54,-
865394,865412,49,+
866579,866607,61,+
871652,871676,58,+
874277,874321,52,-
878561,878585,48,-
891707,891724,52,+
904275,904303,110,+
917810,917826,52,+
918014,918058,47,+
918106,918136,68,+
923498,923538,57,+
925878,925907,52,+
926333,926357,59,+
928943,928970,55,+
938516,938551,50,+
950502,950518,52,+
957660,957682,49,+
958306,958340,60,+
966125,966162,53,+
978905,978938,65,+
979528,979546,49,+
982950,982986,55,+
993912,993942,54,+
993973,993998,47,+
1002013,1002035,49,+
1006425,1006452,55,+
1020004,1020026,48,+
1020679,1020715,59,+
1020777,1020795,50,+
1043244,1043264,64,+
1044061,1044098,61,+
1044472,1044506,47,-
1051441,1051457,52,+
1051510,1051532,51,-
1065887,1065924,47,-
1071537,1071576,54,-
1078843,1078883,54,-
1079834,1079867,61,+
1081535,1081580,50,-
1093584,1093603,51,+
1093662,1093679,50,+
1108469,1108500,67,+
1114883,1114904,63,+
1118034,1118067,79,+
1139386,1139414,52,-
1141620,1141664,53,+
1149907,1149933,60,+
1160059,1160093,63,+
1167448,1167470,48,+
1169214,1169246,52,-
1170793,1170837,54,-
1178401,1178443,52,-
1184929,1184968,50,+
1188596,1188632,55,-
1196487,1196507,47,-
1203244,1203261,50,-
1205689,1205719,60,+
1205756,1205782,56,+
1207723,1207758,58,-
1208193,1208223,49,+
1210237,1210252,53,-
1210876,1210912,54,+
1211758,1211777,47,-
1213355,1213382,55,+
1223261,1223281,47,+
1226146,1226177,62,+
1228734,1228765,68,+
1229637,1229668,65,+
1230149,1230169,47,+
1232900,1232934,48,+
1240245,1240265,48,+
1240368,1240394,67,+
1240521,1240556,52,+
1245872,1245892,48,+
1246204,1246239,56,-
1246940,1246983,69,+
1252935,1252981,47,-
1263761,1263796,56,-
1263889,1263922,58,-
1265220,1265243,61,-
1266416,1266454,71,-
1278759,1278799,57,+
1282418,1282449,50,+
1285352,1285370,51,+
1286869,1286899,66,+
1288257,1288282,56,+
1289842,1289884,57,+
1290734,1290757,50,-
1297205,1297237,62,+
1299224,1299261,53,+
1300002,1300037,71,+
1311628,1311655,55,-
1319028,1319060,59,+
1323225,1323251,55,-
1323932,1323966,60,+
1331469,1331492,48,+
1346229,1346256,55,-
1362550,1362572,49,+
1364330,1364358,52,+
1367481,1367500,49,-
1380486,1380509,61,+
1380948,1380968,64,-
1382435,1382452,50,+
1395199,1395218,51,+
1396069,1396086,50,+
1396593,1396633,55,+
1397247,1397282,61,+
1398072,1398092,49,+
1403134,1403154,47,+
1406020,1406051,62,+
1407914,1407944,51,+
1409139,1409183,48,+
1412897,1412928,67,+
1414093,1414138,50,+
1419253,1419273,64,+
1423094,1423125,49,-
1432138,1432182,50,+
1432302,1432332,57,-
1433732,1433761,52,-
1439823,1439841,49,+
1440775,1440806,82,+
1442033,1442054,48,-
1442933,1442954,63,+
1443958,1443988,51,-
1446128,1446172,53,+
1450982,1451018,59,+
1453103,1453134,60,+
1468787,1468821,62,+
1478621,1478656,58,+
1483377,1483415,57,+
1485298,1485317,49,+
1496971,1497003,60,-
1499993,1500029,53,+
1502184,1502213,65,+
1503612,1503635,60,+
1505034,1505064,54,+
1516752,1516798,52,-
1524429,1524451,49,-
1527309,1527342,51,+
1527603,1527634,52,+
1537549,1537593,67,+
1538068,1538094,58,+
1538548,1538574,58,+
1544505,1544523,67,+
1544805,1544829,48,+
1545650,1545678,61,+
1548147,1548166,49,-
1550268,1550292,48,+
1559605,1559623,50,+
1561663,1561684,48,+
1561771,1561815,52,+
1570449,1570473,48,-
1578772,1578803,63,+
1583327,1583353,56,+
1597688,1597707,47,+
1597947,1597981,48,-
1598243,1598260,50,+
1599315,1599341,56,+
1616036,1616057,48,+
1620171,1620204,74,+
1622542,1622559,52,+
1626583,1626603,47,+
1635766,1635783,50,+
1638609,1638637,63,+
1638945,1638973,54,+
1644858,1644889,66,+
