start,end,score,strand
253,299,47,-
2845,2888,50,+
6669,6698,52,-
6840,6887,49,-
8259,8279,47,+
15236,15265,52,+
17063,17100,53,+
17634,17657,50,+
17789,17807,49,+
18923,18968,47,+
20817,20840,70,-
21096,21128,65,-
21227,21247,47,-
21442,21468,66,-
21596,21620,48,-
22219,22250,51,-
22786,22829,68,-
23298,23322,59,-
23355,23377,61,-
23458,23476,49,-
24002,24030,54,-
24619,24641,61,-
24761,24785,59,-
25376,25407,62,-
25717,25739,49,-
26059,26100,57,-
27089,27113,48,-
27140,27173,60,+
28225,28263,61,+
29077,29119,51,+
29156,29189,64,+
29681,29717,57,+
31027,31050,48,-
32286,32311,60,-
33201,33234,61,+
33369,33407,75,-
33424,33461,74,-
35226,35246,64,+
35949,35983,57,+
36159,36178,47,+
38236,38272,58,+
39472,39497,57,+
41245,41263,50,-
42349,42386,64,-
44191,44215,59,-
44436,44473,58,+
45325,45370,48,+
45473,45493,47,+
45925,45960,62,+
46715,46758,53,+
46930,46967,74,+
48422,48455,48,+
52266,52290,69,-
53026,53045,49,-
54453,54469,53,-
54493,54520,53,-
56339,56373,76,-
56403,56427,59,-
56841,56884,81,-
57049,57075,64,-
57207,57227,51,-
57354,57392,73,-
57869,57907,58,-
63744,63776,61,-
64304,64327,49,+
64468,64491,60,-
64837,64858,48,-
65802,65826,59,-
66777,66808,61,-
68159,68189,49,-
68459,68494,50,-
68880,68922,53,-
69814,69841,66,+
70235,70252,52,-
70409,70437,55,+
70500,70519,49,-
71072,71101,52,+
72008,72039,52,-
72234,72265,62,-
72381,72424,94,+
73232,73274,57,-
73325,73344,47,-
73770,73788,49,+
75547,75568,90,-
75643,75668,57,-
75669,75705,53,-
75914,75932,52,-
77038,77064,56,-
78232,78269,61,+
78443,78485,54,-
79010,79032,61,-
79328,79353,58,+
79503,79530,55,-
79727,79751,59,+
80248,80279,48,+
80643,80674,65,+
80745,80767,61,+
81984,82001,50,+
82038,82061,60,+
82462,82497,78,+
82620,82649,79,+
82660,82692,54,+
82951,82980,68,+
83112,83148,62,+
83680,83704,76,-
83923,83949,56,+
84808,84831,63,-
85163,85187,67,+
85488,85521,48,+
85989,86006,50,+
86145,86177,79,+
86795,86832,54,+
87367,87392,69,+
88530,88568,95,-
90895,90928,47,-
91662,91681,49,-
93302,93322,49,+
93707,93735,54,-
93740,93779,68,+
97107,97147,53,-
97949,97977,54,+
99058,99099,49,-
100204,100220,70,-
101223,101259,55,-
101305,101334,68,-
101517,101543,69,-
