# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	140	1468	+					dnaA		FKV23_RS00005	1329		old_locus_tag=FKV23_00005
CDS	with_protein	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	140	1468	+	WP_141622019.1	WP_141622019.1		chromosomal replication initiator protein DnaA	dnaA		FKV23_RS00005	1329	442	
gene	protein_coding	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	1749	2849	+					dnaN		FKV23_RS00010	1101		old_locus_tag=FKV23_00010
CDS	with_protein	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	1749	2849	+	WP_141622020.1	WP_141622020.1		DNA polymerase III subunit beta	dnaN		FKV23_RS00010	1101	366	
gene	protein_coding	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	3404	4534	+					recF		FKV23_RS00015	1131		old_locus_tag=FKV23_00015
CDS	with_protein	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	3404	4534	+	WP_141622021.1	WP_141622021.1		DNA replication/repair protein RecF	recF		FKV23_RS00015	1131	376	
gene	protein_coding	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	4680	7181	+					gyrB		FKV23_RS00020	2502		old_locus_tag=FKV23_00020
CDS	with_protein	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	4680	7181	+	WP_141622022.1	WP_141622022.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		FKV23_RS00020	2502	833	
gene	protein_coding	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	7201	8019	+							FKV23_RS00025	819		old_locus_tag=FKV23_00025
CDS	with_protein	GCF_006547045.1	Primary Assembly	chromosome		NZ_CP041242.1	7201	8019	+	WP_141622023.1	WP_141622023.1		CPBP family intramembrane metalloprotease			FKV23_RS00025	819	272	
