start,end,score,strand
17577,17595,50,-
43195,43225,62,-
89084,89104,52,+
149944,149964,47,-
209430,209459,52,+
288180,288214,48,-
294688,294719,54,+
308639,308687,48,+
400589,400623,47,+
411318,411348,59,+
477902,477920,50,+
504976,504994,50,+
516360,516381,49,+
548450,548475,47,-
592798,592820,49,+
594921,594942,48,-
623328,623354,56,+
771245,771288,53,+
924786,924809,60,-
934025,934055,54,-
1042658,1042693,58,-
1042769,1042800,60,-
1104511,1104547,59,-
1212143,1212183,49,+
1267248,1267273,56,-
1270286,1270318,49,-
1347973,1348010,54,-
1414502,1414533,60,-
1502411,1502455,48,-
1566331,1566350,47,+
1684639,1684677,58,-
1701436,1701473,54,-
1722949,1722983,48,-
1745801,1745839,50,-
1941367,1941415,48,-
1978123,1978155,49,+
2065524,2065568,48,+
2094403,2094434,51,-
2191273,2191316,49,+
