# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	1	1401	+					dnaA		FPV33_00005	1401		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	1	1401	+	QDR53758.1			chromosomal replication initiator protein DnaA	dnaA		FPV33_00005	1401	466	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	1406	2506	+					dnaN		FPV33_00010	1101		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	1406	2506	+	QDR53759.1			DNA polymerase III subunit beta	dnaN		FPV33_00010	1101	366	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	2714	3787	+					recF		FPV33_00015	1074		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	2714	3787	+	QDR53760.1			DNA replication/repair protein RecF	recF		FPV33_00015	1074	357	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	3816	6230	+					gyrB		FPV33_00020	2415		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	3816	6230	+	QDR53761.1			DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		FPV33_00020	2415	804	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	6433	7245	+							FPV33_00025	813		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	6433	7245	+	QDR53762.1			sugar-phosphatase			FPV33_00025	813	270	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	7564	8577	+							FPV33_00030	1014		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	7564	8577	+	QDR53763.1			hypothetical protein			FPV33_00030	1014	337	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	8574	9713	+							FPV33_00035	1140		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	8574	9713	+	QDR53764.1			BamA/TamA family outer membrane protein			FPV33_00035	1140	379	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	9947	10636	+							FPV33_00040	690		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	9947	10636	+	QDR53765.1			FadR family transcriptional regulator			FPV33_00040	690	229	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	10633	11511	+							FPV33_00045	879		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	10633	11511	+	QDR53766.1			2-dehydro-3-deoxygalactonokinase			FPV33_00045	879	292	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	11495	12112	+							FPV33_00050	618		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	11495	12112	+	QDR53767.1			2-dehydro-3-deoxy-6-phosphogalactonate aldolase			FPV33_00050	618	205	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	12109	13257	+					dgoD		FPV33_00055	1149		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	12109	13257	+	QDR53768.1			galactonate dehydratase	dgoD		FPV33_00055	1149	382	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	13435	14772	+							FPV33_00060	1338		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	13435	14772	+	QDR53769.1			MFS transporter			FPV33_00060	1338	445	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	14824	16050	+							FPV33_00065	1227		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	14824	16050	+	QDR53770.1			DUF3748 domain-containing protein			FPV33_00065	1227	408	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	16052	16384	-							FPV33_00070	333		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	16052	16384	-	QDR53771.1			YceK/YidQ family lipoprotein			FPV33_00070	333	110	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	16683	17096	+					ibpA		FPV33_00075	414		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	16683	17096	+	QDR53772.1			heat shock chaperone IbpA	ibpA		FPV33_00075	414	137	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	17213	17641	+					ibpB		FPV33_00080	429		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	17213	17641	+	QDR53773.1			heat shock chaperone IbpB	ibpB		FPV33_00080	429	142	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	17765	19426	+							FPV33_00085	1662		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	17765	19426	+	QDR53774.1			putative transporter			FPV33_00085	1662	553	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	19394	20140	-							FPV33_00090	747		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	19394	20140	-	QDR58370.1			GntR family transcriptional regulator			FPV33_00090	747	248	
gene	protein_coding	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	20438	22060	+							FPV33_00095	1623		
CDS	with_protein	GCA_007632255.1	Primary Assembly	chromosome		CP041925.1	20438	22060	+	QDR53775.1			PTS alpha-glucoside transporter subunit IICB			FPV33_00095	1623	540	
