start,end,score,strand
3879,3902,60,+
4037,4064,58,+
14386,14423,54,+
14438,14464,56,+
15061,15082,49,+
20610,20638,83,+
20888,20907,66,+
21417,21450,47,+
23888,23911,60,+
24195,24216,72,+
41089,41119,60,+
42114,42134,64,+
42209,42232,60,-
45061,45097,54,+
47212,47229,50,+
50349,50382,68,+
55385,55407,70,+
57708,57732,59,+
63470,63515,49,+
66760,66793,64,-
66821,66846,66,+
67227,67252,57,+
68347,68376,69,+
74591,74617,56,+
90721,90764,83,+
94229,94253,59,+
95616,95639,61,-
100617,100647,68,+
103875,103908,62,+
103938,103961,60,+
107038,107057,47,+
112374,112414,53,-
113003,113037,54,+
115359,115392,52,-
118524,118548,59,+
122332,122356,86,+
125339,125365,55,+
128038,128057,47,+
133273,133302,52,-
134208,134227,47,+
134247,134266,66,+
135931,135960,51,+
136134,136154,64,+
136385,136416,65,-
143465,143483,49,+
144484,144522,98,+
144544,144586,53,+
144879,144924,47,-
150091,150117,56,-
151996,152030,56,+
154622,154640,50,+
154680,154712,63,+
156528,156571,55,-
156597,156620,50,+
161590,161612,61,+
161897,161918,49,+
169732,169762,60,+
170520,170538,49,-
188414,188433,49,+
191034,191073,55,+
192837,192863,56,+
195686,195711,66,+
196064,196097,67,+
197995,198012,52,+
203230,203263,64,-
203383,203401,51,+
204265,204308,54,-
205899,205919,51,+
208658,208689,60,+
209989,210017,71,+
210057,210081,48,+
216125,216167,57,+
217038,217063,57,+
217309,217338,65,+
223712,223747,55,-
226693,226724,51,+
230790,230816,56,+
231069,231113,47,+
231148,231189,55,-
231536,231565,65,+
233145,233177,64,-
235148,235193,48,-
242392,242413,62,+
244557,244585,71,-
246379,246403,72,+
246794,246829,71,+
251509,251536,65,+
251545,251569,60,+
256055,256079,48,-
257190,257217,57,+
257637,257668,66,+
257673,257710,73,+
259620,259652,48,-
261696,261715,49,-
263389,263423,55,+
273438,273469,63,+
276661,276700,55,+
279321,279346,47,+
281334,281374,59,+
285342,285364,49,+
285968,285984,53,+
287517,287543,69,+
287717,287753,58,-
290670,290693,49,+
294718,294750,62,+
294798,294836,74,-
294861,294886,47,-
294940,294960,52,-
298309,298338,63,+
301307,301339,54,-
301450,301473,61,+
304157,304190,61,+
304998,305024,56,+
305077,305100,61,-
308533,308550,50,+
308662,308693,64,+
309317,309354,51,-
311601,311633,80,+
334815,334835,47,+
335544,335567,48,+
340986,341026,71,-
344750,344769,49,-
344933,344967,61,-
346998,347028,54,-
348388,348415,55,-
348424,348449,66,-
353409,353428,49,+
353674,353705,55,+
362969,362991,48,+
365845,365881,47,-
374178,374198,47,+
379797,379817,48,-
385366,385386,47,+
388059,388099,58,-
391412,391431,49,+
394119,394148,52,+
395489,395533,81,-
397910,397940,65,+
400757,400793,65,+
405615,405660,49,+
406330,406362,80,+
412117,412153,65,+
413084,413109,47,+
416177,416207,82,-
424658,424676,50,+
427019,427037,49,+
430452,430483,50,-
435708,435741,67,+
437247,437284,57,+
437490,437508,50,+
441776,441801,61,+
443204,443223,49,+
443664,443681,50,+
449281,449313,65,+
458991,459023,49,+
465570,465609,71,-
469106,469145,57,-
470263,470297,51,+
471124,471156,65,+
471166,471193,83,+
476437,476459,49,-
476542,476568,58,+
479816,479857,83,+
481825,481848,60,-
485454,485480,58,-
486443,486470,55,-
490170,490187,50,+
490505,490542,58,+
495315,495333,67,+
496293,496314,73,-
497370,497390,64,-
497662,497683,63,+
503266,503295,52,+
507619,507642,61,+
523955,523979,59,+
525209,525235,56,+
528146,528174,55,+
532509,532545,58,+
535491,535510,56,+
536044,536076,59,+
536839,536880,52,-
544854,544878,48,+
545252,545275,49,+
546163,546210,47,-
548515,548546,50,+
553865,553903,59,-
567072,567102,68,+
569567,569591,48,+
583809,583857,49,-
584598,584614,53,+
586978,587007,52,+
587424,587444,64,+
594514,594537,60,+
596263,596298,64,+
598043,598065,51,-
604859,604877,50,+
606839,606870,109,+
608861,608881,49,+
610549,610573,48,-
611842,611871,65,+
617232,617266,59,+
628749,628783,59,+
630660,630683,60,-
635274,635295,51,+
642080,642103,48,-
644509,644543,50,-
650068,650086,52,-
651854,651874,47,-
667883,667902,49,-
692344,692372,61,-
695168,695192,88,+
702909,702928,51,+
704123,704141,50,+
704419,704443,59,+
705018,705052,55,+
708428,708448,49,+
713042,713057,72,+
718708,718738,51,-
720484,720502,52,-
726685,726707,48,+
728298,728322,48,-
729951,729997,108,-
732560,732585,47,+
733987,734013,86,+
737751,737770,47,-
738020,738056,57,-
738231,738257,55,+
738943,738966,49,+
739439,739472,48,-
740420,740451,57,-
744023,744049,60,-
749738,749764,56,-
751083,751115,48,+
751633,751662,52,+
752909,752933,59,+
754746,754762,52,+
755252,755283,67,-
762954,762989,76,+
770396,770413,52,+
771066,771101,59,+
772724,772743,51,-
782010,782055,63,-
787494,787513,49,+
789419,789448,68,+
797533,797553,47,+
798507,798535,54,-
798733,798757,48,+
801979,802000,63,+
802793,802822,51,+
815400,815446,52,+
815474,815499,69,-
821497,821528,95,+
821556,821586,51,-
825927,825953,56,-
829030,829055,69,+
831676,831698,48,+
832548,832572,59,+
832944,832964,47,+
833131,833159,54,+
848303,848346,55,+
853713,853737,48,+
857721,857741,49,+
861919,861936,50,-
864153,864198,53,-
874120,874140,64,+
885035,885061,61,+
890733,890774,51,+
900541,900565,60,+
901288,901318,51,+
902850,902883,51,+
903387,903404,50,-
903483,903511,54,-
904211,904236,57,+
914033,914057,48,+
916460,916477,50,+
924110,924136,66,+
925397,925441,53,-
927019,927058,53,+
931521,931543,49,+
933417,933444,86,+
940542,940568,56,+
941445,941466,48,+
943529,943549,64,-
947396,947415,51,+
950964,950982,51,+
951002,951040,53,+
960249,960275,56,-
961821,961854,48,+
962481,962507,85,+
962717,962753,65,+
969163,969186,72,+
983076,983091,72,+
987505,987526,49,+
988844,988862,51,+
990285,990304,47,-
994720,994750,65,+
997169,997206,58,+
1001953,1001973,47,+
1003278,1003298,51,+
1009061,1009087,86,+
1009599,1009631,59,+
1011406,1011426,47,+
1012631,1012675,54,+
1013698,1013726,54,+
1014384,1014401,52,+
1016491,1016538,47,+
1021096,1021116,47,-
1022187,1022214,55,-
1023220,1023242,61,+
1024449,1024469,64,+
1024490,1024507,50,+
1026315,1026336,63,+
1033099,1033128,61,+
1037836,1037852,52,+
1038845,1038874,52,+
1039560,1039583,60,+
1058566,1058590,104,-
1060338,1060362,48,+
1060593,1060635,50,+
1061299,1061320,63,-
1067318,1067342,48,-
1069310,1069341,48,-
1070239,1070259,48,-
1075506,1075549,54,-
1079971,1079998,66,-
1083392,1083409,52,-
1091082,1091118,58,-
1091709,1091739,62,-
1095961,1095983,61,-
1102479,1102516,62,-
1102628,1102651,48,+
1103044,1103077,63,-
1104624,1104657,56,-
1105391,1105424,48,+
1120119,1120153,64,-
1120555,1120574,47,-
1129064,1129093,60,+
1136271,1136291,51,-
1138524,1138548,59,-
1144027,1144061,62,-
1144834,1144854,64,+
1149262,1149283,52,-
1152687,1152712,57,-
1157374,1157398,48,+
1157746,1157783,54,+
1157892,1157923,50,-
1158654,1158688,91,-
1162150,1162197,105,+
1162556,1162587,50,-
1164240,1164272,49,+
1164960,1164981,49,-
1165455,1165484,52,-
1167402,1167424,48,-
1170867,1170904,61,-
1172777,1172793,52,-
1177625,1177647,48,-
1184621,1184641,49,-
1185091,1185124,59,-
1186462,1186482,47,+
1190273,1190294,49,-
1190369,1190398,51,-
1191203,1191230,66,-
1204710,1204734,61,-
1206716,1206754,58,+
1208121,1208147,56,-
1208433,1208471,55,-
1209959,1209991,80,+
1215167,1215188,51,-
1224277,1224298,48,-
1231320,1231339,47,-
1233547,1233596,48,+
1235620,1235636,70,-
1235642,1235675,48,+
1237391,1237410,66,-
1247923,1247968,53,+
1249992,1250025,60,-
1253555,1253579,48,-
1254222,1254249,55,-
1254758,1254776,50,-
1261426,1261455,52,-
1261732,1261764,50,-
1261859,1261891,49,-
1276913,1276930,69,-
1280529,1280559,51,-
1281137,1281168,60,-
1285423,1285443,64,-
1285734,1285756,61,-
1286395,1286410,72,-
1289000,1289047,48,-
1289983,1290023,49,+
1292899,1292921,49,+
1295748,1295771,49,-
1296891,1296910,47,-
1297022,1297042,49,-
1301282,1301306,59,+
1305608,1305631,50,-
1311761,1311777,70,-
1311928,1311951,49,-
1314779,1314804,67,-
1318475,1318522,49,+
1320510,1320528,50,-
1326564,1326600,48,+
1336930,1336956,63,-
1343092,1343121,65,+
1343251,1343280,60,-
1345636,1345666,51,+
1348871,1348896,56,+
1353942,1353966,71,-
1361342,1361362,47,-
1364760,1364797,61,-
1364833,1364852,49,-
1365297,1365335,51,+
1366505,1366543,57,-
1369601,1369623,61,-
1370437,1370463,58,+
1373247,1373274,55,+
1374251,1374271,47,-
1380457,1380477,64,-
1383145,1383179,56,+
1397070,1397090,48,-
1399269,1399297,55,-
1406477,1406501,59,-
1408967,1408995,54,-
1411339,1411365,85,-
1415165,1415201,75,+
1417733,1417769,56,-
1418210,1418240,60,-
1420274,1420294,64,-
1422404,1422442,59,+
1422455,1422490,55,+
1422555,1422583,81,-
1426228,1426273,49,-
1426454,1426490,53,+
1427377,1427411,63,-
1427436,1427473,53,-
1433423,1433451,80,+
1433539,1433577,104,-
1436294,1436333,59,-
1439920,1439945,57,-
1448823,1448861,61,-
1452652,1452675,49,-
1456405,1456428,49,-
1462441,1462474,57,+
1463728,1463751,60,-
1463906,1463947,54,+
1466497,1466516,66,+
1467261,1467277,52,-
1470660,1470682,48,-
1475671,1475703,49,-
1477014,1477059,48,+
1479983,1480022,86,-
1483029,1483071,91,-
1491854,1491874,49,-
1496671,1496714,49,-
1504259,1504299,57,-
1506759,1506784,47,+
1507025,1507049,48,-
1507346,1507370,59,-
1511618,1511650,65,-
1511692,1511732,71,-
1512198,1512226,71,-
1514881,1514905,59,-
