# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	2753287	136	-					pdxH	67367633	CKG22_RS00005	633		old_locus_tag=CKG22_00005
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	2753287	136	-	WP_006249388.1	WP_006249388.1		pyridoxamine 5'-phosphate oxidase	pdxH	67367633	CKG22_RS00005	633	210	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	194	1576	-					selA	67367634	CKG22_RS00010	1383		old_locus_tag=CKG22_00010
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	194	1576	-	WP_006249387.1	WP_006249387.1		L-seryl-tRNA(Sec) selenium transferase	selA	67367634	CKG22_RS00010	1383	460	
gene	tRNA	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	1644	1738	+						67367635	CKG22_RS00015	95		old_locus_tag=CKG22_00015
tRNA		GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	1644	1738	+				tRNA-Sec		67367635	CKG22_RS00015	95		anticodon=TCA
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	1945	2634	+						67367636	CKG22_RS00020	690		old_locus_tag=CKG22_00020
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	1945	2634	+	WP_006253448.1	WP_006253448.1		N-acetylmannosamine-6-phosphate 2-epimerase		67367636	CKG22_RS00020	690	229	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	2644	3546	+						67367637	CKG22_RS00025	903		old_locus_tag=CKG22_00025
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	2644	3546	+	WP_006248965.1	WP_006248965.1		N-acetylmannosamine kinase		67367637	CKG22_RS00025	903	300	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	3571	4449	+					nanA	67367638	CKG22_RS00030	879		old_locus_tag=CKG22_00030
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	3571	4449	+	WP_006248966.1	WP_006248966.1		N-acetylneuraminate lyase	nanA	67367638	CKG22_RS00030	879	292	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	4510	4716	-						67367639	CKG22_RS00035	207		old_locus_tag=CKG22_00035
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	4510	4716	-	WP_006253447.1	WP_006253447.1		hypothetical protein		67367639	CKG22_RS00035	207	68	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	4674	5312	-						67367640	CKG22_RS00040	639		old_locus_tag=CKG22_00040
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	4674	5312	-	WP_006248968.1	WP_006248968.1		hypothetical protein		67367640	CKG22_RS00040	639	212	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	5554	6273	-						67367641	CKG22_RS00045	720		old_locus_tag=CKG22_00045
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	5554	6273	-	WP_006248970.1	WP_006248970.1		helix-turn-helix transcriptional regulator		67367641	CKG22_RS00045	720	239	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	6450	6728	+						67367642	CKG22_RS00050	279		old_locus_tag=CKG22_00050
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	6450	6728	+	WP_006248972.1	WP_006248972.1		helix-turn-helix domain-containing protein		67367642	CKG22_RS00050	279	92	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	6773	7576	+						67367643	CKG22_RS00055	804		old_locus_tag=CKG22_00055
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	6773	7576	+	WP_006253446.1	WP_006253446.1		transposase		67367643	CKG22_RS00055	804	267	
gene	pseudogene	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	7543	8055	+						67367644	CKG22_RS00060	513		partial;pseudo;old_locus_tag=CKG22_00060
CDS	without_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	7543	8055	+				phage tail protein		67367644	CKG22_RS00060	513		partial;pseudo
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	8066	8440	+						67367645	CKG22_RS00065	375		old_locus_tag=CKG22_00065
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	8066	8440	+	WP_006253444.1	WP_006253444.1		hypothetical protein		67367645	CKG22_RS00065	375	124	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	8440	8808	+						67367646	CKG22_RS00070	369		old_locus_tag=CKG22_00070
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	8440	8808	+	WP_006253443.1	WP_006253443.1		hypothetical protein		67367646	CKG22_RS00070	369	122	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	8838	9026	+						67367647	CKG22_RS00075	189		old_locus_tag=CKG22_00075
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	8838	9026	+	WP_006251296.1	WP_006251296.1		hypothetical protein		67367647	CKG22_RS00075	189	62	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	9079	10074	+						67367648	CKG22_RS00080	996		old_locus_tag=CKG22_00080
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	9079	10074	+	WP_006253442.1	WP_006253442.1		phage tail tape measure protein		67367648	CKG22_RS00080	996	331	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	10023	10580	+						67367649	CKG22_RS00085	558		old_locus_tag=CKG22_00085
CDS	with_protein	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	10023	10580	+	WP_015586972.1	WP_015586972.1		DUF2313 domain-containing protein		67367649	CKG22_RS00085	558	185	
gene	protein_coding	GCF_002285575.1	Primary Assembly	chromosome		NZ_CP023044.1	10577	12637	+						67367650	CKG22_RS00090	2061		old_locus_tag=CKG22_00090
