start,end,score,strand
14762,14799,50,+
20917,20939,61,+
53919,53954,50,+
66210,66230,47,+
66555,66582,53,+
71235,71262,60,+
79686,79704,49,+
91444,91492,48,+
116494,116513,47,+
136142,136162,49,+
165165,165186,48,+
177942,177986,53,+
185545,185569,48,-
200126,200143,69,+
214168,214198,57,+
220963,220989,56,+
245653,245687,59,+
258458,258482,48,+
263766,263799,48,+
267196,267226,68,-
279601,279634,67,+
288036,288074,54,+
301608,301638,51,+
305814,305832,49,+
309941,309971,51,+
313415,313440,57,+
318000,318018,67,+
318236,318270,47,+
320286,320302,53,+
323639,323669,63,-
329096,329115,49,+
331671,331691,54,+
332798,332826,71,-
336958,336981,48,+
349422,349441,49,+
363687,363712,69,+
372042,372074,60,+
374322,374355,51,+
385931,385954,48,-
392796,392819,60,+
395912,395935,48,+
396607,396628,62,+
396750,396770,64,+
398367,398392,47,+
399940,399983,47,-
400867,400895,65,+
403651,403671,64,+
409175,409196,48,-
420035,420055,49,+
423511,423532,49,+
435766,435783,50,+
443403,443423,47,+
457264,457279,53,-
458381,458409,71,+
467880,467921,53,+
468586,468610,48,+
474246,474267,48,+
476130,476150,47,+
489906,489947,53,+
518696,518729,60,+
518932,518962,64,+
525023,525059,47,-
526997,527021,59,+
540778,540814,61,+
546482,546499,50,+
550704,550727,59,+
557623,557639,52,+
562504,562525,63,+
573240,573270,63,+
597936,597958,48,+
608334,608368,64,+
614929,614960,50,-
617769,617799,49,+
621664,621705,49,+
627171,627197,66,-
636467,636493,56,-
640843,640873,111,-
651179,651210,49,-
652366,652404,59,+
671524,671555,59,-
702059,702075,53,-
703477,703506,61,-
704305,704343,61,+
709787,709820,51,-
711574,711622,47,-
715064,715084,49,+
717324,717368,54,+
736056,736096,50,-
740410,740429,47,-
753207,753236,52,-
756609,756648,58,-
762368,762387,66,-
762677,762697,49,-
767934,767965,55,+
786814,786857,52,+
823674,823696,61,+
825454,825472,52,+
851830,851855,67,-
869654,869682,52,-
886771,886803,52,-
892575,892593,49,-
895462,895486,48,-
896777,896795,51,-
901571,901611,55,-
925521,925545,48,-
935256,935276,47,-
936756,936779,49,+
941941,941978,58,+
944784,944802,52,-
946479,946519,52,-
972351,972371,48,+
976831,976866,59,+
979908,979948,54,-
985080,985104,48,-
989608,989646,62,-
998417,998454,51,-
1003625,1003669,50,-
1013336,1013353,69,-
1028769,1028800,95,-
1034606,1034642,73,-
1043193,1043211,52,-
1045107,1045148,48,-
1049800,1049830,55,-
1049922,1049950,54,-
1053427,1053465,55,-
1053615,1053647,49,+
1054086,1054119,52,-
1058775,1058802,72,-
1058875,1058892,50,-
1059684,1059713,67,-
1061869,1061896,53,-
1064679,1064704,58,-
1069938,1069970,58,-
1072333,1072352,49,-
1079484,1079504,49,-
1080620,1080657,56,+
1083399,1083420,49,-
1102045,1102075,51,-
1102914,1102936,61,-
1106684,1106711,60,-
1108791,1108815,48,-
1109746,1109773,66,-
1111211,1111227,52,-
1112989,1113027,59,-
1134166,1134203,55,-
1136708,1136733,69,-
1163326,1163344,50,-
1164977,1164994,52,-
1165802,1165835,48,-
1178513,1178533,47,-
1189663,1189698,62,-
1207250,1207278,57,-
1228612,1228649,55,-
1228833,1228857,48,-
1232030,1232070,54,-
1240466,1240488,61,-
1246918,1246948,60,-
1261247,1261273,60,-
1265927,1265944,50,-
1270263,1270286,48,-
1276194,1276215,48,-
1302786,1302819,59,-
1305806,1305842,59,-
1309722,1309743,48,+
1322677,1322701,59,-
1338136,1338155,51,-
1364349,1364381,51,+
1365560,1365582,61,-
1380152,1380182,64,-
1406201,1406234,60,-
1417069,1417091,70,-
1420287,1420312,61,-
1425317,1425339,48,-
1426512,1426541,52,+
1426952,1426979,66,+
1432952,1432976,48,-
1443386,1443410,70,-
1446438,1446472,59,+
1459245,1459277,59,+
1461712,1461735,49,-
1468996,1469036,53,+
1519572,1519612,54,-
1525911,1525930,47,-
1532000,1532024,61,-
