# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	1	1398	+					dnaA		AWR26_RS00005	1398		old_locus_tag=AWR26_00005
CDS	with_protein	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	1	1398	+	WP_043956000.1	WP_043956000.1		chromosomal replication initiator protein DnaA	dnaA		AWR26_RS00005	1398	465	
gene	protein_coding	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	1403	2503	+					dnaN		AWR26_RS00010	1101		old_locus_tag=AWR26_00010
CDS	with_protein	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	1403	2503	+	WP_007369398.1	WP_007369398.1		DNA polymerase III subunit beta	dnaN		AWR26_RS00010	1101	366	
gene	protein_coding	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	2649	3722	+					recF		AWR26_RS00015	1074		old_locus_tag=AWR26_00015
CDS	with_protein	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	2649	3722	+	WP_007369399.1	WP_007369399.1		DNA replication/repair protein RecF	recF		AWR26_RS00015	1074	357	
gene	protein_coding	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	3751	6165	+					gyrB		AWR26_RS00020	2415		old_locus_tag=AWR26_00020
CDS	with_protein	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	3751	6165	+	WP_064562529.1	WP_064562529.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		AWR26_RS00020	2415	804	
gene	protein_coding	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	6389	7201	+					yidA		AWR26_RS00025	813		old_locus_tag=AWR26_00030
CDS	with_protein	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	6389	7201	+	WP_064562536.1	WP_064562536.1		sugar-phosphatase	yidA		AWR26_RS00025	813	270	
gene	protein_coding	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	7317	8543	+							AWR26_RS00030	1227		old_locus_tag=AWR26_00035
CDS	with_protein	GCF_001658025.2	Primary Assembly	chromosome		NZ_CP014007.2	7317	8543	+	WP_064562538.1	WP_064562538.1		DUF3748 domain-containing protein			AWR26_RS00030	1227	408	
