# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	1	1404	+					dnaA		I8N75_00005	1404		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	1	1404	+	QPV87144.1			chromosomal replication initiator protein DnaA	dnaA		I8N75_00005	1404	467	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	1409	2509	+					dnaN		I8N75_00010	1101		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	1409	2509	+	QPV87145.1			DNA polymerase III subunit beta	dnaN		I8N75_00010	1101	366	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	2658	3731	+					recF		I8N75_00015	1074		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	2658	3731	+	QPV87146.1			DNA replication/repair protein RecF	recF		I8N75_00015	1074	357	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	3760	6174	+					gyrB		I8N75_00020	2415		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	3760	6174	+	QPV87147.1			DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		I8N75_00020	2415	804	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	6373	7185	+					yidA		I8N75_00025	813		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	6373	7185	+	QPV87148.1			sugar-phosphatase	yidA		I8N75_00025	813	270	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	7336	8418	+							I8N75_00030	1083		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	7336	8418	+	QPV87149.1			hypothetical protein			I8N75_00030	1083	360	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	8439	9554	+							I8N75_00035	1116		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	8439	9554	+	QPV89490.1			BamA/TamA family outer membrane protein			I8N75_00035	1116	371	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	9632	10858	+							I8N75_00040	1227		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	9632	10858	+	QPV87150.1			DUF3748 domain-containing protein			I8N75_00040	1227	408	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	10860	11192	-							I8N75_00045	333		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	10860	11192	-	QPV87151.1			YceK/YidQ family lipoprotein			I8N75_00045	333	110	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	11506	11919	+					ibpA		I8N75_00050	414		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	11506	11919	+	QPV87152.1			heat shock chaperone IbpA	ibpA		I8N75_00050	414	137	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	12036	12464	+					ibpB		I8N75_00055	429		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	12036	12464	+	QPV87153.1			heat shock chaperone IbpB	ibpB		I8N75_00055	429	142	
gene	protein_coding	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	12610	14271	+							I8N75_00060	1662		
CDS	with_protein	GCA_016415705.1	Primary Assembly	chromosome		CP065838.1	12610	14271	+	QPV87154.1			putative transporter			I8N75_00060	1662	553	
