start,end,score,strand
54623,54653,55,-
105125,105155,57,+
143901,143937,54,-
279922,279942,49,+
315678,315706,61,-
354564,354586,51,+
375219,375262,49,-
409308,409326,49,+
412815,412833,49,-
434773,434805,49,+
449793,449812,47,-
455271,455301,52,-
502018,502057,54,-
582257,582280,60,+
681004,681039,59,+
689963,690002,55,-
697461,697491,51,-
750029,750066,57,+
823297,823340,49,-
862371,862401,59,+
895373,895391,50,+
926702,926722,49,+
958731,958754,60,-
1159414,1159432,50,-
1199369,1199385,52,+
1201824,1201868,52,-
1248353,1248379,56,-
1260468,1260490,51,+
1292304,1292323,47,-
1323204,1323239,50,+
1409931,1409963,59,+
1438160,1438181,53,-
1450006,1450043,56,-
1549693,1549722,52,-
1568433,1568463,59,-
1649811,1649843,49,-
1655889,1655918,52,+
1692328,1692356,54,+
1769008,1769045,58,-
1776461,1776485,59,-
1836440,1836474,48,-
1842537,1842562,57,-
1868538,1868568,51,+
1951925,1951951,56,+
1953022,1953038,70,+
1953065,1953083,67,-
2035280,2035303,48,-
2079404,2079423,49,-
2082910,2082946,64,-
2088146,2088180,51,-
2088834,2088867,47,-
2094131,2094151,48,+
2095390,2095418,66,+
2110488,2110530,47,-
2127601,2127638,56,+
2128552,2128588,58,+
2162164,2162187,59,+
2169042,2169068,56,+
2182550,2182567,52,+
2215514,2215558,52,-
2280934,2280964,63,+
2283295,2283314,49,+
2330367,2330388,48,-
2365733,2365752,52,-
2369789,2369811,51,+
2381955,2381976,63,-
2416121,2416140,47,-
2512517,2512545,69,-
2649402,2649439,58,-
2725950,2725984,59,-
2743749,2743777,52,-
