start,end,score,strand
18719,18739,64,-
20922,20939,52,+
23400,23423,48,+
29812,29840,65,+
35864,35892,67,+
42417,42459,55,+
48007,48038,65,+
48861,48883,70,-
48933,48955,89,+
49931,49951,64,-
50204,50239,50,-
51061,51093,65,+
51202,51240,58,-
54693,54724,51,+
59144,59174,51,+
67663,67696,60,-
68844,68876,49,+
72947,72967,64,+
73381,73423,53,+
92859,92884,64,+
95932,95969,74,-
105808,105839,64,+
141651,141678,66,+
157104,157126,70,-
161435,161468,48,+
162897,162915,50,+
169517,169536,66,+
169558,169594,62,-
174408,174429,48,+
184446,184466,64,-
199468,199490,61,+
203087,203107,64,-
206280,206307,66,-
208140,208164,94,-
208167,208189,89,+
209378,209398,47,-
209626,209655,52,+
213231,213248,52,+
218585,218617,49,+
221922,221942,64,+
221956,221976,64,-
246411,246443,49,-
248708,248742,47,-
254720,254742,70,+
267370,267392,89,-
267444,267473,86,+
269213,269233,64,+
274454,274485,50,+
282447,282484,61,-
286343,286365,70,-
289252,289269,50,-
289522,289543,72,+
289561,289581,64,-
290883,290906,70,-
297858,297888,51,-
299721,299743,70,-
299780,299802,89,+
306097,306112,72,+
313043,313060,50,+
314796,314816,64,+
316309,316331,70,-
316381,316403,89,+
321700,321719,47,+
322206,322228,70,-
322278,322300,89,+
323034,323054,64,+
326874,326893,49,+
332793,332825,49,+
335000,335019,51,+
342727,342747,64,+
351062,351091,67,+
355670,355690,64,+
357592,357616,48,+
358027,358066,51,-
359805,359827,70,+
369008,369029,62,+
377933,377953,64,-
379487,379507,64,-
379777,379797,64,+
385265,385285,64,-
388035,388073,54,-
394192,394212,64,+
394231,394251,64,-
401006,401028,70,-
401032,401056,60,+
410772,410789,69,-
420489,420511,51,+
447224,447245,48,-
478860,478884,59,-
479869,479907,58,-
481309,481330,48,+
496982,497013,59,+
505911,505931,64,+
529020,529057,55,+
539561,539580,47,-
541421,541443,70,-
542269,542307,58,+
542416,542448,65,-
543270,543305,50,+
543558,543578,64,+
543835,543867,49,-
544131,544167,59,-
544365,544395,52,-
545896,545926,51,+
550015,550047,63,+
562527,562549,49,+
564747,564775,68,+
568592,568612,64,-
568667,568690,69,+
570148,570179,59,-
570771,570806,48,-
573452,573472,49,-
576887,576910,50,-
579850,579884,48,+
586249,586272,60,+
588091,588125,56,+
591150,591172,89,-
591245,591267,70,+
594573,594596,63,+
596046,596068,61,+
