# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	3270642	644	-							LYSCAS_RS15930	654		
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	3270642	644	-	WP_244858596.1	WP_244858596.1		catalase			LYSCAS_RS15930	654	217	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	746	1198	-							LYSCAS_RS00010	453		old_locus_tag=LYSCAS_00010
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	746	1198	-	WP_213435016.1	WP_213435016.1		hypothetical protein			LYSCAS_RS00010	453	150	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	1332	1523	-							LYSCAS_RS00015	192		old_locus_tag=LYSCAS_00020
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	1332	1523	-	WP_213435017.1	WP_213435017.1		hypothetical protein			LYSCAS_RS00015	192	63	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	1667	2155	+							LYSCAS_RS00020	489		old_locus_tag=LYSCAS_00030
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	1667	2155	+	WP_213435018.1	WP_213435018.1		VOC family protein			LYSCAS_RS00020	489	162	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	2166	3368	-							LYSCAS_RS00025	1203		old_locus_tag=LYSCAS_00040
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	2166	3368	-	WP_213435019.1	WP_213435019.1		GAF domain-containing sensor histidine kinase			LYSCAS_RS00025	1203	400	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	3511	3951	+							LYSCAS_RS00030	441		old_locus_tag=LYSCAS_00050
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	3511	3951	+	WP_213435020.1	WP_213435020.1		response regulator			LYSCAS_RS00030	441	146	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	3957	4418	+							LYSCAS_RS00035	462		old_locus_tag=LYSCAS_00060
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	3957	4418	+	WP_213435021.1	WP_213435021.1		NUDIX domain-containing protein			LYSCAS_RS00035	462	153	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	4420	4686	-							LYSCAS_RS00040	267		old_locus_tag=LYSCAS_00070
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	4420	4686	-	WP_213435022.1	WP_213435022.1		DksA/TraR family C4-type zinc finger protein			LYSCAS_RS00040	267	88	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	4821	5309	+							LYSCAS_RS00045	489		old_locus_tag=LYSCAS_00080
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	4821	5309	+	WP_213435023.1	WP_213435023.1		VOC family protein			LYSCAS_RS00045	489	162	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	6273	8339	+							LYSCAS_RS00050	2067		old_locus_tag=LYSCAS_00090
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	6273	8339	+	WP_213435024.1	WP_213435024.1		hypothetical protein			LYSCAS_RS00050	2067	688	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	8346	8702	-							LYSCAS_RS00055	357		old_locus_tag=LYSCAS_00100
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	8346	8702	-	WP_213435025.1	WP_213435025.1		YciI family protein			LYSCAS_RS00055	357	118	
gene	pseudogene	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	8884	9033	+							LYSCAS_RS15935	150		partial;pseudo
CDS	without_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	8884	9033	+				zf-TFIIB domain-containing protein			LYSCAS_RS15935	150		partial;pseudo
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	9104	10510	-							LYSCAS_RS00065	1407		old_locus_tag=LYSCAS_00120
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	9104	10510	-	WP_213435027.1	WP_213435027.1		aminotransferase class V-fold PLP-dependent enzyme			LYSCAS_RS00065	1407	468	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	10704	11714	+							LYSCAS_RS00070	1011		old_locus_tag=LYSCAS_00130
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	10704	11714	+	WP_213435028.1	WP_213435028.1		hypothetical protein			LYSCAS_RS00070	1011	336	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	11796	12515	-							LYSCAS_RS00075	720		old_locus_tag=LYSCAS_00140
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	11796	12515	-	WP_213435029.1	WP_213435029.1		SOS response-associated peptidase family protein			LYSCAS_RS00075	720	239	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	12544	14322	-							LYSCAS_RS00080	1779		old_locus_tag=LYSCAS_00150
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	12544	14322	-	WP_213435030.1	WP_213435030.1		CPBP family intramembrane metalloprotease			LYSCAS_RS00080	1779	592	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	14433	15152	+					aqpZ		LYSCAS_RS00085	720		old_locus_tag=LYSCAS_00160
CDS	with_protein	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	14433	15152	+	WP_244858598.1	WP_244858598.1		aquaporin Z	aqpZ		LYSCAS_RS00085	720	239	
gene	protein_coding	GCF_018406605.1	Primary Assembly	chromosome		NZ_AP024545.1	15225	15590	+							LYSCAS_RS00090	366		old_locus_tag=LYSCAS_00170
