start,end,score,strand
5833,5866,62,-
6749,6770,63,-
8431,8447,52,-
30334,30378,49,+
31738,31757,47,+
50816,50834,50,+
53396,53413,52,-
56959,56977,49,+
73339,73367,54,+
119050,119084,55,+
158225,158261,61,+
175986,176002,52,+
180237,180254,50,+
193323,193353,68,-
194191,194208,50,+
199557,199575,52,+
200415,200434,49,+
202115,202147,50,-
202319,202340,51,+
209109,209130,53,+
210382,210416,51,+
213155,213182,55,-
216791,216815,48,+
232374,232394,51,+
254712,254739,58,+
262537,262560,48,-
271160,271190,51,-
273164,273185,51,+
277536,277570,61,+
282015,282046,68,+
283094,283122,52,+
289725,289747,48,+
306163,306188,47,+
313759,313781,51,+
321314,321334,48,+
329343,329370,55,-
330375,330396,49,-
352934,352958,59,+
359429,359454,47,+
394453,394484,50,+
426545,426569,48,+
443342,443389,47,+
443970,443993,60,-
470427,470459,48,+
472789,472818,101,+
473294,473324,65,+
514383,514406,49,+
518396,518439,48,+
518556,518574,49,+
562246,562272,56,+
562732,562762,68,+
566723,566751,54,+
588191,588227,58,+
665749,665774,47,+
668769,668788,47,+
678310,678342,47,-
681285,681313,85,+
685418,685463,50,+
685684,685722,54,+
694914,694939,47,+
701672,701696,48,+
733715,733734,51,+
743327,743363,48,-
746565,746587,49,+
753463,753483,49,+
759333,759351,49,-
797046,797071,47,+
808972,809004,58,+
809103,809124,48,-
811459,811481,61,+
821073,821103,51,-
830620,830659,55,-
836447,836465,67,+
839664,839683,47,+
855071,855101,68,+
861064,861089,57,+
870349,870374,57,+
883858,883890,50,+
946846,946883,58,+
958869,958899,68,-
959482,959502,49,+
964596,964631,88,+
966511,966530,51,+
967040,967076,59,-
971857,971877,47,-
988516,988541,47,-
994559,994602,53,-
995723,995751,68,+
997305,997336,65,+
1042815,1042838,60,+
1055176,1055207,70,+
1063417,1063450,79,-
1066451,1066475,67,+
1068470,1068506,76,-
1068589,1068617,54,-
1086725,1086749,59,+
1088207,1088223,52,+
1106883,1106925,50,+
1111266,1111299,62,+
