start,end,score,strand
310,349,50,+
3166,3197,62,-
8035,8054,49,-
11941,11970,51,+
12429,12450,48,-
17797,17816,47,+
21451,21478,69,-
22440,22458,49,+
22988,23024,55,-
23913,23936,61,-
24647,24688,54,-
27358,27380,61,+
27870,27905,50,+
29007,29052,52,-
30451,30476,57,+
33635,33672,47,+
34634,34661,55,+
35621,35649,54,-
37627,37660,48,+
39872,39904,59,-
41261,41279,50,+
41535,41571,56,-
42349,42372,48,-
48167,48199,62,+
49399,49440,53,-
49765,49781,53,-
50531,50560,62,-
50854,50877,48,-
53747,53776,68,+
55028,55051,48,+
55671,55702,60,+
56565,56591,56,+
57012,57048,62,+
57493,57534,53,-
58585,58602,50,+
58740,58770,64,+
59944,59974,68,+
61146,61167,49,+
61836,61870,48,-
62576,62597,63,+
65745,65773,66,-
66462,66494,49,-
68628,68667,54,-
69317,69359,52,+
71689,71705,70,-
71925,71960,71,-
72097,72117,64,-
72600,72628,55,-
72742,72766,48,-
72778,72801,61,-
74818,74857,57,+
74882,74904,49,+
75268,75301,76,+
76715,76751,54,-
77747,77765,49,-
80718,80756,57,+
80873,80917,54,+
81000,81018,49,-
81158,81179,63,+
81326,81359,59,-
81368,81389,48,-
82324,82349,56,-
82356,82379,49,+
82748,82764,70,-
83363,83398,56,+
86350,86371,49,+
87102,87135,59,+
87779,87804,47,+
88653,88684,50,+
89871,89909,58,+
91624,91654,60,+
92184,92214,82,+
93109,93142,75,+
93268,93300,49,+
93550,93594,49,-
95600,95615,53,-
95638,95657,47,+
96098,96117,47,+
96255,96283,54,+
96885,96912,63,+
98678,98699,73,+
99394,99426,76,+
101063,101097,59,+
105373,105395,63,+
105531,105578,48,+
107268,107304,61,+
109279,109302,48,+
125611,125638,72,-
126463,126498,55,-
126734,126758,87,-
128559,128579,49,-
128622,128642,49,-
131389,131428,55,-
132692,132728,57,-
133827,133847,47,-
136394,136417,49,+
136425,136448,49,-
137220,137246,56,-
137647,137671,59,+
137821,137842,49,+
138265,138295,51,+
138913,138952,57,+
140997,141020,60,+
143617,143636,47,+
144559,144588,63,+
144684,144725,55,+
145528,145555,55,-
148932,148953,72,-
150627,150651,61,-
151061,151088,55,+
152813,152853,57,-
159090,159109,49,-
160952,160992,52,+
165587,165619,64,-
170888,170915,55,+
171602,171621,47,+
174420,174444,48,+
174542,174574,63,+
175690,175724,74,+
183588,183606,49,-
185313,185344,65,+
185447,185465,49,-
189712,189739,55,-
191032,191060,66,-
191895,191922,55,+
192096,192124,61,+
192637,192660,60,-
192666,192694,68,+
192853,192877,48,-
194308,194356,48,+
195543,195570,55,+
199249,199282,74,+
199435,199478,54,+
199814,199833,49,+
202086,202110,59,+
204402,204430,54,+
204660,204683,60,-
209203,209251,47,+
212387,212431,47,-
216190,216213,60,-
221093,221108,72,+
223687,223727,53,-
226439,226474,90,-
227786,227806,47,+
228382,228411,52,+
228931,228953,48,+
229764,229786,49,+
231413,231439,71,-
231904,231939,58,+
232702,232721,49,+
233950,233985,59,+
234483,234524,48,-
234624,234662,54,+
238324,238355,79,+
239616,239646,51,-
239807,239854,49,+
240387,240409,51,+
241872,241898,66,+
243995,244030,62,+
245016,245044,66,+
245320,245355,52,+
245750,245787,58,+
247439,247466,53,+
248036,248065,65,+
250151,250189,59,+
250371,250413,50,+
250640,250659,49,+
250992,251017,57,+
251036,251053,52,+
251067,251092,57,+
251228,251260,62,-
251254,251275,63,+
253085,253117,60,+
254983,255015,49,+
255599,255617,49,+
256430,256472,69,+
257717,257750,61,+
258359,258382,60,+
261726,261764,58,-
266633,266657,48,+
269831,269859,69,-
270982,270998,52,+
271209,271235,64,+
272754,272788,60,+
275808,275831,71,+
275905,275931,56,+
276708,276726,52,-
277820,277844,86,+
278414,278440,55,+
279281,279323,55,+
279786,279809,60,+
291179,291203,59,+
291278,291312,60,-
291613,291635,48,+
291832,291865,62,-
292489,292516,60,+
292916,292939,60,-
293613,293633,48,-
294342,294375,67,+
294939,294978,58,+
295356,295381,58,+
296581,296617,59,-
297488,297508,47,+
298172,298197,57,+
298491,298516,47,-
298627,298667,58,+
298824,298858,51,-
299603,299620,69,+
300103,300134,83,+
300248,300277,79,-
302922,302940,49,+
305779,305810,50,+
305821,305850,55,+
306967,307009,55,+
308131,308163,49,+
308323,308345,61,+
310684,310727,47,+
311203,311224,63,-
311954,311983,52,-
312069,312088,47,+
316897,316922,47,+
317910,317944,57,-
318299,318323,59,+
318441,318476,56,+
319101,319118,69,+
319944,319960,52,+
320705,320746,57,+
320925,320945,48,+
322509,322543,59,+
328723,328748,57,+
330635,330657,61,-
331352,331400,48,-
331975,332013,54,-
332959,333004,52,-
334409,334438,55,+
334420,334458,55,-
336808,336848,58,-
338127,338157,60,+
341174,341189,53,-
342028,342061,62,-
342430,342451,49,-
342811,342840,52,-
345405,345427,48,+
346060,346088,61,+
348952,348992,49,-
349198,349229,50,-
349919,349946,71,+
350949,350989,71,+
351851,351881,79,-
351902,351933,61,-
352819,352862,49,-
352903,352940,55,+
353127,353156,62,+
353159,353181,61,+
353220,353260,85,+
353348,353381,58,+
358071,358109,59,+
358147,358187,85,+
358275,358308,58,+
360634,360661,66,+
362181,362210,52,-
362372,362418,49,+
363634,363651,50,-
365976,366011,54,-
366530,366559,52,-
367563,367598,58,-
367870,367914,49,-
369480,369524,52,-
370941,370962,63,-
371475,371499,59,+
372287,372316,52,-
372666,372694,63,-
372881,372916,88,+
375745,375771,56,+
376677,376699,48,-
378058,378099,70,+
378442,378490,49,-
