start,end,score,strand
1671,1696,47,+
12944,12962,50,+
19643,19669,56,+
31278,31308,60,-
49317,49348,62,+
92989,93008,47,-
94500,94524,59,+
102844,102875,50,+
118252,118297,92,+
127733,127769,48,+
143188,143228,53,+
148126,148152,56,-
158689,158722,47,+
160156,160191,75,+
173294,173317,48,+
215796,215816,47,+
225118,225153,57,+
232371,232390,49,+
257267,257291,48,-
258818,258856,51,+
271795,271823,54,+
274826,274846,49,+
288257,288289,59,-
291122,291156,64,+
308421,308442,63,+
320676,320698,48,+
357688,357725,54,-
371257,371279,61,+
373728,373744,52,+
373995,374029,58,+
401147,401182,62,+
408083,408129,52,-
438506,438546,53,+
440900,440941,70,+
441110,441149,58,+
441354,441394,53,+
450783,450800,50,+
457531,457568,61,+
465022,465041,52,+
469189,469208,47,-
477415,477437,51,+
488413,488434,51,-
493796,493816,64,+
506549,506579,67,+
515842,515872,60,-
535191,535208,50,+
537185,537209,48,-
538275,538298,49,+
542429,542470,47,+
583263,583284,51,+
593183,593213,51,+
593399,593428,52,+
602126,602150,48,+
621633,621650,50,-
631851,631880,57,+
632965,633006,58,+
635187,635220,47,-
641346,641367,63,+
644576,644599,50,+
646132,646167,48,+
704437,704467,68,-
704888,704912,48,-
706781,706802,48,+
707241,707281,59,+
707304,707352,48,+
711223,711264,70,+
714597,714614,52,+
734791,734824,75,+
740425,740443,51,-
740491,740526,52,-
740873,740891,51,-
757459,757492,48,+
765304,765329,57,+
765597,765621,48,-
778710,778737,55,-
781047,781082,61,+
787049,787073,48,+
814374,814408,56,+
824945,824973,53,+
844171,844198,57,+
857489,857526,52,+
861386,861421,59,+
867027,867060,80,+
879349,879398,47,-
879625,879649,59,+
884959,884984,57,+
916445,916460,53,-
919342,919364,61,+
955221,955247,67,+
958991,959015,59,+
964429,964461,49,+
1023566,1023590,59,+
1032842,1032861,66,+
1084990,1085025,48,+
1103243,1103274,49,+
1110295,1110314,47,+
1122671,1122707,61,-
1170457,1170472,53,+
1176696,1176718,61,+
1194853,1194879,56,+
1203246,1203289,50,+
1227181,1227207,56,-
1259829,1259863,51,-
1259884,1259923,57,-
1275560,1275576,52,+
1276807,1276841,64,+
1278066,1278083,50,+
1278420,1278457,61,+
1284897,1284937,54,+
1300007,1300034,72,+
1312950,1312979,52,-
1318687,1318712,47,+
1321887,1321903,52,-
1327102,1327137,58,-
1339781,1339800,49,-
1340939,1340965,56,+
1364177,1364211,60,+
1369176,1369199,49,+
1369272,1369300,66,+
1372500,1372542,51,-
1390777,1390808,60,+
1399906,1399936,52,+
