# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	223	1593	+					dnaA	64356449	AHOnP31_RS00005	1371		old_locus_tag=AHOnP31_00005
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	223	1593	+	WP_005307141.1	WP_005307141.1		chromosomal replication initiator protein DnaA	dnaA	64356449	AHOnP31_RS00005	1371	456	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	1742	2845	+					dnaN	64356450	AHOnP31_RS00010	1104		old_locus_tag=AHOnP31_00010
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	1742	2845	+	WP_011704048.1	WP_011704048.1		DNA polymerase III subunit beta	dnaN	64356450	AHOnP31_RS00010	1104	367	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	2848	3951	+					recF	64356451	AHOnP31_RS00015	1104		old_locus_tag=AHOnP31_00015
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	2848	3951	+	WP_206819041.1	WP_206819041.1		DNA replication/repair protein RecF	recF	64356451	AHOnP31_RS00015	1104	367	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	3948	6359	+					gyrB	64356452	AHOnP31_RS00020	2412		old_locus_tag=AHOnP31_00020
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	3948	6359	+	WP_016348869.1	WP_016348869.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	64356452	AHOnP31_RS00020	2412	803	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	6478	6855	-						64356453	AHOnP31_RS00025	378		old_locus_tag=AHOnP31_00025
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	6478	6855	-	WP_029305110.1	WP_029305110.1		VOC family protein		64356453	AHOnP31_RS00025	378	125	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	6922	7626	-						64356454	AHOnP31_RS00030	705		old_locus_tag=AHOnP31_00030
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	6922	7626	-	WP_139749256.1	WP_139749256.1		YafY family transcriptional regulator		64356454	AHOnP31_RS00030	705	234	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	7862	8275	+						64356455	AHOnP31_RS00035	414		old_locus_tag=AHOnP31_00035
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	7862	8275	+	WP_016348872.1	WP_016348872.1		Hsp20 family protein		64356455	AHOnP31_RS00035	414	137	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	8369	8806	+						64356456	AHOnP31_RS00040	438		old_locus_tag=AHOnP31_00040
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	8369	8806	+	WP_076362540.1	WP_076362540.1		Hsp20 family protein		64356456	AHOnP31_RS00040	438	145	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	8879	10129	-						64356457	AHOnP31_RS00045	1251		old_locus_tag=AHOnP31_00045
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	8879	10129	-	WP_045788723.1	WP_045788723.1		valine--pyruvate transaminase		64356457	AHOnP31_RS00045	1251	416	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	10413	10646	+						64356458	AHOnP31_RS00050	234		old_locus_tag=AHOnP31_00050
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	10413	10646	+	WP_206819042.1	WP_206819042.1		hypothetical protein		64356458	AHOnP31_RS00050	234	77	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	10576	11400	-						64356459	AHOnP31_RS00055	825		old_locus_tag=AHOnP31_00055
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	10576	11400	-	WP_206819043.1	WP_206819043.1		helix-turn-helix transcriptional regulator		64356459	AHOnP31_RS00055	825	274	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	11493	12620	+						64356460	AHOnP31_RS00060	1128		old_locus_tag=AHOnP31_00060
CDS	with_protein	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	11493	12620	+	WP_206819044.1	WP_206819044.1		multidrug effflux MFS transporter		64356460	AHOnP31_RS00060	1128	375	
gene	protein_coding	GCF_017310215.1	Primary Assembly	chromosome		NZ_CP050851.1	12625	13308	-						64356461	AHOnP31_RS00065	684		old_locus_tag=AHOnP31_00065
