# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	101	1591	+					dnaA		JLK41_RS00005	1491		old_locus_tag=JLK41_00005
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	101	1591	+	WP_037054792.1	WP_037054792.1		chromosomal replication initiator protein DnaA	dnaA		JLK41_RS00005	1491	496	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	1623	2726	+					dnaN		JLK41_RS00010	1104		old_locus_tag=JLK41_00010
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	1623	2726	+	WP_037054793.1	WP_037054793.1		DNA polymerase III subunit beta	dnaN		JLK41_RS00010	1104	367	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	2734	3837	+					recF		JLK41_RS00015	1104		old_locus_tag=JLK41_00015
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	2734	3837	+	WP_047592343.1	WP_047592343.1		DNA replication/repair protein RecF	recF		JLK41_RS00015	1104	367	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	3842	6262	+					gyrB		JLK41_RS00020	2421		old_locus_tag=JLK41_00020
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	3842	6262	+	WP_037054798.1	WP_037054798.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		JLK41_RS00020	2421	806	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	6533	7465	-							JLK41_RS00025	933		old_locus_tag=JLK41_00025
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	6533	7465	-	WP_037052335.1	WP_037052335.1		phosphatidate cytidylyltransferase			JLK41_RS00025	933	310	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	7467	8090	-							JLK41_RS00030	624		old_locus_tag=JLK41_00030
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	7467	8090	-	WP_210390096.1	WP_210390096.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			JLK41_RS00030	624	207	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	8100	8549	-							JLK41_RS00035	450		old_locus_tag=JLK41_00035
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	8100	8549	-	WP_152487456.1	WP_152487456.1		hypothetical protein			JLK41_RS00035	450	149	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	8539	9876	-							JLK41_RS00040	1338		old_locus_tag=JLK41_00040
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	8539	9876	-	WP_210390097.1	WP_210390097.1		phosphatase PAP2/dual specificity phosphatase family protein			JLK41_RS00040	1338	445	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	9876	11630	-							JLK41_RS00045	1755		old_locus_tag=JLK41_00045
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	9876	11630	-	WP_210390098.1	WP_210390098.1		alpha/beta hydrolase			JLK41_RS00045	1755	584	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	11656	12261	-							JLK41_RS00050	606		old_locus_tag=JLK41_00050
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	11656	12261	-	WP_152487458.1	WP_152487458.1		CDP-alcohol phosphatidyltransferase family protein			JLK41_RS00050	606	201	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	12470	13237	-							JLK41_RS00055	768		old_locus_tag=JLK41_00055
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	12470	13237	-	WP_134676629.1	WP_134676629.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			JLK41_RS00055	768	255	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	13251	13781	-					gmhB		JLK41_RS00060	531		old_locus_tag=JLK41_00060
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	13251	13781	-	WP_047592359.1	WP_047592359.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		JLK41_RS00060	531	176	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	13865	15919	-					glyS		JLK41_RS00065	2055		old_locus_tag=JLK41_00065
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	13865	15919	-	WP_037052321.1	WP_037052321.1		glycine--tRNA ligase subunit beta	glyS		JLK41_RS00065	2055	684	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	15916	16863	-					glyQ		JLK41_RS00070	948		old_locus_tag=JLK41_00070
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	15916	16863	-	WP_037052319.1	WP_037052319.1		glycine--tRNA ligase subunit alpha	glyQ		JLK41_RS00070	948	315	
gene	protein_coding	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	17035	17589	+							JLK41_RS00075	555		old_locus_tag=JLK41_00075
CDS	with_protein	GCF_017915135.1	Primary Assembly	chromosome		NZ_CP068551.1	17035	17589	+	WP_047592366.1	WP_047592366.1		DNA-3-methyladenine glycosylase I			JLK41_RS00075	555	184	
