start,end,score,strand
33560,33584,48,+
37569,37591,61,+
51681,51722,58,+
55646,55675,83,-
55936,55977,58,+
89913,89940,55,+
154861,154882,48,+
191420,191448,66,+
191512,191537,57,-
205633,205662,52,+
211792,211823,50,+
229119,229148,52,+
246356,246395,69,-
248512,248531,47,+
251972,251995,60,-
252098,252121,60,-
252274,252304,66,+
260372,260388,52,+
278017,278040,60,-
282404,282423,51,-
301692,301714,51,+
330449,330464,53,+
344314,344355,58,+
344532,344559,81,-
373036,373056,48,+
379079,379098,49,+
388553,388574,48,-
401094,401115,48,+
408816,408857,48,+
426039,426074,55,-
443522,443547,47,+
445613,445654,58,+
451096,451129,48,+
453775,453798,48,+
456437,456478,58,-
456630,456658,54,-
456663,456686,60,-
457567,457597,51,-
480168,480191,49,+
486139,486157,50,+
505376,505399,60,+
505412,505434,61,+
505439,505462,60,+
505467,505490,60,+
505502,505522,64,+
505526,505546,64,+
505747,505788,58,+
505949,505989,68,-
506469,506511,51,+
521602,521626,76,+
521920,521948,65,+
527354,527387,67,+
528176,528199,60,-
528386,528423,75,+
528535,528560,57,-
555789,555821,48,-
557996,558033,57,-
558636,558659,60,-
571145,571168,49,+
573620,573661,58,+
586827,586855,52,+
589993,590017,64,+
593831,593872,58,+
605855,605875,49,+
613878,613897,47,+
634180,634201,49,+
665210,665237,55,+
665800,665815,53,+
670129,670170,58,+
810172,810212,53,+
853459,853478,49,+
891428,891448,51,+
897667,897700,51,+
911784,911804,47,+
917420,917452,47,+
942287,942312,57,+
965026,965055,57,-
1016652,1016693,54,+
1030878,1030899,48,+
1036213,1036243,51,+
1076731,1076750,49,+
1142164,1142198,59,+
1182546,1182587,58,+
1183849,1183871,48,+
1192156,1192177,48,-
1228270,1228316,48,+
1249720,1249764,47,+
1317800,1317841,58,+
1323542,1323560,51,+
1329629,1329670,58,+
1366173,1366204,48,+
1408260,1408286,71,+
1409437,1409460,60,-
1410011,1410032,51,-
1420738,1420769,68,+
1427684,1427717,55,+
1527688,1527709,51,+
1551751,1551769,50,-
1584633,1584654,52,+
1598696,1598731,67,+
1665542,1665568,58,+
1671115,1671145,51,-
1677674,1677699,57,+
1678732,1678755,60,+
1745454,1745487,62,+
1747560,1747581,63,+
1768074,1768113,70,+
1773780,1773817,54,-
1828659,1828683,48,-
1844567,1844608,58,-
1845306,1845329,60,+
1903173,1903212,58,-
1933548,1933578,49,-
1946787,1946807,47,-
1948504,1948525,52,-
1951255,1951272,52,-
1953123,1953146,49,-
1988230,1988252,51,-
2000094,2000114,47,-
2000490,2000510,47,-
2069408,2069434,56,-
2078808,2078827,49,-
2098267,2098288,62,+
2104641,2104670,64,+
2106436,2106455,47,+
2129831,2129863,60,-
2204024,2204054,64,+
2269091,2269129,53,+
2328431,2328450,49,+
2332685,2332714,52,+
2339135,2339154,49,+
2360899,2360923,63,-
2395295,2395336,58,-
2395651,2395674,60,+
2396215,2396260,48,-
2413276,2413299,48,-
2422083,2422105,48,-
2468473,2468496,70,-
2558502,2558517,53,-
2558889,2558908,49,+
2588151,2588179,54,-
2595978,2595995,52,-
2604230,2604253,50,-
2609245,2609275,62,+
2633706,2633737,65,+
2660637,2660654,50,-
2735511,2735534,48,-
2744636,2744678,50,-
2748790,2748831,58,-
2749257,2749281,104,+
2749285,2749318,105,+
2749323,2749361,57,+
2799545,2799570,47,-
2902253,2902277,59,-
2963619,2963653,74,-
2985304,2985322,49,-
3028649,3028694,47,-
3029059,3029088,63,-
3034539,3034562,50,-
3046362,3046393,62,-
3080967,3081003,58,-
3091376,3091417,58,-
3091761,3091781,51,+
3091822,3091851,52,+
3100046,3100087,58,-
3100220,3100266,94,-
3100415,3100441,56,+
3114825,3114856,57,-
3127708,3127727,49,+
3132524,3132550,56,-
3153691,3153712,63,-
3165931,3165955,104,+
3165959,3165983,104,+
3165987,3166011,104,+
3166015,3166039,104,+
3166043,3166072,83,+
3221328,3221364,62,+
3249563,3249595,59,-
3267811,3267830,52,-
3271522,3271544,48,+
3289978,3290005,63,-
3351355,3351403,49,-
3377611,3377632,48,+
3395575,3395616,58,-
3406794,3406815,48,+
3441300,3441321,48,+
3445962,3445997,58,+
3446132,3446173,58,-
3446609,3446632,60,+
3452322,3452350,54,-
3452798,3452815,50,-
3467260,3467278,50,-
3469625,3469653,54,-
3469979,3470020,58,-
3470837,3470860,60,+
3470865,3470888,60,+
3471208,3471243,64,-
3479713,3479744,49,-
3482516,3482538,48,+
3515226,3515255,52,-
3520044,3520063,49,+
3520251,3520292,58,-
3551349,3551366,50,-
3554933,3554961,67,+
3562523,3562560,47,-
3681474,3681506,49,-
3705027,3705048,48,+
3735105,3735134,70,-
3740373,3740402,82,-
3740812,3740853,58,+
3742376,3742421,47,+
3744215,3744234,47,+
